epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,9.997779521645793e-05,8.652750492095947,0.5026666666666667,0.5031980319803198,0.3897675304878049,0.4392784280038656,0.5072494001450376,0.3897675304878049,0.6154798172124905,0.5031980319803198,0.5023310023310024,8182,12930,8078,12810,20992,21008,0.7015869064896303,0.4998095238095238,0.9992383853769993,0.5214444444444445,0.5692188708430008,0.16406598305840392,0.25471534867624157,0.5210844509902417,0.16406598305840392,0.8766061143110323,0.5692188708430008,0.5134293499416115,736,3957,557,3750,4486,4514,0.6884670375098645,0.49844444444444447,0.993797075764289
1,9.991120277927223e-05,8.700958251953125,0.5118571428571429,0.5141651248843663,0.4236375762195122,0.46453196824070203,0.5178796341140512,0.4236375762195122,0.6000095201827875,0.5141651248843663,0.510241256476684,8893,12605,8403,12099,20992,21008,0.6951313779709187,0.4998095238095238,0.9992383853769993,0.5287777777777778,0.6288117770767613,0.13330361123495318,0.21997425050579364,0.5483398999812541,0.13330361123495318,0.9217988480283562,0.6288117770767613,0.5169586284010436,598,4161,353,3888,4486,4514,0.6858825977419464,0.49844444444444447,0.993797075764289
2,9.980028840713861e-05,8.256225824356079,0.5180238095238096,0.5218711674356129,0.4256859756097561,0.4688967598058507,0.5261417849729575,0.4256859756097561,0.6102913175932978,0.5218711674356129,0.5153756481890903,8936,12821,8187,12056,20992,21008,0.691589252021175,0.4998095238095238,0.9992383853769993,0.5453333333333333,0.6261203585147247,0.21801159161836825,0.32341269841269843,0.5626763103484853,0.21801159161836825,0.8706247230837395,0.6261203585147247,0.528367840817424,978,3930,584,3508,4486,4514,0.6841623170275084,0.49844444444444447,0.993797075764289
3,9.964516155915153e-05,8.690930604934692,0.5286428571428572,0.535424201102745,0.4302115091463415,0.4770860297419372,0.5421019369490339,0.4302115091463415,0.626999238385377,0.535424201102745,0.5240918314566506,9031,13172,7836,11961,20992,21008,0.6874792121101657,0.4998095238095238,0.9992383853769993,0.5721111111111111,0.6516961299569995,0.30405706642888986,0.4146526827785378,0.5977345756037935,0.30405706642888986,0.8385024368630926,0.6516961299569995,0.547994787896337,1364,3785,729,3122,4486,4514,0.6779407296382206,0.49844444444444447,0.993797075764289
4,9.944597532678122e-05,7.6606268882751465,0.551952380952381,0.5644950753530319,0.4532202743902439,0.5027744015219574,0.573359222664377,0.4532202743902439,0.6506092916984006,0.5644950753530319,0.5435456931519924,9514,13668,7340,11478,20992,21008,0.6806620721759042,0.4998095238095238,0.9992383853769993,0.5804444444444444,0.5774095071958133,0.5902808738296924,0.5837742504409171,0.61574783637412,0.5902808738296924,0.5706690296854231,0.5774095071958133,0.583597643860444,2648,2576,1938,1838,4486,4514,0.6696730994842421,0.49844444444444447,0.993797075764289
5,9.920292628279102e-05,15.016544580459595,0.5724047619047619,0.5930196896276759,0.4605564024390244,0.518460919694329,0.5981242863491028,0.4605564024390244,0.6841679360243716,0.5930196896276759,0.5593259913608593,9668,14373,6635,11324,20992,21008,0.6732800965251169,0.4998095238095238,0.9992383853769993,0.593,0.6423382912487029,0.4139545251894784,0.5034566897112648,0.6305068434242622,0.4139545251894784,0.770934869295525,0.6423382912487029,0.5696513340972336,1857,3480,1034,2629,4486,4514,0.6628996293309709,0.49844444444444447,0.993797075764289
6,9.891625428724366e-05,8.717483043670654,0.5779047619047619,0.6011277729582353,0.4621284298780488,0.522542418529491,0.6076574668709249,0.4621284298780488,0.693592916984006,0.6011277729582353,0.5634135024360065,9701,14571,6437,11291,20992,21008,0.6700030478300657,0.4998095238095238,0.9992383853769993,0.6006666666666667,0.6343373493975903,0.46946054391440034,0.5395849346656418,0.6356394856957628,0.46946054391440034,0.7310589277802393,0.6343373493975903,0.5809859154929577,2106,3300,1214,2380,4486,4514,0.6611144651829357,0.49844444444444447,0.993797075764289
7,9.858624225078842e-05,8.373247861862183,0.5868571428571429,0.6154236428209031,0.46227134146341464,0.5279651795429815,0.6178796701684781,0.46227134146341464,0.7113480578827114,0.6154236428209031,0.569685879841415,9704,14944,6064,11288,20992,21008,0.6667034555351118,0.4998095238095238,0.9992383853769993,0.6037777777777777,0.6418002466091245,0.46411056620597413,0.5386804657179819,0.6422279198356685,0.46411056620597413,0.7425786442179885,0.6418002466091245,0.5823488533703961,2082,3352,1162,2404,4486,4514,0.6586923171097124,0.49844444444444447,0.993797075764289
8,9.821321585546247e-05,8.135149955749512,0.5876190476190476,0.6168682367918523,0.4616520579268293,0.5280911122009699,0.619899739622638,0.4616520579268293,0.713490099009901,0.6168682367918523,0.5701407379231647,9691,14989,6019,11301,20992,21008,0.6656110034887551,0.4998095238095238,0.9992383853769993,0.6071111111111112,0.6443768996960486,0.4725813642443156,0.5452674897119342,0.6449472301065236,0.4725813642443156,0.7408063801506425,0.6443768996960486,0.5856392294220666,2120,3344,1170,2366,4486,4514,0.6566257476806641,0.49844444444444447,0.993797075764289
9,9.779754323328194e-05,8.386989831924438,0.5936190476190476,0.6257047667862634,0.4652248475609756,0.5336612021857924,0.6281896115740027,0.4652248475609756,0.7219154607768469,0.6257047667862634,0.57464383146408,9766,15166,5842,11226,20992,21008,0.6624799339966934,0.4998095238095238,0.9992383853769993,0.6082222222222222,0.6316511245200219,0.5133749442710656,0.5664043285784555,0.650538543484174,0.5133749442710656,0.7024811696942844,0.6316511245200219,0.5922674635786328,2303,3171,1343,2183,4486,4514,0.6538763910951749,0.49844444444444447,0.993797075764289
10,9.733963460294018e-05,8.730820417404175,0.5983333333333334,0.6280124223602485,0.4816596798780488,0.5451849455408174,0.631379386413335,0.4816596798780488,0.7149181264280274,0.6280124223602485,0.5798841698841699,10111,15019,5989,10881,20992,21008,0.6608283842225929,0.4998095238095238,0.9992383853769993,0.6112222222222222,0.650319829424307,0.475925100312082,0.5496202857510619,0.6542271470874483,0.475925100312082,0.745680106335844,0.650319829424307,0.5887703340913066,2135,3366,1148,2351,4486,4514,0.651913410341236,0.49844444444444447,0.993797075764289
11,9.683994186497135e-05,7.946434020996094,0.5995238095238096,0.630391298912364,0.48042111280487804,0.5452825087861585,0.635681155745111,0.48042111280487804,0.718535795887281,0.630391298912364,0.5805322667487116,10085,15095,5913,10907,20992,21008,0.6589520727609791,0.4998095238095238,0.9992383853769993,0.612,0.6438911407064273,0.49576460098082925,0.5602015113350126,0.6568075918166912,0.49576460098082925,0.7275143996455472,0.6438911407064273,0.5921384781824739,2224,3284,1230,2262,4486,4514,0.6494298333853064,0.49844444444444447,0.993797075764289
12,9.629895815577918e-05,10.446378707885742,0.6002857142857143,0.6278277791291657,0.4918064024390244,0.5515546532749225,0.6369786593347714,0.4918064024390244,0.7086824067022087,0.6278277791291657,0.5825637814994522,10324,14888,6120,10668,20992,21008,0.6577323830961094,0.4998095238095238,0.9992383853769993,0.6103333333333333,0.6486486486486487,0.4761480160499331,0.5491708445815657,0.660696715879324,0.4761480160499331,0.7436863092600797,0.6486486486486487,0.5882249868582443,2136,3357,1157,2350,4486,4514,0.6476176993947633,0.49844444444444447,0.993797075764289
13,9.571721736097092e-05,8.255656242370605,0.5995238095238096,0.6286383818450912,0.4856135670731707,0.5479466781337347,0.6402926632170758,0.4856135670731707,0.7133472962680883,0.6286383818450912,0.5812131554452373,10194,14986,6022,10798,20992,21008,0.6558918128622339,0.4998095238095238,0.9992383853769993,0.6131111111111112,0.6342245989304813,0.5287561301827909,0.5767079990274738,0.6614755876155641,0.5287561301827909,0.696942844483828,0.6342245989304813,0.5980988593155894,2372,3146,1368,2114,4486,4514,0.6449883899218599,0.49844444444444447,0.993797075764289
14,9.509529358847659e-05,8.898529529571533,0.6067619047619047,0.6427660117376882,0.4799923780487805,0.5495800152721719,0.6445180629232563,0.4799923780487805,0.7334348819497334,0.6427660117376882,0.5853213797295244,10076,15408,5600,10916,20992,21008,0.6538461399658111,0.4998095238095238,0.9992383853769993,0.6147777777777778,0.6775880097594981,0.4333481943825234,0.5286199864038069,0.6678978719991562,0.4333481943825234,0.7950819672131147,0.6775880097594981,0.5853857445767412,1944,3589,925,2542,4486,4514,0.6438486382994854,0.49844444444444447,0.993797075764289
15,9.44338006019739e-05,7.296067953109741,0.6089285714285714,0.6410003087372645,0.4945217225609756,0.5583133890875843,0.65089302076452,0.4945217225609756,0.7232482863670983,0.6410003087372645,0.588800620034877,10381,15194,5814,10611,20992,21008,0.6516315576515661,0.4998095238095238,0.9992383853769993,0.6192222222222222,0.6531674862597628,0.5033437360677664,0.5685509253430694,0.6717387733728188,0.5033437360677664,0.734381922906513,0.6531674862597628,0.5980515966083348,2258,3315,1199,2228,4486,4514,0.6397775420000855,0.49844444444444447,0.993797075764289
16,9.373339121517751e-05,8.83463716506958,0.6117142857142858,0.6429617873275546,0.5017625762195121,0.5636538770268101,0.653238060787383,0.5017625762195121,0.721582254379284,0.6429617873275546,0.5917323756733547,10533,15159,5849,10459,20992,21008,0.6494782581517762,0.4998095238095238,0.9992383853769993,0.6188888888888889,0.6229622729389847,0.5962995987516718,0.6093394077448747,0.674524355890062,0.5962995987516718,0.6413380593708462,0.6229622729389847,0.6151721206969826,2675,2895,1619,1811,4486,4514,0.6393229558434285,0.49844444444444447,0.993797075764289
17,9.299475664759073e-05,11.53703784942627,0.6153095238095239,0.6487417707500154,0.5022865853658537,0.5661968049402605,0.6574048085576139,0.5022865853658537,0.7282463823305407,0.6487417707500154,0.5942051501145764,10544,15299,5709,10448,20992,21008,0.6468084450913055,0.4998095238095238,0.9992383853769993,0.6258888888888889,0.6563285834031852,0.5236290682122158,0.5825170489770614,0.6798987535879361,0.5236290682122158,0.7275143996455472,0.6563285834031852,0.6057922892455266,2349,3284,1230,2137,4486,4514,0.634838727998062,0.49844444444444447,0.993797075764289
18,9.221862584235533e-05,11.520703077316284,0.6139523809523809,0.6455287524366472,0.504811356707317,0.5665633019674936,0.6588888677299037,0.504811356707317,0.7230102817974106,0.6455287524366472,0.5936913696060038,10597,15189,5819,10395,20992,21008,0.6460999194249556,0.4998095238095238,0.9992383853769993,0.6318888888888889,0.6572807723250201,0.5463664734730272,0.5967133292757152,0.6848430236658094,0.5463664734730272,0.716880815241471,0.6572807723250201,0.6139252513754506,2451,3236,1278,2035,4486,4514,0.6317515448785164,0.49844444444444447,0.993797075764289
19,9.140576474687269e-05,11.773490905761719,0.6182857142857143,0.6488059522380896,0.5151009908536586,0.5742737266981783,0.6639607618899972,0.5151009908536586,0.7213918507235338,0.6488059522380896,0.5982079418962659,10813,15155,5853,10179,20992,21008,0.6422182573373557,0.4998095238095238,0.9992383853769993,0.6293333333333333,0.6805904522613065,0.483058403923317,0.5650586701434159,0.6873748012573355,0.483058403923317,0.7747009304386353,0.6805904522613065,0.6012723521320495,2167,3497,1017,2319,4486,4514,0.6290653969200564,0.49844444444444447,0.993797075764289
20,9.055697555690611e-05,11.24572491645813,0.6201428571428571,0.6524080348499516,0.513671875,0.5747867803837953,0.6664230173493721,0.513671875,0.726532749428789,0.6524080348499516,0.5992069723618091,10783,15263,5745,10209,20992,21008,0.6421108782110243,0.4998095238095238,0.9992383853769993,0.638,0.662778366914104,0.5572893446277307,0.6054734802615646,0.695942884187916,0.5572893446277307,0.7182100132919805,0.662778366914104,0.6201224177505739,2500,3242,1272,1986,4486,4514,0.6217844536606695,0.49844444444444447,0.993797075764289
21,8.967309592491056e-05,11.486565113067627,0.6236428571428572,0.6533751405076021,0.5261051829268293,0.5828737300435414,0.6745129550313586,0.5261051829268293,0.7211062452399086,0.6533751405076021,0.6036179623062518,11044,15149,5859,9948,20992,21008,0.6366573920003549,0.4998095238095238,0.9992383853769993,0.6412222222222222,0.644715634354133,0.6241640659830584,0.6342734171480349,0.7031615713416288,0.6241640659830584,0.6581745680106336,0.644715634354133,0.6379643547348078,2800,2971,1543,1686,4486,4514,0.6196978738610174,0.49844444444444447,0.993797075764289
22,8.875499813337073e-05,11.561281442642212,0.6280238095238095,0.6570342205323194,0.5350609756097561,0.589807545881797,0.6796345147315396,0.5350609756097561,0.7209158415841584,0.6570342205323194,0.6081108211202569,11232,15145,5863,9760,20992,21008,0.6336731812874234,0.4998095238095238,0.9992383853769993,0.6355555555555555,0.7000663570006636,0.4703522068658047,0.5626666666666666,0.7010638226424315,0.4703522068658047,0.7997341603898981,0.7000663570006636,0.6030738389575676,2110,3610,904,2376,4486,4514,0.6193111706787432,0.49844444444444447,0.993797075764289
23,8.780358823396356e-05,11.776954650878906,0.632095238095238,0.6645870469399882,0.5328220274390244,0.5914547088995823,0.6855778330543794,0.5328220274390244,0.7312928408225438,0.6645870469399882,0.6103694874851013,11185,15363,5645,9807,20992,21008,0.6302402693449908,0.4998095238095238,0.9992383853769993,0.6445555555555555,0.68040370058873,0.541016495764601,0.6027567366198932,0.7102274422014159,0.541016495764601,0.7474523704031901,0.68040370058873,0.6210196944597828,2427,3374,1140,2059,4486,4514,0.6132713455549428,0.49844444444444447,0.993797075764289
24,8.681980515339468e-05,10.463618755340576,0.6358571428571429,0.6667837489755298,0.5425876524390244,0.598308557020539,0.6896854424940324,0.5425876524390244,0.7290555978674791,0.6667837489755298,0.6146560719158841,11390,15316,5692,9602,20992,21008,0.626971437847723,0.4998095238095238,0.9992383853769993,0.6524444444444445,0.6878804648588821,0.5541685242978154,0.6138271604938271,0.7141810360238549,0.5541685242978154,0.7501107665042092,0.6878804648588821,0.6286669142220572,2486,3386,1128,2000,4486,4514,0.6090777507970031,0.49844444444444447,0.993797075764289
25,8.580461976679104e-05,10.287390947341919,0.6383571428571428,0.6714733171798357,0.5412538109756098,0.5993722469865218,0.6941390712582779,0.5412538109756098,0.7353865194211728,0.6714733171798357,0.6160133976633837,11362,15449,5559,9630,20992,21008,0.6236708256611345,0.4998095238095238,0.9992383853769993,0.6554444444444445,0.6803855170617348,0.582255907267053,0.6275075075075075,0.7206243082649098,0.582255907267053,0.7281789986708019,0.6803855170617348,0.6368920751792289,2612,3287,1227,1874,4486,4514,0.6031327289594731,0.49844444444444447,0.993797075764289
26,8.475903393956438e-05,8.586988925933838,0.6399047619047619,0.6729341035011199,0.543873856707317,0.601559618525739,0.6945803230229947,0.543873856707317,0.7358625285605483,0.6729341035011199,0.6175201725653112,11417,15459,5549,9575,20992,21008,0.6225702119453338,0.4998095238095238,0.9992383853769993,0.656,0.6927343316694399,0.5568435131520285,0.6173999011369253,0.7212472525660001,0.5568435131520285,0.7545414266725742,0.6927343316694399,0.6314423433444568,2498,3406,1108,1988,4486,4514,0.6012767939500405,0.49844444444444447,0.993797075764289
27,8.368407953869108e-05,10.954270124435425,0.6422142857142857,0.6766779219240566,0.5441596798780488,0.6032265730203575,0.6995547942664555,0.5441596798780488,0.7401942117288652,0.6766779219240566,0.619053306262192,11423,15550,5458,9569,20992,21008,0.6198612004065586,0.4998095238095238,0.9992383853769993,0.6598888888888889,0.6632302405498282,0.6453410610789122,0.6541633713704667,0.7265542668956203,0.6453410610789122,0.6743464776251662,0.6632302405498282,0.6567421790722762,2895,3044,1470,1591,4486,4514,0.5977212727909357,0.49844444444444447,0.993797075764289
28,8.2580817414384e-05,11.770293951034546,0.6424047619047619,0.6766846121990179,0.5448742378048781,0.6036680300831244,0.7009617899354978,0.5448742378048781,0.7398610053313024,0.6766846121990179,0.6193170498465952,11438,15543,5465,9554,20992,21008,0.6184207019834895,0.4998095238095238,0.9992383853769993,0.6624444444444444,0.7265331664580726,0.5176103432902363,0.6045300702941943,0.7304335883942382,0.5176103432902363,0.8063801506424457,0.7265331664580726,0.6271536871123363,2322,3640,874,2164,4486,4514,0.5946045971252549,0.49844444444444447,0.993797075764289
29,8.145033635316135e-05,11.78709888458252,0.6436190476190476,0.6774060548945694,0.547875381097561,0.6057940479325784,0.7045473788912295,0.547875381097561,0.7392897943640518,0.6774060548945694,0.6206937894652705,11501,15531,5477,9491,20992,21008,0.6154214594864194,0.4998095238095238,0.9992383853769993,0.6617777777777778,0.6976425438596491,0.5673205528310299,0.6257683796410131,0.7306082073683281,0.5673205528310299,0.7556490917146654,0.6976425438596491,0.6373318385650224,2545,3411,1103,1941,4486,4514,0.5929786923905493,0.49844444444444447,0.993797075764289
