epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,accuracy_val,precision_val,recall_val,f1_val,auc_val,sensitivity_val,specificity_val,precision_neutrino_val,precision_muon_val,true_positives_val,true_negatives_val,false_positives_val,false_negatives_val,total_neutrinos_val,total_muons_val,loss_val,positive_class_ratio_val,class_balance_val
0,0.0009997557473810372,1.744476079940796,0.5161904761904762,0.5348066298342542,0.23102625298329355,0.32266666666666666,0.5287864443675985,0.23102625298329355,0.8,0.5348066298342542,0.5110773899848255,484,1684,421,1611,2095,2105,0.6999480308908405,0.4988095238095238,0.995249406175772,0.5283333333333333,0.8043478260869565,0.08176795580110498,0.14844533600802406,0.5655958517238187,0.08176795580110498,0.9798882681564246,0.8043478260869565,0.5134660421545667,74,877,18,831,905,895,0.6870118896166484,0.5027777777777778,0.988950276243094
1,0.0009990232305719946,1.5211875438690186,0.5261904761904762,0.5411119812059515,0.3298329355608592,0.4098457888493476,0.5334066519651471,0.3298329355608592,0.7216152019002375,0.5411119812059515,0.5196715703044817,691,1519,586,1404,2095,2105,0.6937364574634668,0.4988095238095238,0.995249406175772,0.5333333333333333,0.7070063694267515,0.12265193370165746,0.20903954802259886,0.5812142350072533,0.12265193370165746,0.9486033519553073,0.7070063694267515,0.516737674984784,111,849,46,794,905,895,0.6816436370213826,0.5027777777777778,0.988950276243094
2,0.0009978031724785247,1.5566625595092773,0.5471428571428572,0.5697758496023138,0.3761336515513127,0.45313398504887864,0.5537781960215193,0.3761336515513127,0.7173396674584323,0.5697758496023138,0.5360312389066383,788,1510,595,1307,2095,2105,0.6882611856316075,0.4988095238095238,0.995249406175772,0.5655555555555556,0.7188612099644128,0.22320441988950276,0.3406408094435076,0.5530923793944258,0.22320441988950276,0.911731843575419,0.7188612099644128,0.5371955233706386,202,816,79,703,905,895,0.6791486223538716,0.5027777777777778,0.988950276243094
3,0.0009960967771506667,1.449625015258789,0.5333333333333333,0.5486661860129777,0.3632458233890215,0.43710511200459506,0.5436073900645695,0.3632458233890215,0.7026128266033255,0.5486661860129777,0.5257731958762887,761,1479,626,1334,2095,2105,0.6906403917254824,0.4988095238095238,0.995249406175772,0.57,0.5900962861072903,0.4740331491712707,0.5257352941176471,0.5827513194851693,0.4740331491712707,0.6670391061452514,0.5900962861072903,0.5563839701770736,429,597,298,476,905,895,0.6779168128967286,0.5027777777777778,0.988950276243094
4,0.0009939057285945933,1.5292932987213135,0.5611904761904762,0.5922401171303074,0.3861575178997613,0.46749494365790234,0.5689297558376181,0.3861575178997613,0.7353919239904988,0.5922401171303074,0.5462244177840508,809,1548,557,1286,2095,2105,0.6831239877325116,0.4988095238095238,0.995249406175772,0.555,0.6645569620253164,0.23204419889502761,0.343980343980344,0.5801129664495818,0.23204419889502761,0.8815642458100559,0.6645569620253164,0.5316711590296496,210,789,106,695,905,895,0.6766185402870178,0.5027777777777778,0.988950276243094
5,0.0009912321891107012,1.526061773300171,0.559047619047619,0.5982215036378334,0.3532219570405728,0.44417767106842737,0.5795536255874467,0.3532219570405728,0.763895486935867,0.5982215036378334,0.5426932163347958,740,1608,497,1355,2095,2105,0.679064002904025,0.4988095238095238,0.995249406175772,0.5872222222222222,0.6057441253263708,0.512707182320442,0.5553560742070617,0.621330287971851,0.512707182320442,0.6625698324022347,0.6057441253263708,0.5735009671179884,464,593,302,441,905,895,0.6659514943758646,0.5027777777777778,0.988950276243094
6,0.0009880787971596802,1.5013034343719482,0.5704761904761905,0.6089887640449438,0.3880668257756563,0.4740524781341108,0.5888629754136928,0.3880668257756563,0.752019002375297,0.6089887640449438,0.5525305410122164,813,1583,522,1282,2095,2105,0.6790654261906942,0.4988095238095238,0.995249406175772,0.5788888888888889,0.5828635851183765,0.5712707182320442,0.5770089285714286,0.6210500324084077,0.5712707182320442,0.5865921787709497,0.5828635851183765,0.5750273822562979,517,525,370,388,905,895,0.6633033355077108,0.5027777777777778,0.988950276243094
7,0.0009844486647586726,1.457007646560669,0.5654761904761905,0.5894039735099338,0.42482100238663484,0.49375866851595007,0.5963612038616999,0.42482100238663484,0.7054631828978623,0.5894039735099338,0.5520446096654275,890,1485,620,1205,2095,2105,0.676145587906693,0.4988095238095238,0.995249406175772,0.5838888888888889,0.5773809523809523,0.6430939226519337,0.6084683742812337,0.6181301892033705,0.6430939226519337,0.524022346368715,0.5773809523809523,0.5921717171717171,582,469,426,323,905,895,0.6861632347106934,0.5027777777777778,0.988950276243094
8,0.000980345374410087,1.483891487121582,0.5571428571428572,0.6210092687950567,0.2878281622911695,0.3933463796477495,0.5784561136967896,0.2878281622911695,0.8251781472684085,0.6210092687950567,0.5379374419324868,603,1737,368,1492,2095,2105,0.6802423415762006,0.4988095238095238,0.995249406175772,0.57,0.6302186878727635,0.35027624309392263,0.4502840909090909,0.6036112225685978,0.35027624309392263,0.7921787709497207,0.6302186878727635,0.5466461063993832,317,709,186,588,905,895,0.6666255315144857,0.5027777777777778,0.988950276243094
9,0.0009757729755661012,1.4528098106384277,0.5688095238095238,0.6011396011396012,0.4028639618138425,0.4824235495855959,0.5832377734567656,0.4028639618138425,0.7339667458432304,0.6011396011396012,0.5525751072961373,844,1545,560,1251,2095,2105,0.6804697513580322,0.4988095238095238,0.995249406175772,0.5633333333333334,0.605683836589698,0.37679558011049724,0.4645776566757493,0.5807364424827927,0.37679558011049724,0.7519553072625699,0.605683836589698,0.5440582053354891,341,673,222,564,905,895,0.674736213684082,0.5027777777777778,0.988950276243094
