epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,9.997779521645793e-05,8.064021825790405,0.5062142857142857,0.5080866841398709,0.3786204268292683,0.4339020062781493,0.51039430763092,0.3786204268292683,0.6337109672505712,0.5080866841398709,0.505103008688394,7948,13313,7695,13044,20992,21008,0.700262323701273,0.4998095238095238,0.9992383853769993,0.5324444444444445,0.6034226190476191,0.18078466339723584,0.2782161234991424,0.5427335000378275,0.18078466339723584,0.8819229065130705,0.6034226190476191,0.5199843260188087,811,3981,533,3675,4486,4514,0.6870632373111348,0.49844444444444447,0.993797075764289
1,9.991120277927223e-05,7.751324415206909,0.5157380952380952,0.519789078125947,0.40853658536585363,0.4574964658184631,0.5242496305033477,0.40853658536585363,0.6228579588728104,0.519789078125947,0.5131171326614643,8576,13085,7923,12416,20992,21008,0.6933525999991003,0.4998095238095238,0.9992383853769993,0.54,0.5356407086938607,0.57958091841284,0.556745182012848,0.5620557858239023,0.57958091841284,0.5006645990252547,0.5356407086938607,0.5451037144235408,2600,2260,2254,1886,4486,4514,0.6846353168218908,0.49844444444444447,0.993797075764289
2,9.980028840713861e-05,8.139206409454346,0.5300952380952381,0.5370326689468098,0.43383193597560976,0.47994729907773387,0.5425620129795212,0.43383193597560976,0.6262852246763138,0.5370326689468098,0.5253973324814312,9107,13157,7851,11885,20992,21008,0.6878765431943273,0.4998095238095238,0.9992383853769993,0.5454444444444444,0.5390239083185141,0.6081141328577797,0.5714884256834608,0.5748002795483849,0.6081141328577797,0.4831634913602127,0.5390239083185141,0.5536938309215537,2728,2181,2333,1758,4486,4514,0.6825301353360566,0.49844444444444447,0.993797075764289
3,9.964516155915153e-05,8.340427875518799,0.5335,0.5414174906744035,0.43559451219512196,0.4827750059396531,0.5522309248135583,0.43559451219512196,0.6313309215536939,0.5414174906744035,0.5281749034287763,9144,13263,7745,11848,20992,21008,0.6848869606354316,0.4998095238095238,0.9992383853769993,0.5574444444444444,0.5528694555392054,0.5862683905483728,0.5690793032565185,0.5854132711605505,0.5862683905483728,0.5287992910943731,0.5528694555392054,0.562573650718831,2630,2387,2127,1856,4486,4514,0.6799930443226452,0.49844444444444447,0.993797075764289
4,9.944597532678122e-05,7.7173850536346436,0.5524761904761905,0.5667558365758755,0.4440739329268293,0.4979700854700855,0.5728503166948306,0.4440739329268293,0.6607958872810358,0.5667558365758755,0.5432842830306825,9322,13882,7126,11670,20992,21008,0.6803643049440123,0.4998095238095238,0.9992383853769993,0.5655555555555556,0.5804020100502513,0.4634418189924209,0.5153693604362916,0.5943556540102808,0.4634418189924209,0.6670358883473637,0.5804020100502513,0.5557401255075674,2079,3011,1503,2407,4486,4514,0.675087955636038,0.49844444444444447,0.993797075764289
5,9.920292628279102e-05,7.701210975646973,0.5645476190476191,0.5837101269742955,0.4489329268292683,0.5075261868217681,0.5872727473593102,0.4489329268292683,0.6800742574257426,0.5837101269742955,0.5525817056662155,9424,14287,6721,11568,20992,21008,0.6760769261777582,0.4998095238095238,0.9992383853769993,0.5767777777777777,0.5834771886559803,0.5274186357556844,0.5540334855403348,0.6105800826516642,0.5274186357556844,0.6258307487815684,0.5834771886559803,0.5712841253791708,2366,2825,1689,2120,4486,4514,0.6693454015422875,0.49844444444444447,0.993797075764289
6,9.891625428724366e-05,8.344416379928589,0.5830714285714286,0.610221011968843,0.45903201219512196,0.5239376886061495,0.6101390942151974,0.45903201219512196,0.7070163747143945,0.610221011968843,0.5667137242931818,9636,14853,6155,11356,20992,21008,0.6693560071629231,0.4998095238095238,0.9992383853769993,0.5994444444444444,0.623770722112953,0.4948729380294249,0.5518955873213176,0.6375811588102285,0.4948729380294249,0.7033673017279575,0.623770722112953,0.5835324388899099,2220,3175,1339,2266,4486,4514,0.661050686534022,0.49844444444444447,0.993797075764289
7,9.858624225078842e-05,7.693927526473999,0.5974285714285714,0.6296178748254412,0.47251333841463417,0.5398682849833996,0.6287096774091142,0.47251333841463417,0.7222486671744097,0.6296178748254412,0.5781071401356397,9919,15173,5835,11073,20992,21008,0.6620692020129287,0.4998095238095238,0.9992383853769993,0.6044444444444445,0.6105011933174225,0.5702184574230941,0.5896726602120793,0.6502076267009793,0.5702184574230941,0.638458130261409,0.6105011933174225,0.5991683991683991,2558,2882,1632,1928,4486,4514,0.6551414325203694,0.49844444444444447,0.993797075764289
8,9.821321585546247e-05,7.568424701690674,0.6059761904761904,0.6375797361739023,0.4904249237804878,0.5544037265408331,0.6414871463836221,0.4904249237804878,0.7214394516374715,0.6375797361739023,0.5862375739759409,10295,15156,5852,10697,20992,21008,0.6581413633555264,0.4998095238095238,0.9992383853769993,0.608,0.6174019607843138,0.5615247436469015,0.5881391547980388,0.6598351026014869,0.5615247436469015,0.654186973859105,0.6174019607843138,0.6002032520325203,2519,2953,1561,1967,4486,4514,0.6486443004138033,0.49844444444444447,0.993797075764289
9,9.779754323328194e-05,8.314924001693726,0.6110476190476191,0.6430326861636766,0.4985708841463415,0.5616614790168509,0.6489074229706917,0.4985708841463415,0.7234386900228484,0.6430326861636766,0.590810138392163,10466,15198,5810,10526,20992,21008,0.6540843655997859,0.4998095238095238,0.9992383853769993,0.6152222222222222,0.6311874839702488,0.5485956308515382,0.5870005963029219,0.6621461126241024,0.5485956308515382,0.6814355338945502,0.6311874839702488,0.6030190158792393,2461,3076,1438,2025,4486,4514,0.6462142610214126,0.49844444444444447,0.993797075764289
10,9.733963460294018e-05,8.317731618881226,0.6187619047619047,0.6495854860026433,0.5151009908536586,0.5745788830437324,0.6564240873268518,0.5151009908536586,0.7223438690022849,0.6495854860026433,0.5985248875917015,10813,15175,5833,10179,20992,21008,0.6502511158902594,0.4998095238095238,0.9992383853769993,0.6174444444444445,0.6324612649225299,0.5550601872492198,0.5912382761486407,0.6677698954518275,0.5550601872492198,0.679441736818786,0.6324612649225299,0.6057673316215683,2490,3067,1447,1996,4486,4514,0.6433410988727086,0.49844444444444447,0.993797075764289
