epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.009997535269026829,422.0525987148285,0.5007371428571429,0.5009412992524382,0.49625432330773384,0.49858679651878485,0.5003964113301244,0.49625432330773384,0.5052234731880765,0.5009412992524382,0.5005366158934584,173757,176759,173104,176380,350137,349863,0.6931401298730422,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929261641697672,0.49954333333333334,0.9981750001665146
1,0.009990143508499217,504.70491194725037,0.49931285714285717,0.4995296562662364,0.5217186415603036,0.510383095356839,0.49925314052230363,0.5217186415603036,0.4768895253284857,0.4995296562662364,0.4990757081750471,182673,166846,183017,167464,350137,349863,0.6929591060120619,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928999666061011,0.49954333333333334,0.9981750001665146
2,0.009977832013192385,543.931266784668,0.4988728571428571,0.4989933300395257,0.4615164921159432,0.4795237819688209,0.4981351360530479,0.4615164921159432,0.5362584783186561,0.4989933300395257,0.4987691407911527,161594,187617,162246,188543,350137,349863,0.6929749281140525,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928795879713098,0.49954333333333334,0.9981750001665146
3,0.009960612933065818,560.5178418159485,0.49979285714285715,0.49998854472140764,0.4986276800223912,0.4993071851124162,0.49964416201078593,0.4986276800223912,0.5009589467877427,0.49998854472140764,0.49959807990513544,174588,175267,174596,175549,350137,349863,0.6929483635551968,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928754217490402,0.49954333333333334,0.9981750001665146
4,0.009938503261272713,554.703771352768,0.49969,0.49988312773554144,0.4886287367516144,0.49419186557884204,0.4993042315423766,0.4886287367516144,0.5107599260281882,0.49988312773554144,0.4995052355581893,171087,178696,171167,179050,350137,349863,0.692957315257524,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929263821437497,0.49954333333333334,0.9981750001665146
5,0.009911524817389801,561.7635896205902,0.5001557142857143,0.500332044747754,0.5293328040167135,0.5144240176860231,0.49973268515087976,0.5293328040167135,0.47095577411729733,0.500332044747754,0.49995752014758715,185339,164770,185093,164798,350137,349863,0.6929609357547935,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928998706385544,0.49954333333333334,0.9981750001665146
6,0.009879704225884044,603.8339993953705,0.5003442857142857,0.5005862282878412,0.4609310070058292,0.47994088057608725,0.5000686424921498,0.4609310070058292,0.5397884314717475,0.5005862282878412,0.5001377118644068,161389,188852,161011,188748,350137,349863,0.6929559347180605,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6928845437008366,0.49954333333333334,0.9981750001665146
7,0.009843072889837512,593.6283710002899,0.4998642857142857,0.5000607920333487,0.4933526019815101,0.4966840479199284,0.4995736589714123,0.4933526019815101,0.5063810691613575,0.5000607920333487,0.49967283393501805,172741,177164,172699,177396,350137,349863,0.692961907626506,0.5001957142857143,0.9992174491698963,0.49954333333333334,0.49954333333333334,1.0,0.6662606171212124,0.5,1.0,0.0,0.49954333333333334,0.0,149863,0,150137,0,149863,150137,0.6929973284030531,0.49954333333333334,0.9981750001665146
8,0.00980166695995633,580.7239027023315,0.49939,0.49958075037009625,0.49347255502846027,0.49650786717682505,0.49925786058833294,0.49347255502846027,0.5053120792996115,0.49958075037009625,0.4992037137435619,172783,176790,173073,177354,350137,349863,0.6929511360973937,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6929979707295577,0.49954333333333334,0.9981750001665146
9,0.009755527298894291,549.6149923801422,0.5003957142857143,0.5005542109321454,0.5339595643990781,0.5167175436438787,0.5006686693595939,0.5339595643990781,0.46680557818346036,0.5005542109321454,0.5002143977261589,186959,163318,186545,163178,350137,349863,0.6929440080356772,0.5001957142857143,0.9992174491698963,0.5004566666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5004566666666667,0,150137,0,149863,149863,150137,0.6928872184338423,0.49954333333333334,0.9981750001665146
