epoch,learning_rate,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.0009997557473810372,204.73697805404663,0.6452547619047619,0.6860690867797355,0.5352493724606686,0.6013469220663508,0.7053153421027392,0.5352493724606686,0.7552046388292478,0.6860690867797355,0.6191619243889682,112374,158633,51420,97573,209947,210053,0.6134671432299268,0.4998738095238095,0.9994953654553851,0.7700944444444444,0.8121872995509942,0.7030304376311728,0.7536770176723034,0.8582360237388877,0.7030304376311728,0.8372374842963078,0.8121872995509942,0.7379421852033317,63310,75307,14640,26743,90053,89947,0.47500442556867545,0.5002944444444445,0.9988229153942677
1,0.0009990232305719946,186.9631063938141,0.7536238095238095,0.7869366722902866,0.6954040781721101,0.7383443665070271,0.841141310040044,0.6954040781721101,0.8118141611878906,0.7869366722902866,0.727264972939315,145998,170524,39529,63949,209947,210053,0.479998320776976,0.4998738095238095,0.9994953654553851,0.8104055555555556,0.9137395318557098,0.685773933128269,0.7835116944410965,0.9161607043821504,0.685773933128269,0.9351840528311116,0.9137395318557098,0.748278684149661,61756,84117,5830,28297,90053,89947,0.3888432127000256,0.5002944444444445,0.9988229153942677
2,0.0009978031724785247,187.46244168281555,0.7945619047619048,0.8172945179118494,0.7586057433542751,0.7868573037760178,0.8839032258363755,0.7586057433542751,0.8304999214483963,0.8172945179118494,0.7748846217057775,159267,174449,35604,50680,209947,210053,0.42029996983602524,0.4998738095238095,0.9994953654553851,0.8541333333333333,0.8415001017054397,0.872841548865668,0.8568843344598277,0.9372844638681554,0.872841548865668,0.8354030706971883,0.8415001017054397,0.8677606734955481,78602,75142,14805,11451,90053,89947,0.3450594975570725,0.5002944444444445,0.9988229153942677
3,0.0009960967771506667,187.32206869125366,0.820302380952381,0.8329751198446971,0.801159340214435,0.8167575113808802,0.9064762609930117,0.801159340214435,0.8394357614506816,0.8329751198446971,0.8085678124656077,168201,176326,33727,41746,209947,210053,0.38244943152761257,0.4998738095238095,0.9994953654553851,0.8747388888888888,0.8602779497470273,0.8949840649395356,0.8772878920642868,0.9512408155599323,0.8949840649395356,0.8544698544698545,0.8602779497470273,0.8904349236508562,80596,76857,13090,9457,90053,89947,0.298286102542823,0.5002944444444445,0.9988229153942677
4,0.0009939057285945933,186.77146100997925,0.8357595238095238,0.8445994837094692,0.8228314765155015,0.8335733914298054,0.9200495459278724,0.8228314765155015,0.8486810471642872,0.8445994837094692,0.82736791296922,172751,178268,31785,37196,209947,210053,0.35592179491634707,0.4998738095238095,0.9994953654553851,0.88675,0.8705271667446709,0.9087981521992604,0.8892510797815989,0.9590468214151261,0.9087981521992604,0.8646758646758647,0.8705271667446709,0.9044866725589618,81840,77775,12172,8213,90053,89947,0.2647095639258623,0.5002944444444445,0.9988229153942677
5,0.0009912321891107012,187.46775650978088,0.8461142857142857,0.853462996025472,0.8356251815934498,0.8444498996404384,0.9280138820134012,0.8356251815934498,0.8565980966708402,0.853462996025472,0.8390699539733539,175437,179931,30122,34510,209947,210053,0.3394957161000558,0.4998738095238095,0.9994953654553851,0.8883944444444445,0.8680998379527327,0.9161160649839539,0.8914618530745001,0.9598374802695656,0.9161160649839539,0.8606401547578019,0.8680998379527327,0.9110938493044276,82499,77412,12535,7554,90053,89947,0.26602438949471846,0.5002944444444445,0.9988229153942677
6,0.0009880787971596802,186.697922706604,0.8535619047619047,0.8599962167694121,0.8445369545647234,0.8521964817841008,0.9338341738353786,0.8445369545647234,0.8625823006574531,0.8599962167694121,0.8473579108344597,177308,181188,28865,32639,209947,210053,0.3261359533673013,0.4998738095238095,0.9994953654553851,0.8575055555555555,0.8074294006453707,0.9391691559415011,0.8683309462574244,0.9521737177353052,0.9391691559415011,0.7757457169221875,0.8074294006453707,0.9272065272277885,84575,69776,20171,5478,90053,89947,0.32332521478052845,0.5002944444444445,0.9988229153942677
7,0.0009844486647586726,186.150621175766,0.8574357142857143,0.8618306843607746,0.8512767507990112,0.8565212077934837,0.936935761685999,0.8512767507990112,0.8635915697466829,0.8618306843607746,0.8531492211603582,178723,181400,28653,31224,209947,210053,0.31876723548212405,0.4998738095238095,0.9994953654553851,0.8727111111111111,0.8186054457277895,0.9578137319134288,0.8827550915975847,0.9641405118852713,0.9578137319134288,0.7875081992729052,0.8186054457277895,0.9490975841785805,86254,70834,19113,3799,90053,89947,0.2942767419894649,0.5002944444444445,0.9988229153942677
8,0.000980345374410087,185.81906294822693,0.8614738095238095,0.8650081291427362,0.8565495101144575,0.8607580395413567,0.9394403903262597,0.8565495101144575,0.8663956239615715,0.8650081291427362,0.858009674408079,179830,181989,28064,30117,209947,210053,0.312446454724911,0.4998738095238095,0.9994953654553851,0.894,0.8647909620781463,0.9341832032247677,0.8981487412721799,0.9658645940881043,0.9341832032247677,0.8537694420047361,0.8647909620781463,0.9283495122157615,84126,76794,13153,5927,90053,89947,0.24801739449189467,0.5002944444444445,0.9988229153942677
9,0.0009757729755661012,188.322922706604,0.8644904761904761,0.8694396832677498,0.8577117081930201,0.8635358771597508,0.9418144363391554,0.8577117081930201,0.8712658233874307,0.8694396832677498,0.8596754116072057,180074,183012,27041,29873,209947,210053,0.3068602808287491,0.4998738095238095,0.9994953654553851,0.8947777777777778,0.8613795977274344,0.9411346651416388,0.8994926874827535,0.9678625388550459,0.9411346651416388,0.848366260130966,0.8613795977274344,0.9350439289784215,84752,76308,13639,5301,90053,89947,0.24678441585803573,0.5002944444444445,0.9988229153942677
10,0.0009707359806323418,188.538836479187,0.8673880952380952,0.8716401800256354,0.8615888771928153,0.866585383964951,0.9437950907396918,0.8615888771928153,0.8731843867976178,0.8716401800256354,0.8632350311096887,180888,183415,26638,29059,209947,210053,0.3017677144442006,0.4998738095238095,0.9994953654553851,0.8997277777777778,0.8771422585376074,0.9298080019544046,0.9027076269587576,0.9672311535743594,0.9298080019544046,0.8696121049062225,0.8771422585376074,0.9252306600425834,83732,78219,11728,6321,90053,89947,0.2375869681762362,0.5002944444444445,0.9988229153942677
11,0.0009652393605146846,189.15221691131592,0.868352380952381,0.8707063927706801,0.8650992869629002,0.8678937836585098,0.9446704301038376,0.8650992869629002,0.8716038333182577,0.8707063927706801,0.866029658711951,181625,183083,26970,28322,209947,210053,0.299506185631938,0.4998738095238095,0.9994953654553851,0.9015722222222222,0.8951836716854964,0.9097864590852054,0.9024259947680022,0.9673778233783094,0.9097864590852054,0.893348305113011,0.8951836716854964,0.9081805646601415,81929,80354,9593,8124,90053,89947,0.23258787287737837,0.5002944444444445,0.9988229153942677
12,0.0009592885397135708,186.50374817848206,0.8713380952380952,0.8754147624115696,0.8658328054223209,0.8705974195155126,0.9468552738257703,0.8658328054223209,0.8768406068944504,0.8754147624115696,0.8673516960127337,181779,184183,25870,28168,209947,210053,0.2934955501614512,0.4998738095238095,0.9994953654553851,0.8966444444444445,0.8932553966733815,0.9010915794032404,0.8971563771448788,0.9638624403690857,0.9010915794032404,0.8921920686626569,0.8932553966733815,0.9000975806722972,81146,80250,9697,8907,90053,89947,0.24539348531768404,0.5002944444444445,0.9988229153942677
13,0.0009528893909706799,183.99799180030823,0.8725571428571428,0.8775494441306667,0.8658709102773557,0.8716710620954208,0.9477592686792695,0.8658709102773557,0.879240001332997,0.8775494441306667,0.8676983936818465,181787,184687,25366,28160,209947,210053,0.29120030218257476,0.4998738095238095,0.9994953654553851,0.9016333333333333,0.8906298932000043,0.9158495552619014,0.9030636825508059,0.9673825235033962,0.9158495552619014,0.8874003579885933,0.8906298932000043,0.9132922182683616,82475,79819,10128,7578,90053,89947,0.23931955730288543,0.5002944444444445,0.9988229153942677
14,0.0009460482294732424,185.51438188552856,0.8738976190476191,0.8782965761875385,0.8680095452661862,0.8731227616275588,0.9485232269478854,0.8680095452661862,0.8797827215036205,0.8782965761875385,0.8696026577322692,182236,184801,25252,27711,209947,210053,0.28905414970163745,0.4998738095238095,0.9994953654553851,0.9042722222222223,0.8942547155510319,0.9171043718698988,0.9055354235308952,0.9684876353681194,0.9171043718698988,0.8914249502484797,0.8942547155510319,0.9148278301348607,82588,80181,9766,7465,90053,89947,0.22938625755804506,0.5002944444444445,0.9988229153942677
15,0.0009387718066217127,187.85458040237427,0.8750738095238095,0.8799521314070085,0.8685811180917089,0.8742296509189057,0.9494739608973324,0.8685811180917089,0.8815632245195261,0.8799521314070085,0.8703223259355348,182356,185175,24878,27591,209947,210053,0.28646325917958776,0.4998738095238095,0.9994953654553851,0.9002777777777777,0.8687567125249323,0.9431556972005375,0.9044287554973431,0.9712354118765768,0.9431556972005375,0.8573493279375632,0.8687567125249323,0.9377515656350702,84934,77116,12831,5119,90053,89947,0.22911890193989332,0.5002944444444445,0.9988229153942677
