epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_utilization,val_source_muons_val,val_target_events_val,val_domain_batch_size_val
0,0.0004998768868112501,0.0009997535269026829,0.001999506807085549,171.14116764068604,0.6411214285714286,0.6821262932572244,0.5282095004929815,0.5953811999860411,0.7046341593382621,0.5282095004929815,0.7539763773904681,0.6821262932572244,0.6152253463131152,110896,158375,51678,99051,209947,210053,0.6091473225989673,0.4998738095238095,0.9994953654553851,0.6091473225989673,0.6962769806893241,1.3054243032882913,0.5427392827898228,0.0,0.9829963416059334,255.8501827040195,255.78562728380024,251.36297198538367,0.7355055555555555,0.7176749338420826,0.7769757809290084,0.7461489653260249,0.8321637292034464,0.7769757809290084,0.693986458692341,0.7176749338420826,0.7565752793736213,69969,62422,27525,20084,90053,89947,0.5496347987685691,0.5002944444444445,0.9988229153942677,0.7187848798930645,0.5004292468286373,0.9841973284180756,255.53125,255.6818181818182,251.46875
1,0.0004995076687428538,0.0009990143508499217,0.0019980277150640578,171.23080587387085,0.7391833333333333,0.7760384019003003,0.6722410894178055,0.720420200452767,0.8267211438040746,0.6722410894178055,0.8060917958800874,0.7760384019003003,0.7110366432344815,141135,169322,40731,68812,209947,210053,0.4954298278010574,0.4998738095238095,0.9994953654553851,0.4954298278010574,0.44389883870764857,0.939328666508706,0.8243645303650111,0.049958374957880025,0.9829862139516882,255.8501827040195,255.78562728380024,251.34470158343484,0.7911777777777778,0.7483550295857988,0.8777608741518883,0.8079089115792271,0.9001449106798831,0.8777608741518883,0.7044926456691163,0.7483550295857988,0.8519932773109243,79045,63367,26580,11008,90053,89947,0.4918338546360081,0.5002944444444445,0.9988229153942677,0.6924455428326671,0.49092130752449686,0.9841973284180756,255.53125,255.6818181818182,251.46875
2,0.0004988927101684685,0.0009977832013192385,0.0019955641836207788,171.19652009010315,0.7755047619047619,0.8038237040228224,0.7287505894344763,0.7644484193801432,0.8654093061096313,0.7287505894344763,0.8222353406045141,0.8038237040228224,0.752034520445352,152999,172713,37340,56948,209947,210053,0.44551572214526175,0.4998738095238095,0.9994953654553851,0.44551572214526175,0.21005595980913136,0.6555716819543932,0.9390642221894537,0.0996679946249559,0.9829977800082028,255.8501827040195,255.78562728380024,251.3593179049939,0.8457333333333333,0.8388922139398226,0.8560514363763562,0.8473849671334667,0.9304939941058801,0.8560514363763562,0.8354030706971883,0.8388922139398226,0.8528687361670734,77090,75142,14805,12963,90053,89947,0.3752824935046109,0.5002944444444445,0.9988229153942677,0.6807713876055046,0.6018310575322672,0.9841973284180756,255.53125,255.6818181818182,251.46875
3,0.0004980326179779623,0.0009960612933065818,0.0019921186439638213,170.5460615158081,0.7971547619047619,0.8193070827446404,0.7623352560408103,0.789795087528837,0.8868454657403382,0.7623352560408103,0.8319566966432281,0.8193070827446404,0.7778920285597279,160050,174755,35298,49897,209947,210053,0.41395235417385773,0.4998738095238095,0.9994953654553851,0.41395235417385773,0.1360599565570414,0.5500123107308992,0.9638169894264909,0.14888503362331806,0.9833273876199133,255.8501827040195,255.78562728380024,251.44336175395858,0.8009722222222222,0.7258408435922638,0.967685696201126,0.8294948860364284,0.9448964458906317,0.967685696201126,0.6340622811211046,0.7258408435922638,0.9514530713022589,87143,57032,32915,2910,90053,89947,0.5545113358477299,0.5002944444444445,0.9988229153942677,1.182197626341473,0.5003225326707418,0.9841973284180756,255.53125,255.6818181818182,251.46875
4,0.0004969282409784869,0.0009938503261272714,0.001987694496424841,171.72458839416504,0.8130285714285714,0.8298620000702801,0.7873939613330984,0.8080703898325797,0.901352697083894,0.7873939613330984,0.8386502454142526,0.8298620000702801,0.7978414561792053,165311,176161,33892,44636,209947,210053,0.39005065309144693,0.4998738095238095,0.9994953654553851,0.39005065309144693,0.09687108299655252,0.48692173608799943,0.9739063918663146,0.197375320224904,0.9827547251323188,255.8501827040195,255.78562728380024,251.29719853836784,0.8466722222222223,0.7917375137801529,0.9410680377111257,0.8599682380220305,0.949543157748979,0.9410680377111257,0.7521651639298698,0.7917375137801529,0.9272635070310573,84746,67655,22292,5307,90053,89947,0.44500542211938987,0.5002944444444445,0.9988229153942677,1.310228973965753,0.47652131877839565,0.9841973284180756,255.53125,255.6818181818182,251.46875
5,0.0004955806690568079,0.00099115248173898,0.001982296107103325,168.00768423080444,0.8267333333333333,0.8397960851923963,0.8074037733332698,0.8232814306112736,0.9128159544693881,0.8074037733332698,0.8460531389696886,0.8397960851923963,0.8146467355180586,169512,177716,32337,40435,209947,210053,0.3695768278713784,0.4998738095238095,0.9994953654553851,0.3695768278713784,0.06318123792110966,0.43275806579248804,0.9850186508117146,0.2449186624037092,0.9832533759136595,255.8501827040195,255.78562728380024,251.4202192448234,0.87315,0.8299497369041074,0.9388027050736788,0.8810266938311875,0.9587230048830766,0.9388027050736788,0.8074199250669839,0.8299497369041074,0.9294691307463909,84542,72625,17322,5511,90053,89947,0.3799281199039383,0.5002944444444445,0.9988229153942677,1.042923320423473,0.5000718502666462,0.9841973284180756,255.53125,255.6818181818182,251.46875
6,0.0004939912321037176,0.0009879704225884043,0.0019759288035577785,168.26225304603577,0.8363166666666667,0.8456277598817229,0.8227457405916732,0.8340298348917103,0.9207690657696215,0.8227457405916732,0.8498807443835603,0.8456277598817229,0.8275005330638657,172733,178520,31533,37214,209947,210053,0.35375455584508636,0.4998738095238095,0.9994953654553851,0.35375455584508636,0.05535872548593982,0.4091132813310262,0.986212274043772,0.2913126124515908,0.9830347471143114,255.8501827040195,255.78562728380024,251.35566382460414,0.8769111111111111,0.8316222367662717,0.9453766115509755,0.8848584376169293,0.9625514496675336,0.9453766115509755,0.8083649260119848,0.8316222367662717,0.9366345051462727,85134,72710,17237,4919,90053,89947,0.3743119492957538,0.5002944444444445,0.9988229153942677,0.8869762581519105,0.49946867200461303,0.9841973284180756,255.53125,255.6818181818182,251.46875
7,0.0004921614987015935,0.0009843072889837512,0.001968598869548067,171.7293622493744,0.8439880952380953,0.8505660633835638,0.8345106145836806,0.8424618506434961,0.9269519308119722,0.8345106145836806,0.8534607932283756,0.8505660633835638,0.8376569976076556,175203,179272,30781,34744,209947,210053,0.3406895386025618,0.4998738095238095,0.9994953654553851,0.3406895386025618,0.036124442968331505,0.3768139815708933,0.9921282046314569,0.3363755443363323,0.9828249970494645,255.8501827040195,255.78562728380024,251.30694275274055,0.8787666666666667,0.8284031073419135,0.9556261312782472,0.887478343371009,0.9653057959313556,0.9556261312782472,0.8018166253460371,0.8284031073419135,0.9475018721179237,86057,72121,17826,3996,90053,89947,0.3575727938759056,0.5002944444444445,0.9988229153942677,2.7209085300564766,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
8,0.0004900932745763975,0.000980166695995633,0.001960313538834105,171.00696516036987,0.8502309523809524,0.8549763902702807,0.8434557293031099,0.8491769868006186,0.9325666803532835,0.8434557293031099,0.8570027564471824,0.8549763902702807,0.845614002123242,177081,180016,30037,32866,209947,210053,0.32844157017830955,0.4998738095238095,0.9994953654553851,0.32844157017830955,0.027120090721585718,0.35556166089989527,0.9947445531274747,0.379948962255225,0.9827421403133564,255.8501827040195,255.78562728380024,251.28745432399512,0.8653277777777778,0.8028122354326941,0.9687628396610884,0.8780149053195183,0.9684946802471057,0.9687628396610884,0.76177082059435,0.8028122354326941,0.9605646834520272,87240,68519,21428,2813,90053,89947,0.41110660948536615,0.5002944444444445,0.9988229153942677,2.265295801514929,0.4999941504475745,0.9841973284180756,255.53125,255.6818181818182,251.46875
9,0.00048778860081564096,0.0009755527298894294,0.0019510809880370062,171.33699679374695,0.8571952380952381,0.8615923963100307,0.8510290692412847,0.8562781558516247,0.9369143376596909,0.8510290692412847,0.8633582952873798,0.8615923963100307,0.8529067333875754,178671,181351,28702,31276,209947,210053,0.318571312727359,0.4998738095238095,0.9994953654553851,0.318571312727359,0.022524582949238994,0.341095895676598,0.9950943075928125,0.4218990052500078,0.9825778048497164,255.8501827040195,255.78562728380024,251.24969549330086,0.8793111111111112,0.8251810818270943,0.962721952627897,0.8886611041636769,0.9697623876620428,0.962721952627897,0.7958019722725606,0.8251810818270943,0.9552023699907922,86696,71580,18367,3357,90053,89947,0.39248884604735806,0.5002944444444445,0.9988229153942677,1.7275531369854102,0.500011159107089,0.9841973284180756,255.53125,255.6818181818182,251.46875
