epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.0004998768868112501,0.0009997535269026829,0.001999506807085549,18.585477828979492,0.5468142857142857,0.5517496224414382,0.49138621794871795,0.5198213880269431,0.5665600120262838,0.49138621794871795,0.6020652670013692,0.5517496224414382,0.5428637567838679,17171,21106,13950,17773,34944,35056,0.6834621094439152,0.4992,0.9968051118210862,0.6834621094439152,0.7062941981058051,1.3897563075497203,0.5216059841378762,0.5,0.9828798383929219,255.8832116788321,256.0,251.44525547445255,0.5931333333333333,0.6318711826762909,0.4535069075451647,0.5280334080890883,0.6315770916700421,0.4535069075451647,0.733806209850107,0.6318711826762909,0.5713243721996457,6828,10966,3978,8228,15056,14944,0.6606495491528915,0.5018666666666667,0.9925611052072263
1,0.0004995076687428538,0.0009990143508499217,0.0019980277150640578,18.211869716644287,0.5906,0.6240723195957681,0.45240956959706957,0.5245537195567058,0.6252067119577541,0.45240956959706957,0.728348927430397,0.6240723195957681,0.571617265156264,15809,25533,9523,19135,34944,35056,0.6609548021407023,0.4992,0.9968051118210862,0.6609548021407023,0.7063024840215697,1.367257286162272,0.5105049760237227,0.545,0.9817807272205569,255.8832116788321,256.0,251.15328467153284,0.6096666666666667,0.6319816976964342,0.5320802337938364,0.5777441223135727,0.6504848307574633,0.5320802337938364,0.6878345824411135,0.6319816976964342,0.5933387208496883,8011,10279,4665,7045,15056,14944,0.6528742363897421,0.5018666666666667,0.9925611052072263
2,0.0004988927101684685,0.0009977832013192385,0.0019955641836207788,17.843372583389282,0.6022142857142857,0.6336056009334889,0.4817135989010989,0.5473167400952675,0.6435795426656701,0.4817135989010989,0.7223299863076221,0.6336056009334889,0.5830129164460203,16833,25322,9734,18111,34944,35056,0.6514351481068743,0.4992,0.9968051118210862,0.6514351481068743,0.70518563568157,1.3566207837884443,0.5053783679095498,0.59,0.9828994222393724,255.8832116788321,256.0,251.45985401459853,0.6178333333333333,0.6786744949746243,0.4529755579171095,0.5433180641306513,0.6675416440470922,0.4529755579171095,0.7839266595289079,0.6786744949746243,0.5871886120996441,6820,11715,3229,8236,15056,14944,0.6396528775409117,0.5018666666666667,0.9925611052072263
3,0.0004980326179779623,0.0009960612933065818,0.0019921186439638213,17.589938402175903,0.6142428571428571,0.6490595787813943,0.49476304945054944,0.5615043601110732,0.6590870721608639,0.49476304945054944,0.7333409402099498,0.6490595787813943,0.5928556603556027,17289,25708,9348,17655,34944,35056,0.6431550683766386,0.4992,0.9968051118210862,0.6431550683766386,0.7064867485178649,1.3496418168945035,0.5188763302608128,0.635,0.9803531256665506,255.8832116788321,256.0,250.7810218978102,0.6305666666666667,0.6399633622208131,0.6032810839532412,0.6210810626004308,0.686869108984559,0.6032810839532412,0.6580567451820128,0.6399633622208131,0.6221294363256785,9083,9834,5110,5973,15056,14944,0.6311236791691538,0.5018666666666667,0.9925611052072263
4,0.0004969282409784869,0.0009938503261272714,0.001987694496424841,17.80114197731018,0.6259,0.6590389016018307,0.5192307692307693,0.5808403361344537,0.6765735148853409,0.5192307692307693,0.7322284345047924,0.6590389016018307,0.6044173397066095,18144,25669,9387,16800,34944,35056,0.6325896991430408,0.4992,0.9968051118210862,0.6325896991430408,0.7055128316809661,1.3381025308240069,0.5074663551619453,0.6799999999999999,0.9823555372560712,255.8832116788321,256.0,251.3065693430657,0.6408,0.6453409399619668,0.6311105207226355,0.6381464069845534,0.7049884104162447,0.6311105207226355,0.6505620985010707,0.6453409399619668,0.6364231474207908,9502,9722,5222,5554,15056,14944,0.6199526685779377,0.5018666666666667,0.9925611052072263
5,0.0004955806690568079,0.00099115248173898,0.001982296107103325,18.024482011795044,0.6309,0.6607817520567777,0.5355425824175825,0.5916067335809689,0.6881376493874845,0.5355425824175825,0.7259527612962118,0.6607817520567777,0.6105952638019146,18714,25449,9607,16230,34944,35056,0.6241561022118061,0.4992,0.9968051118210862,0.6241561022118061,0.7053242856568663,1.3294803878686723,0.5127626627031034,0.725,0.9823487708160858,255.8832116788321,256.0,251.2992700729927,0.6514,0.6823734729493892,0.5713336875664187,0.6219362302075049,0.715584973664344,0.5713336875664187,0.732066381156317,0.6823734729493892,0.6289525123605841,8602,10940,4004,6454,15056,14944,0.6087742367033231,0.5018666666666667,0.9925611052072263
6,0.0004939912321037176,0.0009879704225884043,0.0019759288035577785,17.630627632141113,0.6417142857142857,0.671906587661206,0.551654075091575,0.605871075211365,0.7011544998534789,0.551654075091575,0.7314867640346874,0.671906587661206,0.6207455821834906,19277,25643,9413,15667,34944,35056,0.6153502272863458,0.4992,0.9968051118210862,0.6153502272863458,0.704821924223517,1.3201721515098628,0.514288910113982,0.77,0.9825263529139633,255.8832116788321,256.0,251.36496350364965,0.6524333333333333,0.6509095651039969,0.663057917109458,0.6569275820090152,0.7231533035944893,0.663057917109458,0.6417291220556746,0.6509095651039969,0.6540271431494237,9983,9590,5354,5073,15056,14944,0.6205108903222165,0.5018666666666667,0.9925611052072263
7,0.0004921614987015935,0.0009843072889837512,0.001968598869548067,18.025423765182495,0.6496857142857143,0.6798509008076207,0.5637019230769231,0.6163522012578616,0.7125149526097072,0.5637019230769231,0.7353947968963943,0.6798509008076207,0.6283820016574855,19698,25780,9276,15246,34944,35056,0.6076352809467455,0.4992,0.9968051118210862,0.6076352809467455,0.7034782123391645,1.31111349328591,0.5265440438350621,0.8150000000000001,0.9833214356481794,255.8832116788321,256.0,251.57664233576642,0.6637,0.645276396607195,0.7326647183846972,0.6861994961276476,0.746732814462694,0.7326647183846972,0.5942184154175589,0.645276396607195,0.6881053855094924,11031,8880,6064,4025,15056,14944,0.6050354656526598,0.5018666666666667,0.9925611052072263
8,0.0004900932745763975,0.000980166695995633,0.001960313538834105,18.738589763641357,0.6557428571428572,0.6868067516362384,0.570570054945055,0.6233157220120674,0.7200519947616779,0.570570054945055,0.7406435417617526,0.6868067516362384,0.6337319990236758,19938,25964,9092,15006,34944,35056,0.6015774268303474,0.4992,0.9968051118210862,0.6015774268303474,0.7054416981056659,1.3070191249360132,0.5174823499073947,0.86,0.981685138746631,255.8832116788321,256.0,251.13138686131387,0.6812666666666667,0.6863636363636364,0.6719580233793836,0.6790844408645456,0.758849878903201,0.6719580233793836,0.6906450749464668,0.6863636363636364,0.676343381389253,10117,10321,4623,4939,15056,14944,0.5722981640848063,0.5018666666666667,0.9925611052072263
9,0.00048778860081564096,0.0009755527298894294,0.0019510809880370062,17.504560947418213,0.6604142857142857,0.6981239138915487,0.5633298992673993,0.6235251263046199,0.7267344881953919,0.5633298992673993,0.7571884984025559,0.6981239138915487,0.6349783508360644,19685,26544,8512,15259,34944,35056,0.5944728359688808,0.4992,0.9968051118210862,0.5944728359688808,0.7042882094418046,1.2987610454106853,0.5183645299751393,0.905,0.9832062533077114,255.8832116788321,256.0,251.53284671532847,0.6541333333333333,0.6216469120399252,0.7942348565356004,0.6974221392744664,0.7561041206334325,0.7942348565356004,0.5129817987152034,0.6216469120399252,0.7121887774061687,11958,7666,7278,3098,15056,14944,0.630147939011202,0.5018666666666667,0.9925611052072263
