epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance
0,0.0004998768868112501,0.0009997535269026829,0.001999506807085549,16.983760118484497,0.5473857142857143,0.5530675345809601,0.4862923534798535,0.5175349099270584,0.569901298539161,0.4862923534798535,0.6082838886353263,0.5530675345809601,0.5429408020369192,16993,21324,13732,17951,34944,35056,0.6825316178537634,0.4992,0.9968051118210862,0.6825316178537634,0.6983141216048359,1.3808457394585991,0.5590736559272682,0.0,0.9828798383929219,255.8832116788321,256.0,251.44525547445255,0.5953666666666667,0.5986205963892082,0.5880047821466525,0.5932652035516837,0.6355045575212995,0.5880047821466525,0.6027837259100642,0.5986205963892082,0.5922030109788968,8853,9008,5936,6203,15056,14944,0.664522218502174,0.5018666666666667,0.9925611052072263
1,0.0004995076687428538,0.0009990143508499217,0.0019980277150640578,16.74714493751526,0.5939428571428571,0.6252497310588597,0.4657165750915751,0.5338188020730827,0.6303315516079557,0.4657165750915751,0.7217594705613875,0.6252497310588597,0.5754116255799145,16274,25302,9754,18670,34944,35056,0.6594217328259545,0.4992,0.9968051118210862,0.6594217328259545,0.6493359351680227,1.3087576679939772,0.6749917762557955,0.049958374957880025,0.9817807272205569,255.8832116788321,256.0,251.15328467153284,0.6068333333333333,0.6320563699684134,0.5183315621679064,0.5695726745246871,0.6503312775061612,0.5183315621679064,0.6959983940042827,0.6320563699684134,0.5891916388149323,7804,10401,4543,7252,15056,14944,0.653610040575771,0.5018666666666667,0.9925611052072263
2,0.0004988927101684685,0.0009977832013192385,0.0019955641836207788,17.27324151992798,0.6018142857142857,0.6342917916967372,0.47787889194139194,0.545086582559449,0.6431336986671665,0.47787889194139194,0.7253537197626655,0.6342917916967372,0.5822361642204565,16699,25428,9628,18245,34944,35056,0.6521939500404971,0.4992,0.9968051118210862,0.6521939500404971,0.7088338745771533,1.3610278246176504,0.5163422524929047,0.0996679946249559,0.9828994222393724,255.8832116788321,256.0,251.45985401459853,0.6167333333333334,0.6505840528186897,0.5104941551540914,0.5720878302940082,0.661901783217743,0.5104941551540914,0.7237687366167024,0.6505840528186897,0.5947432090619158,7686,10816,4128,7370,15056,14944,0.6451130428556668,0.5018666666666667,0.9925611052072263
3,0.0004980326179779623,0.0009960612933065818,0.0019921186439638213,16.912758111953735,0.6132571428571428,0.6462762003865021,0.4976533882783883,0.5623100303951368,0.6586871854228681,0.4976533882783883,0.7284915563669557,0.6462762003865021,0.5926390049197067,17390,25538,9518,17554,34944,35056,0.6441486830258891,0.4992,0.9968051118210862,0.6441486830258891,0.7060450167551527,1.350193699781042,0.5231078854442512,0.14888503362331806,0.9803531256665506,255.8832116788321,256.0,250.7810218978102,0.6275666666666667,0.6254604200323102,0.6428666312433581,0.6340440863384756,0.6851350514823176,0.6428666312433581,0.612152034261242,0.6254604200323102,0.6298106712564544,9679,9148,5796,5377,15056,14944,0.6384046007010896,0.5018666666666667,0.9925611052072263
4,0.0004969282409784869,0.0009938503261272714,0.001987694496424841,17.634929180145264,0.6255142857142857,0.657831935203934,0.5206330128205128,0.5812460063897763,0.6749623842302342,0.5206330128205128,0.7300604746691008,0.657831935203934,0.6044067636501039,18193,25593,9463,16751,34944,35056,0.6342553652986123,0.4992,0.9968051118210862,0.6342553652986123,0.7075914161918807,1.341846781490493,0.5002629839590866,0.197375320224904,0.9823555372560712,255.8832116788321,256.0,251.3065693430657,0.6387666666666667,0.6345773524720894,0.6606668437832094,0.6473593439849012,0.7026757226269607,0.6606668437832094,0.6167023554603854,0.6345773524720894,0.6433507853403141,9947,9216,5728,5109,15056,14944,0.625632424475783,0.5018666666666667,0.9925611052072263
5,0.0004955806690568079,0.00099115248173898,0.001982296107103325,17.1174099445343,0.6307571428571429,0.6603108589151658,0.5361435439560439,0.5917841969771152,0.685200228398299,0.5361435439560439,0.7250684618895481,0.6603108589151658,0.6106133038652798,18735,25418,9638,16209,34944,35056,0.6263818379736295,0.4992,0.9968051118210862,0.6263818379736295,0.7037235124267801,1.3301053504004097,0.5283459947057014,0.2449186624037092,0.9823487708160858,255.8832116788321,256.0,251.2992700729927,0.6483333333333333,0.6506418828563787,0.6463204038257173,0.648473943755831,0.715734431303007,0.6463204038257173,0.6503613490364025,0.6506418828563787,0.6460382876894443,9731,9719,5225,5325,15056,14944,0.6129222350605463,0.5018666666666667,0.9925611052072263
6,0.0004939912321037176,0.0009879704225884043,0.0019759288035577785,17.027392387390137,0.6397142857142857,0.6727789623312012,0.5417811355311355,0.6002155855684485,0.6993452617524415,0.5417811355311355,0.737334550433592,0.6727789623312012,0.6174868609651218,18932,25848,9208,16012,34944,35056,0.6164595706619486,0.4992,0.9968051118210862,0.6164595706619486,0.7036486198432255,1.320108190505174,0.5246468823756615,0.2913126124515908,0.9825263529139633,255.8832116788321,256.0,251.36496350364965,0.6563333333333333,0.6634297520661157,0.6398113708820404,0.6514065458479849,0.7249267838684188,0.6398113708820404,0.6729791220556746,0.6634297520661157,0.6496770025839793,9633,10057,4887,5423,15056,14944,0.6206698619713218,0.5018666666666667,0.9925611052072263
7,0.0004921614987015935,0.0009843072889837512,0.001968598869548067,17.276397705078125,0.6472,0.6794997547817557,0.5550881410256411,0.6110253583241455,0.7088636628542422,0.5550881410256411,0.7390175718849841,0.6794997547817557,0.6249577845322526,19397,25907,9149,15547,34944,35056,0.6097844582404534,0.4992,0.9968051118210862,0.6097844582404534,0.7029994147537398,1.3127838729941932,0.5260118961769299,0.3363755443363323,0.9833214356481794,255.8832116788321,256.0,251.57664233576642,0.6480333333333334,0.621088911626905,0.7660069075451648,0.6859776951672862,0.736923811080318,0.7660069075451648,0.5291755888650964,0.621088911626905,0.6918029918642289,11533,7908,7036,3523,15056,14944,0.6273190530679994,0.5018666666666667,0.9925611052072263
8,0.0004900932745763975,0.000980166695995633,0.001960313538834105,17.285524368286133,0.6550571428571429,0.6881840362495643,0.565018315018315,0.6205487632397775,0.71856451952517,0.565018315018315,0.7448083067092651,0.6881840362495643,0.6320503510045994,19744,26110,8946,15200,34944,35056,0.6022341247022587,0.4992,0.9968051118210862,0.6022341247022587,0.7030971894299027,1.3053313141321614,0.5314039694566797,0.379948962255225,0.981685138746631,255.8832116788321,256.0,251.13138686131387,0.6806666666666666,0.6933615819209039,0.6520988310308182,0.6720974808324206,0.7553133540563481,0.6520988310308182,0.709448608137045,0.6933615819209039,0.6693181818181818,9818,10602,4342,5238,15056,14944,0.5754739531015945,0.5018666666666667,0.9925611052072263
9,0.00048778860081564096,0.0009755527298894294,0.0019510809880370062,16.945861101150513,0.6594857142857142,0.6987404279682244,0.5588083791208791,0.6209890284623947,0.7245213266113308,0.5588083791208791,0.7598413966225468,0.6987404279682244,0.6333999143957768,19527,26637,8419,15417,34944,35056,0.5968540406575168,0.4992,0.9968051118210862,0.5968540406575168,0.7033360134946168,1.3001900541521336,0.5250629236663344,0.4218990052500078,0.9832062533077114,255.8832116788321,256.0,251.53284671532847,0.6698,0.6489472466450718,0.7451514346439958,0.6937299035369775,0.7594248780285222,0.7451514346439958,0.5938838329764454,0.6489472466450718,0.6981592196349906,11219,8875,6069,3837,15056,14944,0.6006956514665636,0.5018666666666667,0.9925611052072263
