epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc
0,0.0009997535269026829,0.001999506807085549,0.00399901336745128,413.0842068195343,0.6669470588235294,0.7089730366877854,0.5661940342413367,0.629590134441137,0.7371544498690928,0.5661940342413367,0.7676645297888608,0.7089730366877854,0.6390188974835993,144354,195789,59256,110601,254955,255045,0.5851120764058954,0.49991176470588233,0.9996471210962772,0.5851120764058954,0.7055298161124035,1.290641892518299,0.5043362173118228,1.0,0.9829426869713047,255.8124373119358,255.76730190571715,251.31293881644936,0.5059688835421962,0.7279555555555556,0.6722171036100176,0.8908424908424909,0.7662402138628986,0.8571796668092965,0.8908424908424909,0.5647425202980758,0.6722171036100176,0.8377495462794918,40128,25388,19567,4917,45045,44955,0.6059412678534334,0.5005,0.9980019980019982,0.691808192228729,0.5339784308929335,0.5088136065084227
1,0.0009990143508499217,0.0019980277150640578,0.003996054443492329,408.2544598579407,0.7723313725490196,0.7978692365121727,0.7293561608911376,0.7620759112899755,0.8618973918468622,0.7293561608911376,0.8152914191613245,0.7978692365121727,0.7508395380915583,185953,207936,47109,69002,254955,255045,0.4524526356933349,0.49991176470588233,0.9996471210962772,0.4524526356933349,0.7049798381364453,1.15743247382978,0.5132459528527503,1.0,0.9830107274210841,255.8124373119358,255.76730190571715,251.34603811434303,0.5165612765282627,0.6926666666666667,0.6252720171785153,0.9631923631923632,0.758288620514882,0.8957662762601034,0.9631923631923632,0.42159937715493273,0.6252720171785153,0.9195575178302848,43387,18953,26002,1658,45045,44955,0.6865132142874327,0.5005,0.9980019980019982,0.6976558667692271,0.39559776505286043,0.37443059554113656
2,0.0009977832013192385,0.0019955641836207788,0.003991126148223859,409.3013515472412,0.8169176470588235,0.8327971495067246,0.7929791531838952,0.8124005464920036,0.9044777781017685,0.7929791531838952,0.8408476935442765,0.8327971495067246,0.8024921885232099,202174,214454,40591,52781,254955,255045,0.38565893708882387,0.49991176470588233,0.9996471210962772,0.38565893708882387,0.7046149379630744,1.0902738750518983,0.5098103914959141,1.0,0.9832447912101983,255.8124373119358,255.76730190571715,251.42226680040122,0.5150511867030472,0.8433777777777778,0.8064196748579237,0.9040959040959041,0.8524689678270153,0.9355816187914954,0.9040959040959041,0.7825380936492048,0.8064196748579237,0.8906301425352541,40725,35179,9776,4320,45045,44955,0.430822922594168,0.5005,0.9980019980019982,0.6905746588652785,0.49762333049015567,0.538194065762575
3,0.0009960612933065818,0.0019921186439638213,0.003984233345278299,413.04969811439514,0.8441450980392157,0.8529015441918837,0.831672255888294,0.8421531324717414,0.9268786483264785,0.831672255888294,0.8566135387872729,0.8529015441918837,0.8358168414367748,212039,218475,36570,42916,254955,255045,0.3411195051586377,0.49991176470588233,0.9996471210962772,0.3411195051586377,0.7056900019511775,1.0468095071098151,0.5054910733264572,1.0,0.9820199769024064,255.8124373119358,255.76730190571715,251.07321965897694,0.509780021034565,0.8831,0.8594452773613194,0.9162837162837163,0.886954839957451,0.9576451257932739,0.9162837162837163,0.8498498498498499,0.8594452773613194,0.9101629502572899,41274,38205,6750,3771,45045,44955,0.27951243900778616,0.5005,0.9980019980019982,0.6986689852042631,0.40293658626350487,0.3443478066227134
4,0.0009938503261272714,0.001987694496424841,0.003975382837019978,410.77825021743774,0.8585372549019608,0.8638873517550529,0.8511266694122492,0.8574595372068028,0.9379595566684831,0.8511266694122492,0.8659452253523888,0.8638873517550529,0.853344718732975,216999,220855,34190,37956,254955,255045,0.3160680305126797,0.49991176470588233,0.9996471210962772,0.3160680305126797,0.7051768849941051,1.0212449155067846,0.5079687257169362,1.0,0.9825287726059222,255.8124373119358,255.76730190571715,251.20762286860582,0.5136697808828645,0.8818,0.8381257493268343,0.9466755466755467,0.8890997039322798,0.9635939855692942,0.9466755466755467,0.8167945723501279,0.8381257493268343,0.9386007515145318,42643,36719,8236,2402,45045,44955,0.3162326275963675,0.5005,0.9980019980019982,0.6941809007389979,0.4576424897055734,0.42384700438885153
5,0.00099115248173898,0.001982296107103325,0.003964583357832013,415.55512619018555,0.8676627450980392,0.8704494883823872,0.8638465611578514,0.8671354552183568,0.9446354013977191,0.8638465611578514,0.8714775823874218,0.8704494883823872,0.8649189233361481,220242,222266,32779,34713,254955,255045,0.2992380625206824,0.49991176470588233,0.9996471210962772,0.2992380625206824,0.7049299794788226,1.0041680419995052,0.5072395339114975,1.0,0.9826007491735615,255.8124373119358,255.76730190571715,251.24774322968906,0.5136206211544472,0.8797222222222222,0.8330478452135321,0.9500943500943501,0.8877295968636887,0.9646644735533625,0.9500943500943501,0.8092092092092092,0.8330478452135321,0.9418008595246725,42797,36378,8577,2248,45045,44955,0.30916714549741964,0.5005,0.9980019980019982,0.702368151396513,0.3796005304902792,0.3588771322185844
6,0.0009879704225884043,0.0019759288035577785,0.003951845565496525,418.695773601532,0.8722725490196078,0.8759020587932413,0.8673922849130239,0.8716264019092176,0.9476903069292253,0.8673922849130239,0.8771510909839441,0.8759020587932413,0.8687141292782753,221146,223713,31332,33809,254955,255045,0.2912469122749394,0.49991176470588233,0.9996471210962772,0.2912469122749394,0.7055381133539627,0.996785025628902,0.5064865777282084,1.0,0.9822050604260133,255.8124373119358,255.76730190571715,251.12738214643932,0.5105482383517255,0.8482444444444445,0.7820593468610147,0.965989565989566,0.8643478606332684,0.9625509936621047,0.965989565989566,0.7302635969302635,0.7820593468610147,0.9554145688425831,43513,32829,12126,1532,45045,44955,0.3763902138241313,0.5005,0.9980019980019982,0.6894873881881888,0.5431087362495336,0.5513083021881922
7,0.0009843072889837512,0.001968598869548067,0.003937182030676697,418.01603055000305,0.8757098039215686,0.8792069330018331,0.8710478319703477,0.8751083649890453,0.9498004733771006,0.8710478319703477,0.8803701307612383,0.8792069330018331,0.8722781854699294,222078,224534,30511,32877,254955,255045,0.2856755824600801,0.49991176470588233,0.9996471210962772,0.2856755824600801,0.7049658992584634,0.9906414817185435,0.5052160930071575,1.0,0.9828658611435582,255.8124373119358,255.76730190571715,251.2878635907723,0.50979364466652,0.8944555555555556,0.8580522986421693,0.9455433455433455,0.89967576016814,0.9697725547108262,0.9455433455433455,0.8432654877099321,0.8580522986421693,0.9392250136266785,42592,37909,7046,2453,45045,44955,0.3046940596435558,0.5005,0.9980019980019982,0.6958219720558687,0.46611881171437825,0.48139367625174756
8,0.000980166695995633,0.001960313538834105,0.003920607224511047,419.2528772354126,0.8792588235294118,0.8818827042249071,0.8757741562236473,0.8788178154223999,0.9527383115231847,0.8757741562236473,0.8827422611695975,0.8818827042249071,0.8766719494102667,223283,225139,29906,31672,254955,255045,0.2773009732948502,0.49991176470588233,0.9996471210962772,0.2773009732948502,0.7048392200183008,0.9821401933131509,0.5062654439879277,1.0,0.9829353529280777,255.8124373119358,255.76730190571715,251.33099297893682,0.5107135080255539,0.8610222222222222,0.7977997034542093,0.9675435675435675,0.8745109055520999,0.9671507886322701,0.9675435675435675,0.7542876209542876,0.7977997034542093,0.9586667043623307,43583,33909,11046,1462,45045,44955,0.3881388230418617,0.5005,0.9980019980019982,0.6960086961361495,0.36374468441036617,0.3511044823115361
9,0.0009755527298894294,0.0019510809880370062,0.0039021375043321593,417.6560127735138,0.879678431372549,0.8831891688604738,0.8750485379772901,0.8791000078808416,0.9527385246412229,0.8750485379772901,0.8843066909761023,0.8831891688604738,0.8762330270595777,223098,225538,29507,31857,254955,255045,0.277421310065742,0.49991176470588233,0.9996471210962772,0.277421310065742,0.705431638055723,0.982852948121465,0.5052335289201383,1.0,0.9822317121002063,255.8124373119358,255.76730190571715,251.123370110331,0.5082583624699718,0.8660555555555556,0.8026716576755111,0.9711177711177711,0.8788965572667089,0.9708656590138074,0.9711177711177711,0.7607830052274497,0.8026716576755111,0.9633541772294518,43744,34201,10754,1301,45045,44955,0.3608137811110778,0.5005,0.9980019980019982,0.6929160271855918,0.5081122463399713,0.5209123818140732
10,0.0009704699440926358,0.0019409103285697486,0.0038817910975239736,418.0073013305664,0.8831254901960784,0.8861033698982113,0.8792218234590418,0.8826491839426692,0.9552423635657945,0.8792218234590418,0.8870277794114764,0.8861033698982113,0.8801945336056803,224162,226232,28813,30793,254955,255045,0.2701458673449672,0.49991176470588233,0.9996471210962772,0.2701458673449672,0.7049819013419577,0.975127768686925,0.5015534785171689,1.0,0.9830347778100539,255.8124373119358,255.76730190571715,251.35506519558675,0.5030200353446264,0.8642444444444445,0.8047720731594096,0.9621711621711622,0.8764610717896866,0.9653778552543986,0.9621711621711622,0.7661216772327883,0.8047720731594096,0.9528565500069166,43341,34441,10514,1704,45045,44955,0.38157053461129015,0.5005,0.9980019980019982,0.6931655657562342,0.49887236868115986,0.49886888704433524
11,0.0009649233547011817,0.0019298115976453074,0.0038595880835335583,426.22228169441223,0.8857803921568628,0.8892318773473272,0.8813006216783353,0.885248485135018,0.9567048203202962,0.8813006216783353,0.8902585818188947,0.8892318773473272,0.8823911176399721,224692,227056,27989,30263,254955,255045,0.2656307839970651,0.49991176470588233,0.9996471210962772,0.2656307839970651,0.7052688225580672,0.9708996065551323,0.5023365165728145,1.0,0.9827034250376713,255.8124373119358,255.76730190571715,251.24272818455367,0.5036833752397044,0.8873,0.8575878037785337,0.9291153291153291,0.8919198269523799,0.962800232429862,0.9291153291153291,0.8454009565120676,0.8575878037785337,0.9224962376814408,41852,38005,6950,3193,45045,44955,0.32226971257478,0.5005,0.9980019980019982,0.6942310956391421,0.49999999356540764,0.48828492213131774
12,0.0009589184355291487,0.001917795748371139,0.0038355503740551194,425.7525613307953,0.8879862745098039,0.8912830209577759,0.8837285011080387,0.8874896848639781,0.9580812632235995,0.8837285011080387,0.8922425454331588,0.8912830209577759,0.8847460790183744,225311,227562,27483,29644,254955,255045,0.2615016644284383,0.49991176470588233,0.9996471210962772,0.2615016644284383,0.7049953816766844,0.9664970461051228,0.5002317680279493,1.0,0.9832737239494892,255.8124373119358,255.76730190571715,251.41825476429287,0.5003913930789464,0.8828777777777778,0.8425734710087371,0.941991341991342,0.8895131282427545,0.9643473643473645,0.941991341991342,0.8236458680903125,0.8425734710087371,0.9340817356205853,42432,37027,7928,2613,45045,44955,0.3293605598367073,0.5005,0.9980019980019982,0.6923088996925137,0.5597456294027242,0.5654017990521899
13,0.000952461112706777,0.0019048746389397867,0.003809701691405806,427.2156276702881,0.8892117647058824,0.8937387653713529,0.8834186425055401,0.8885487389686882,0.9588253945347394,0.8834186425055401,0.8950028426356134,0.8937387653713529,0.8847896615747183,225232,228266,26779,29723,254955,255045,0.2592032715424133,0.49991176470588233,0.9996471210962772,0.2592032715424133,0.7044617005193246,0.9636649720617378,0.5047284104341011,1.0,0.9833400748518751,255.8124373119358,255.76730190571715,251.4172517552658,0.5076535118651224,0.8915111111111111,0.8532126624351761,0.945987345987346,0.8972080683875858,0.968950868950869,0.945987345987346,0.8369258147035925,0.8532126624351761,0.9392615522879896,42612,37624,7331,2433,45045,44955,0.2984777479855852,0.5005,0.9980019980019982,0.6922380246899345,0.5014652062884786,0.5394606115794263
14,0.00094555775883209,0.0018910610209262738,0.0037820675451146414,422.70670557022095,0.8911039215686275,0.8954070302338124,0.8856190308093586,0.8904861345275209,0.9600410397475295,0.8856190308093586,0.8965868768256582,0.8954070302338124,0.8868953427037761,225793,228670,26375,29162,254955,255045,0.25548768953729417,0.49991176470588233,0.9996471210962772,0.25548768953729417,0.7050093555880884,0.9604970451253826,0.5038032634267836,1.0,0.9830819817478296,255.8124373119358,255.76730190571715,251.37311935807423,0.5053412912923281,0.8272444444444444,0.7530497743767479,0.9743589743589743,0.849527717559616,0.9622766531408506,0.9743589743589743,0.679835390946502,0.7530497743767479,0.9635841977488413,43890,30562,14393,1155,45045,44955,0.4818856878714128,0.5005,0.9980019980019982,0.6926721795038744,0.5182925242591988,0.5248202983517792
15,0.0009382151866819101,0.0018763685267038418,0.003752675206747705,427.3036262989044,0.8911078431372549,0.893762044671911,0.887693906767861,0.8907176408312819,0.9601589726154851,0.887693906767861,0.8945205748005254,0.893762044671911,0.8884903573542698,226322,228143,26902,28633,254955,255045,0.2550753128893277,0.49991176470588233,0.9996471210962772,0.2550753128893277,0.7053257300478286,0.9604010429371563,0.5058306611947334,1.0,0.9822499122714289,255.8124373119358,255.76730190571715,251.13139418254764,0.5091956064236943,0.8770444444444444,0.8290816820655859,0.9502275502275502,0.8855304534922211,0.9665033647749699,0.9502275502275502,0.8037148259370481,0.8290816820655859,0.9415735022020691,42803,36131,8824,2242,45045,44955,0.3412045965987173,0.5005,0.9980019980019982,0.6939125619828701,0.46935930577191437,0.4542534070661008
16,0.0009304406424884702,0.001860811655990442,0.0037215536829943853,425.23162150382996,0.8927764705882353,0.8955032881094852,0.8892863446490558,0.8923839886645413,0.9611283759520948,0.8892863446490558,0.8962653649355996,0.8955032881094852,0.8900881957829566,226728,228588,26457,28227,254955,255045,0.25191517355090515,0.49991176470588233,0.9996471210962772,0.25191517355090515,0.7048145586413629,0.9567297321922681,0.5036980883407975,1.0,0.9832394745169915,255.8124373119358,255.76730190571715,251.39418254764294,0.5068470073378828,0.8322222222222222,0.7616975162987433,0.9674547674547674,0.8523342916935595,0.9574335073100506,0.9674547674547674,0.6967189411633856,0.7616975162987433,0.9552871564949522,43579,31321,13634,1466,45045,44955,0.5308950755067847,0.5005,0.9980019980019982,0.6949592124332081,0.5071435607969761,0.468141881381833
17,0.000922241798788257,0.0018444057615392645,0.0036887336870412794,427.38056087493896,0.8934333333333333,0.8953918322295805,0.8909140828773705,0.8931473453458767,0.9616792978838997,0.8909140828773705,0.8959516947989571,0.8953918322295805,0.8914950062421972,227143,228508,26537,27812,254955,255045,0.25029761468993506,0.49991176470588233,0.9996471210962772,0.25029761468993506,0.7049172960049889,0.9552149106949239,0.5045987190071535,1.0,0.9828641287058466,255.8124373119358,255.76730190571715,251.30692076228686,0.5073374831844975,0.8824111111111111,0.8328889919245779,0.957087357087357,0.8906793930190998,0.9703532962792223,0.957087357087357,0.8075853631409187,0.8328889919245779,0.949448192897118,43112,36305,8650,1933,45045,44955,0.33579979108815844,0.5005,0.9980019980019982,0.6908950006419962,0.5312396948310462,0.5315430586295641
18,0.0009136267468501441,0.001827167033987425,0.0036542476082619866,425.34409737586975,0.8944352941176471,0.8965881708004843,0.8916789237316389,0.894126808701432,0.962131719520442,0.8916789237316389,0.8971906918386952,0.8965881708004843,0.8923066124371688,227338,228824,26221,27617,254955,255045,0.2488051438134317,0.49991176470588233,0.9996471210962772,0.2488051438134317,0.7049072363312051,0.9537123801446368,0.5058284055445355,1.0,0.9829435716078128,255.8124373119358,255.76730190571715,251.31193580742226,0.5087590380899801,0.8908666666666667,0.8658012254647419,0.9253857253857254,0.8946024251529134,0.9648829485866522,0.9253857253857254,0.8562785007229452,0.8658012254647419,0.9196989606976467,41684,38494,6461,3361,45045,44955,0.30836132422766904,0.5005,0.9980019980019982,0.696252474730665,0.46759875592860306,0.4771996159472073
19,0.0009046039886902867,0.0018091124858777604,0.0036181294802527077,428.6518256664276,0.8955588235294117,0.8992248675782456,0.8909258496597439,0.8950561217754853,0.9630073854377541,0.8909258496597439,0.9001901625203396,0.8992248675782456,0.8919610874987374,227146,229589,25456,27809,254955,255045,0.2458701600491582,0.49991176470588233,0.9996471210962772,0.2458701600491582,0.7046589981708508,0.9505291582200089,0.5080926781791144,1.0,0.9828961476405842,255.8124373119358,255.76730190571715,251.30692076228686,0.5124346278444784,0.8774111111111111,0.8317726013500332,0.9464979464979465,0.8854345139819113,0.9624827918655079,0.9464979464979465,0.8081859637415193,0.8317726013500332,0.937793609003149,42635,36332,8623,2410,45045,44955,0.3437182308936661,0.5005,0.9980019980019982,0.6937450546432625,0.43813804824921215,0.4737632651152079
20,0.0008951824286816577,0.0017902599348695028,0.0035804149472451925,426.59150886535645,0.8967235294117647,0.8989665101968364,0.893871467513875,0.8964117490879412,0.9634867667675617,0.893871467513875,0.8995745848771786,0.8989665101968364,0.8945066084447737,227897,229432,25613,27058,254955,255045,0.2443720336663448,0.49991176470588233,0.9996471210962772,0.2443720336663448,0.7054752006215103,0.949847234287855,0.5065785011831473,1.0,0.9821028193272181,255.8124373119358,255.76730190571715,251.12236710130392,0.5111206190893345,0.8884333333333333,0.8458619871946882,0.9502497502497502,0.8950224257441269,0.9691425158091825,0.9502497502497502,0.8264931598264932,0.8458619871946882,0.9431160523911057,42804,37155,7800,2241,45045,44955,0.30319884173910727,0.5005,0.9980019980019982,0.6966843760826371,0.3802649305964058,0.36188143742672
21,0.0008853713647665071,0.0017706279861544017,0.0035411412289301906,424.52516531944275,0.8973843137254902,0.900482664020777,0.8934753191739718,0.8969653059697672,0.9637613451459703,0.8934753191739718,0.9012919288752965,0.900482664020777,0.8943348804998658,227796,229870,25175,27159,254955,255045,0.24338759543185487,0.49991176470588233,0.9996471210962772,0.24338759543185487,0.705193115093763,0.9485807105256179,0.5045650365838077,1.0,0.9827351015792578,255.8124373119358,255.76730190571715,251.26980942828484,0.5078215020392325,0.8612777777777778,0.806372087771463,0.9512487512487513,0.8728394935986882,0.9596239536980278,0.9512487512487513,0.7711266822377933,0.806372087771463,0.9404264554283545,42849,34666,10289,2196,45045,44955,0.3754722179675644,0.5005,0.9980019980019982,0.6951158381998539,0.463678433813832,0.4345210189419582
22,0.0008751804792804149,0.0017502360140956446,0.0035003470837261037,426.30305004119873,0.897856862745098,0.9023411158975335,0.8922437292855602,0.897264015682655,0.964458629335313,0.8922437292855602,0.9034680154482543,0.9023411158975335,0.8934733887040613,227482,230425,24620,27473,254955,255045,0.24102341950896272,0.49991176470588233,0.9996471210962772,0.24102341950896272,0.7055460464511975,0.9465694659601602,0.5028636166181344,1.0,0.9823038604991174,255.8124373119358,255.76730190571715,251.15446339017052,0.5049863111409986,0.8894222222222222,0.8548116393343175,0.9384615384615385,0.8946856018116786,0.9676013016753758,0.9384615384615385,0.8402847291736181,0.8548116393343175,0.9316348928404075,42273,37775,7180,2772,45045,44955,0.32917528015307407,0.5005,0.9980019980019982,0.6931410807777535,0.5001890146258202,0.5000260523401662
23,0.0008646198293969954,0.0017291041431077012,0.0034580727705291123,427.40451169013977,0.8992,0.9025133975360399,0.8950442234904199,0.8987632926348956,0.9652140392319635,0.8950442234904199,0.9033543100237214,0.9025133975360399,0.8959421360657969,228196,230396,24649,26759,254955,255045,0.23839618817136185,0.49991176470588233,0.9996471210962772,0.23839618817136185,0.7056231740245609,0.9440193621959228,0.5016170938311513,1.0,0.9824901737921008,255.8124373119358,255.76730190571715,251.19658976930793,0.5025616000938841,0.8916111111111111,0.860602468732118,0.9348651348651349,0.8961980058950594,0.9654616703999419,0.9348651348651349,0.8482704927149372,0.860602468732118,0.9285575143664166,42111,38134,6821,2934,45045,44955,0.3100988513536074,0.5005,0.9980019980019982,0.6968616423281756,0.48981625586748123,0.49472951712826
24,0.0008536998372026807,0.0017072532277959546,0.0034143600089825013,427.4780614376068,0.9012019607843137,0.9049408131755018,0.8965464493734189,0.9007240737274528,0.9659828036003872,0.8965464493734189,0.9058558293634457,0.9049408131755018,0.8975331183714697,228579,231034,24011,26376,254955,255045,0.23577321033061688,0.49991176470588233,0.9996471210962772,0.23577321033061688,0.7050509854568282,0.9408241957874451,0.503163976110929,1.0,0.9828352853431523,255.8124373119358,255.76730190571715,251.2828485456369,0.5055660608447127,0.8917,0.8537157287157288,0.9456543456543457,0.8973362404019338,0.9693574997278701,0.9456543456543457,0.8376376376376377,0.8537157287157288,0.9389587073608617,42597,37656,7299,2448,45045,44955,0.30300807182423095,0.5005,0.9980019980019982,0.7004854726520452,0.4081067392094569,0.4131027665171007
