epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,342.78123712539673,0.6668313725490196,0.7095351438723062,0.564731030966249,0.6289055163165734,0.7363777416096107,0.564731030966249,0.7688956850751828,0.7095351438723062,0.6386118139749964,143981,196103,58942,110974,254955,255045,0.5845284916931313,0.49991176470588233,0.9996471210962772,0.5845284916931313,0.6481903858983529,1.2327188775914841,0.6305599371671916,2.4969733392531168e-05,0.9829426869713047,255.8124373119358,255.76730190571715,251.31293881644936,0.6860418257387245,0.6830467972740504,0.6766979578050115,0.9155368629874092,114655,0.965638612544097,37841,0.7786888888888889,0.8483957738276808,0.6791874791874792,0.7544201415431657,0.8660880984337774,0.6791874791874792,0.8783895006117228,0.8483957738276808,0.7320862455737036,30594,39488,5467,14451,45045,44955,0.45611211081797426,0.5005,0.9980019980019982,0.6944694495336576,0.5331924942068078,0.5808219689157715,0.9878406802212131,20281,0.997333954305283,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,351.099570274353,0.7710470588235294,0.7973763379772495,0.7266694122492204,0.760382678503269,0.8613482020642846,0.7266694122492204,0.8154090454625654,0.7973763379772495,0.7490140571144558,185268,207966,47079,69687,254955,255045,0.4516521990299225,0.49991176470588233,0.9996471210962772,0.4516521990299225,0.43212574071726323,0.8837779397471858,0.8086632306621211,4.993336228460632e-05,0.9830107274210841,255.8124373119358,255.76730190571715,251.34603811434303,0.8901490561070959,0.889438888748171,0.8788816360498207,0.9863457842283667,114655,0.9969016155425581,37841,0.8391666666666666,0.8824692223000701,0.7829281829281829,0.8297239115858321,0.9244612540908836,0.7829281829281829,0.8955177399621844,0.8824692223000701,0.8045807018946358,35267,40258,4697,9778,45045,44955,0.3545011878013611,0.5005,0.9980019980019982,0.9090166562660174,0.49682419594715943,0.37557510893431745,0.9960662069972964,20281,0.999344213202819,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,350.6948823928833,0.8175666666666667,0.8331179946343631,0.7941440646388578,0.8131643048055858,0.9055128331666817,0.7941440646388578,0.8409810033523496,0.8331179946343631,0.8034100954407204,202471,214488,40557,52484,254955,255045,0.38293751028021694,0.49991176470588233,0.9996471210962772,0.38293751028021694,0.20542349249550487,0.5883610027757218,0.9247529135125809,7.48347559359166e-05,0.9832447912101983,255.8124373119358,255.76730190571715,251.42226680040122,0.9753147981447865,0.9738268878476247,0.9708403774241154,0.9929298853021193,114655,0.9981757128637212,37841,0.8578666666666667,0.8877401360871342,0.8196692196692197,0.8523477538205827,0.9400307765739864,0.8196692196692197,0.8961405850294739,0.8877401360871342,0.8322006238509368,36922,40286,4669,8123,45045,44955,0.3124670349061489,0.5005,0.9980019980019982,1.8227191032333807,0.49999999356540764,0.46508537808645034,0.9967713728696478,20281,0.9993873872880797,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,350.22439980506897,0.8464843137254902,0.8537088352127115,0.8362063893628288,0.8448669759036861,0.928824303473575,0.8362063893628288,0.85675861122547,0.8537088352127115,0.8395524681871274,213195,218512,36533,41760,254955,255045,0.33661352054644733,0.49991176470588233,0.9996471210962772,0.33661352054644733,0.21163174251156114,0.5482452630580085,0.9235116562608969,9.96431684272372e-05,0.9820199769024064,255.8124373119358,255.76730190571715,251.07321965897694,0.9726470813348049,0.9724338923077435,0.9697809678420124,0.9951721595859134,114655,0.9988873637055304,37841,0.8885222222222222,0.9056634379200074,0.8676434676434677,0.8862458758035805,0.9584589443848702,0.8676434676434677,0.9094427761094428,0.9056634379200074,0.872731930154122,39083,40884,4071,5962,45045,44955,0.2622174679894339,0.5005,0.9980019980019982,1.520886825566942,0.49999999356540764,0.4618341472202836,0.9973368558600102,20281,0.9995909485070952,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,350.8963792324066,0.8607470588235294,0.8661292248895258,0.8533388244984409,0.8596864534866491,0.9397971664681164,0.8533388244984409,0.8681526789390107,0.8661292248895258,0.8555233569027472,217563,221418,33627,37392,254955,255045,0.311279777732632,0.49991176470588233,0.9996471210962772,0.311279777732632,0.09393064536942672,0.4052104231020587,0.9711188656336804,0.0001243283142239353,0.9825287726059222,255.8124373119358,255.76730190571715,251.20762286860582,0.9935620764656217,0.9930540637846541,0.9918872355809332,0.9962354858147506,114655,0.9992174610295763,37841,0.9021,0.8927379145892044,0.9142413142413143,0.9033616671236633,0.966226146719974,0.9142413142413143,0.8899343788232678,0.8927379145892044,0.9119443811260542,41182,40007,4948,3863,45045,44955,0.23913097796453672,0.5005,0.9980019980019982,1.56366796114228,0.49999999356540764,0.5348379565886874,0.998023756835154,20281,0.9998270280796901,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,350.464989900589,0.8687098039215686,0.8752240402693673,0.859975289757016,0.8675326627996233,0.9455937640727009,0.859975289757016,0.8774412358603384,0.8752240402693673,0.8624208534531596,219255,223787,31258,35700,254955,255045,0.2965458819835093,0.49991176470588233,0.9996471210962772,0.2965458819835093,0.10605982332952776,0.402605705313037,0.9669983520909561,0.00014886051414244683,0.9826007491735615,255.8124373119358,255.76730190571715,251.24774322968906,0.9915817040395123,0.9918683509444902,0.9915372854315584,0.9967078167088089,114655,0.9992060892863247,37841,0.9029888888888888,0.8943401963339415,0.9141747141747142,0.9041486897429986,0.9679652272244865,0.9141747141747142,0.8917806695584474,0.8943401963339415,0.912048412048412,41179,40090,4865,3866,45045,44955,0.23492666291580958,0.5005,0.9980019980019982,2.128075683658773,0.49999999356540764,0.5086682453878619,0.9983299363940343,20281,0.9997647471652079,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,351.38781547546387,0.8739450980392157,0.8776197323129696,0.869027867662921,0.8733026680383277,0.9493887563631254,0.869027867662921,0.878860593228646,0.8776197323129696,0.8703429745166789,221563,224149,30896,33392,254955,255045,0.28632713359600326,0.49991176470588233,0.9996471210962772,0.28632713359600326,0.06825231490918289,0.35457944850518613,0.9789658820138891,0.00017321083502138413,0.9822050604260133,255.8124373119358,255.76730190571715,251.12738214643932,0.9965004147671445,0.9963928203854979,0.9951867185085354,0.997233963993423,114655,0.9994843773201022,37841,0.8985,0.8967955801104972,0.9008769008769009,0.8988316075087214,0.9652048545875707,0.9008769008769009,0.896118340562785,0.8967955801104972,0.9002234636871509,40580,40285,4670,4465,45045,44955,0.24160717817192728,0.5005,0.9980019980019982,1.7593588849360293,0.49999999356540764,0.5304849704322638,0.9976622556652648,20281,0.9997815575005328,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,351.3327684402466,0.8787019607843137,0.8830131193195568,0.8730246514090721,0.8779904778058719,0.9523365555398926,0.8730246514090721,0.8843772667568468,0.8830131193195568,0.8744887158869301,222582,225556,29489,32373,254955,255045,0.2782425930351766,0.49991176470588233,0.9996471210962772,0.2782425930351766,0.07107265510338516,0.3493152481385618,0.979121984067628,0.00019735122173595676,0.9828658611435582,255.8124373119358,255.76730190571715,251.2878635907723,0.9962243531098884,0.9959960567308195,0.9954127129535527,0.9974984774678691,114655,0.9995820121492066,37841,0.9064,0.9243551414864771,0.8854478854478854,0.9044832981835499,0.9692709581598471,0.8854478854478854,0.927394060727394,0.9243551414864771,0.8898636101684062,39885,41691,3264,5160,45045,44955,0.22660893421958794,0.5005,0.9980019980019982,0.8798701038414781,0.5055066592652689,0.7079451600417292,0.9979617034596583,20281,0.9993859634618635,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,352.6177067756653,0.8818764705882353,0.884183733870013,0.8788256751191387,0.8814965625092207,0.954094797293994,0.8788256751191387,0.8849261894959713,0.884183733870013,0.8795978019408395,224061,225696,29349,30894,254955,255045,0.27314816824830285,0.49991176470588233,0.9996471210962772,0.27314816824830285,0.06576334012447181,0.3389115083727747,0.9787365919728217,0.00022125462032782206,0.9829353529280777,255.8124373119358,255.76730190571715,251.33099297893682,0.9968994625171622,0.9966081783745663,0.9963104252679379,0.9974038507482373,114655,0.9994480359836945,37841,0.9112333333333333,0.9205556564372617,0.9003441003441004,0.9103377066475123,0.9719278751377516,0.9003441003441004,0.922144366588811,0.9205556564372617,0.9022940971617621,40556,41455,3500,4489,45045,44955,0.21545628695325417,0.5005,0.9980019980019982,0.9449076764285564,0.5111104016276923,0.7010221317556034,0.9986439901968175,20281,0.999734157866502,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,350.38667702674866,0.8840411764705882,0.8878804205722254,0.8790453217234414,0.8834407822253056,0.9559984420207126,0.8790453217234414,0.8890352682859888,0.8878804205722254,0.8802789014760348,224117,226744,28301,30838,254955,255045,0.2674640623802168,0.49991176470588233,0.9996471210962772,0.2674640623802168,0.030231376792749797,0.2976954391729666,0.9917227183445286,0.00024489509117448026,0.9822317121002063,255.8124373119358,255.76730190571715,251.123370110331,0.9992523738111194,0.9990234840294727,0.9987143352526573,0.9976964798721287,114655,0.9996139419583319,37841,0.9136555555555556,0.9200360604011719,0.9062493062493062,0.9130906447464072,0.9733603133603133,0.9062493062493062,0.9210766321877433,0.9200360604011719,0.907451238220469,40822,41407,3548,4223,45045,44955,0.20983300662853502,0.5005,0.9980019980019982,1.2564084760167382,0.49999999356540764,0.6953136715370374,0.9987915227003075,20281,0.999859822012537,6728
