epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,342.83245372772217,0.6760098039215686,0.7050199261452963,0.605063638681336,0.6512285678704332,0.7519994114079016,0.605063638681336,0.746930933756788,0.7050199261452963,0.6542109673342674,154264,190501,64544,100691,254955,255045,0.5716534911270964,0.49991176470588233,0.9996471210962772,0.5716534911270964,0.6766166378526296,1.248270128979726,0.5875653165991351,0.002496973339253117,0.9829226231263904,255.8124373119358,255.76730190571715,251.3259779338014,0.6309677363735888,0.5996467151536362,0.6047734928533821,0.9278202745388642,114655,0.9715064829195226,37841,0.7671,0.8152851233177986,0.6912864912864913,0.7481829430915796,0.8639536348178324,0.6912864912864913,0.843065287509732,0.8152851233177986,0.7315754931861175,31139,37900,7055,13906,45045,44955,0.44441510059616784,0.5005,0.9980019980019982,0.8504122935912826,0.41420953399078414,0.37803197975770914,0.9903612064889916,20281,0.9986526011008473,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,343.96970200538635,0.7830254901960785,0.8100089373184607,0.7394049930379871,0.7730983192088369,0.8737247945066161,0.7394049930379871,0.8266305946009528,0.8100089373184607,0.7603762424801996,188515,210828,44217,66440,254955,255045,0.4347726982479229,0.49991176470588233,0.9996471210962772,0.4347726982479229,0.6283759044010637,1.0631486026489867,0.6599353192861723,0.0049933362284606325,0.9825277908738839,255.8124373119358,255.76730190571715,251.23671013039117,0.7216551531887343,0.7335036988598149,0.7793051375427692,0.9888743946644962,114655,0.9977907998429684,37841,0.8379222222222222,0.8157185504602371,0.8735042735042735,0.8436230314855115,0.9267160079505758,0.8735042735042735,0.802268935602269,0.8157185504602371,0.8635667081697156,39347,36066,8889,5698,45045,44955,0.3537031210620295,0.5005,0.9980019980019982,0.8018308712000196,0.41047833097929304,0.38089222104980935,0.9965555525986789,20281,0.9994328578672368,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,347.87256050109863,0.8318803921568627,0.8450164338202312,0.8127708811358867,0.8285800540204445,0.9170761455836862,0.8127708811358867,0.850983159834539,0.8450164338202312,0.819714171331022,207220,217039,38006,47735,254955,255045,0.3616448440546975,0.49991176470588233,0.9996471210962772,0.3616448440546975,0.6451166260804432,1.0067614701351406,0.6429390099007961,0.00748347559359166,0.9824015687179345,255.8124373119358,255.76730190571715,251.18054162487462,0.6948201768061419,0.7453091168925896,0.7838424459636387,0.9939001431106651,114655,0.9984412705317144,37841,0.8617666666666667,0.8530558322865682,0.8744366744366744,0.8636139400782732,0.9420533897077108,0.8744366744366744,0.849071293515738,0.8530558322865682,0.8709441883813261,39389,38170,6785,5656,45045,44955,0.3176907097751444,0.5005,0.9980019980019982,0.8059654804793271,0.3926698888906024,0.3603126552390937,0.9962184226814941,20281,0.9988202451553165,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,352.3874135017395,0.8539450980392157,0.8620650913453629,0.8426702751465945,0.8522573555954889,0.9345497145784418,0.8426702751465945,0.8652159422846949,0.8620650913453629,0.8461851131792577,214843,220669,34376,40112,254955,255045,0.324122095837397,0.49991176470588233,0.9996471210962772,0.324122095837397,0.6492280612737986,0.9733501571111957,0.6297129485289097,0.00996431684272372,0.9831895350831792,255.8124373119358,255.76730190571715,251.3801404212638,0.6828085919825547,0.7469057571976014,0.7829292179711034,0.9957216214319857,114655,0.9991485723283469,37841,0.8945888888888889,0.8830030159414045,0.90995670995671,0.8962772645274149,0.9623909828848101,0.90995670995671,0.8791903014125236,0.8830030159414045,0.9069297843047269,40989,39524,5431,4056,45045,44955,0.2548845564438538,0.5005,0.9980019980019982,0.7569321119649843,0.47874680771069095,0.4656212924556257,0.9978184158581342,20281,0.9996098716168051,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,352.4641888141632,0.8650980392156863,0.8707897619758989,0.8573669863309211,0.8640262460966837,0.943115270493017,0.8573669863309211,0.8728263639749848,0.8707897619758989,0.8595810406409885,218590,222610,32435,36365,254955,255045,0.30313429653405427,0.49991176470588233,0.9996471210962772,0.30313429653405427,0.6550049820061075,0.9581392785401617,0.6235121267370379,0.012432831422393532,0.9828546823192339,255.8124373119358,255.76730190571715,251.29588766298897,0.6736226831881935,0.7423870846278947,0.7808307205357531,0.9966818271363209,114655,0.9993066782112673,37841,0.8990666666666667,0.9075455019379406,0.8888888888888888,0.8981203176169754,0.9640892396447952,0.8888888888888888,0.9092648203759315,0.9075455019379406,0.8909134500119875,40040,40876,4079,5005,45045,44955,0.24357589732178234,0.5005,0.9980019980019982,0.7534184736961668,0.48384769379415293,0.3830274447777756,0.9981444016765373,20281,0.9996502899093895,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,352.794269323349,0.8713529411764706,0.876870469373863,0.8639799180247495,0.8703774680833409,0.9473932376235497,0.8639799180247495,0.8787233625438648,0.876870469373863,0.8659971482999926,220276,224114,30931,34679,254955,255045,0.2920497268468231,0.49991176470588233,0.9996471210962772,0.2920497268468231,0.6689934742486584,0.9610432010954816,0.6036988213404251,0.014886051414244685,0.9830264166684236,255.8124373119358,255.76730190571715,251.34403209628886,0.6471329724183821,0.6931946507752661,0.6985674559627821,0.9968854419821641,114655,0.9994482553976008,37841,0.9024555555555556,0.9237672353353588,0.8775224775224775,0.9000512324244322,0.9685423203941722,0.8775224775224775,0.9274385496607719,0.9237672353353588,0.8831391654310528,39528,41693,3262,5517,45045,44955,0.23128138228573583,0.5005,0.9980019980019982,0.7263550494204868,0.42766753905876115,0.41030259585176543,0.9985307616226745,20281,0.9997796284456595,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,353.3901090621948,0.8754686274509804,0.8812896338548803,0.8677845109921358,0.8744849338837912,0.9499828407722454,0.8677845109921358,0.8831500323472329,0.8812896338548803,0.8698252958077173,221246,225243,29802,33709,254955,255045,0.28498245280987045,0.49991176470588233,0.9996471210962772,0.28498245280987045,0.6767358293863333,0.9617182821962037,0.5924266626985525,0.01732108350213841,0.9828911411098498,255.8124373119358,255.76730190571715,251.308926780341,0.632915456026708,0.6661657418735362,0.6808663997840715,0.9971350361575523,114655,0.9994184325432056,37841,0.8928555555555555,0.8622058522611009,0.9354201354201355,0.897322046531438,0.9662750645466696,0.9354201354201355,0.8502057613168724,0.8622058522611009,0.9292730367128617,42136,38221,6734,2909,45045,44955,0.25978046808053146,0.5005,0.9980019980019982,0.8293837186965075,0.3998041371391578,0.29724932440493024,0.9977647882683282,20281,0.9993685101082475,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,350.95761251449585,0.8789431372549019,0.8833255299056446,0.8731776195799259,0.8782222607947833,0.9524490876925706,0.8731776195799259,0.8847066204003216,0.8833255299056446,0.8746617876220084,222621,225640,29405,32334,254955,255045,0.2780414604644479,0.49991176470588233,0.9996471210962772,0.2780414604644479,0.6798577697848605,0.9578992302493083,0.5868219714107341,0.019735122173595677,0.9819273199532519,255.8124373119358,255.76730190571715,251.06619859578737,0.6262066767240126,0.6544891119890157,0.6634594587313729,0.9973342504179544,114655,0.9994647128936486,37841,0.9106333333333333,0.8988831874434048,0.9255633255633255,0.9120281754842662,0.9715062455803195,0.9255633255633255,0.8956734512290068,0.8988831874434048,0.9231280663946078,41692,40265,4690,3353,45045,44955,0.22092481270771136,0.5005,0.9980019980019982,0.8877591660076921,0.37830750965936616,0.265048426720359,0.9982024071292764,20281,0.9996953011897676,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,345.2979016304016,0.8817294117647059,0.8868461535403805,0.8750681492812457,0.8809177847446518,0.9540907400312765,0.8750681492812457,0.8883883236291635,0.8868461535403805,0.8767485324902973,223103,226579,28466,31852,254955,255045,0.27333424989892585,0.49991176470588233,0.9996471210962772,0.27333424989892585,0.6785407182326169,0.9518749681315427,0.5886725792913523,0.022125462032782206,0.9824888444081703,255.8124373119358,255.76730190571715,251.20461384152458,0.6265635818023116,0.6173623710922498,0.6091211358210196,0.9974183656833671,114655,0.9993796369678059,37841,0.9042777777777777,0.8895423438836613,0.9234099234099234,0.9061597952181254,0.969635093585711,0.9234099234099234,0.885107329551774,0.8895423438836613,0.9202127659574468,41595,39790,5165,3450,45045,44955,0.22599840824576942,0.5005,0.9980019980019982,0.9253503290767019,0.3473379369825125,0.2513323224545263,0.9981200895175958,20281,0.9998066352138862,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,343.99558758735657,0.8840705882352942,0.8875002473435305,0.8795983604949893,0.883531636592861,0.9556055085136663,0.8795983604949893,0.8885412378207768,0.8875002473435305,0.8807026407321765,224258,226618,28427,30697,254955,255045,0.26886951247811197,0.49991176470588233,0.9996471210962772,0.26886951247811197,0.6817522136832671,0.9506217261613791,0.5822656997288003,0.02448950911744803,0.9829965954577087,255.8124373119358,255.76730190571715,251.3360080240722,0.61893282551795,0.6073121709102791,0.6072035988131369,0.9975831838336461,114655,0.99966007554848,37841,0.9081888888888889,0.9099826117972268,0.9062049062049062,0.9080898301502731,0.9708354135514629,0.9062049062049062,0.9101768435101768,0.9099826117972268,0.906406450755394,40820,40917,4038,4225,45045,44955,0.21924150142480026,0.5005,0.9980019980019982,0.8277716596018184,0.38602674329145387,0.2675507291317165,0.9982573643287475,20281,0.9998061759151069,6728
