epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,366.9492492675781,0.6676568627450981,0.7091491111285144,0.5682649879390481,0.6309380981102167,0.7380679453762028,0.5682649879390481,0.7670136642553275,0.7091491111285144,0.6399265937401863,144882,195623,59422,110073,254955,255045,0.5839549083049701,0.49991176470588233,0.9996471210962772,0.5839549083049701,0.6686726889854209,1.252627597290391,0.611246554832999,0.004993946678506234,0.9829426869713047,255.8124373119358,255.76730190571715,251.31293881644936,0.657462014903147,0.6629088026952633,0.6678944472112485,0.9153911620762991,114655,0.9650458695088016,37841,0.7603222222222222,0.7250105440742303,0.8395604395604396,0.7780921127079325,0.8690218379107268,0.8395604395604396,0.6809253698142587,0.7250105440742303,0.8090015328505735,37818,30611,14344,7227,45045,44955,0.4589879914102229,0.5005,0.9980019980019982,0.7347618598829616,0.4992818818850951,0.5154933133638869,0.9890324733818548,20281,0.9982373031445432,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,366.6326606273651,0.7737666666666667,0.7989803787164768,0.731493793022298,0.7637491681597134,0.8641099674482535,0.731493793022298,0.8160246231057264,0.7989803787164768,0.7524875262130306,186498,208123,46922,68457,254955,255045,0.4488652431020287,0.49991176470588233,0.9996471210962772,0.4488652431020287,0.6299734423787089,1.0788386854807377,0.6579841909819883,0.009986672456921265,0.9830107274210841,255.8124373119358,255.76730190571715,251.34603811434303,0.723769571745347,0.7188161387570617,0.7323349036853327,0.9868834461542572,114655,0.996960424281746,37841,0.8384888888888888,0.844586505229393,0.8300366300366301,0.8372483597196408,0.9239981341215908,0.8300366300366301,0.8469580691802914,0.844586505229393,0.832586210666725,37389,38075,6880,7656,45045,44955,0.35252442363310943,0.5005,0.9980019980019982,0.7062976285815239,0.5105928595770489,0.5107508526167841,0.9951089619059742,20281,0.9988370095607634,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,366.8856852054596,0.8191235294117647,0.8327008170910251,0.7986389755054814,0.8153142962394966,0.9065168899991805,0.7986389755054814,0.8396008547511223,0.8327008170910251,0.8066175972034926,203617,214136,40909,51338,254955,255045,0.3816063923008344,0.49991176470588233,0.9996471210962772,0.3816063923008344,0.652302326206697,1.0339087185075315,0.6343273720222945,0.01496695118718332,0.9832447912101983,255.8124373119358,255.76730190571715,251.42226680040122,0.6832635200515489,0.6700718580507969,0.6684798024477144,0.9928739545732076,114655,0.9983199404537976,37841,0.8618222222222223,0.8562190032990321,0.87001887001887,0.8630637773079634,0.9430001427532291,0.87001887001887,0.8536091647202758,0.8562190032990321,0.8676207917881933,39190,38374,6581,5855,45045,44955,0.3041174638677727,0.5005,0.9980019980019982,0.704710075801069,0.4898864259435372,0.5059271068691248,0.9967003618645964,20281,0.9993740676234779,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,367.3655240535736,0.8469039215686275,0.854290521592821,0.8364142691847581,0.845257890303721,0.9289177884899427,0.8364142691847581,0.8573898723754632,0.854290521592821,0.8398225670174361,213248,218673,36372,41707,254955,255045,0.33684702081570295,0.49991176470588233,0.9996471210962772,0.33684702081570295,0.6880344803498286,1.0248815011655317,0.5812620492792178,0.01992863368544744,0.9820199769024064,255.8124373119358,255.76730190571715,251.07321965897694,0.6061823003819413,0.611676691306264,0.6106682448978065,0.995006470462299,114655,0.9988305238792107,37841,0.8792888888888889,0.9099129350250642,0.8422022422022422,0.8747492448523139,0.954862258812876,0.8422022422022422,0.9164497831164498,0.9099129350250642,0.8528577638851512,37937,41199,3756,7108,45045,44955,0.279241943477907,0.5005,0.9980019980019982,0.6893789917230606,0.5599556969986721,0.5535661602386341,0.9970218959528632,20281,0.9996106064948522,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,367.96435022354126,0.8605686274509804,0.8668316140231858,0.8519738777431312,0.8593385290975986,0.9393612087690341,0.8519738777431312,0.869160344252975,0.8668316140231858,0.85451882119384,217215,221675,33370,37740,254955,255045,0.3125047025792936,0.49991176470588233,0.9996471210962772,0.3125047025792936,0.6915894962002784,1.004094198779572,0.5669766892282032,0.024865662844787063,0.9825287726059222,255.8124373119358,255.76730190571715,251.20762286860582,0.5950401695872655,0.6019436679790627,0.6190595432525183,0.9958568822472168,114655,0.9990777771963554,37841,0.8994333333333333,0.8942560462670873,0.9062271062271062,0.9002017796301809,0.9654502469317283,0.9062271062271062,0.892625959292626,0.8942560462670873,0.9047619047619048,40821,40128,4827,4224,45045,44955,0.24072268275036054,0.5005,0.9980019980019982,0.695408277890899,0.5092758854681795,0.49072850665276607,0.9977258504030754,20281,0.9994047487819396,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,368.03921151161194,0.8682450980392157,0.8731645851386052,0.8615991057245396,0.8673432925396766,0.9448962959617838,0.8615991057245396,0.8748887451234096,0.8731645851386052,0.8634558977176866,219669,223136,31909,35286,254955,255045,0.29853569603372837,0.49991176470588233,0.9996471210962772,0.29853569603372837,0.694977453563254,0.9935131495969824,0.573605256384928,0.02977210282848937,0.9826007491735615,255.8124373119358,255.76730190571715,251.24774322968906,0.6009172650175197,0.6102909232378518,0.6125802419183575,0.9965961226805118,114655,0.999237157423619,37841,0.8857666666666667,0.8501611603545528,0.9368853368853369,0.8914189153509003,0.9625779754174817,0.9368853368853369,0.834545656767879,0.8501611603545528,0.9295589692765114,42202,37517,7438,2843,45045,44955,0.2736797324297103,0.5005,0.9980019980019982,0.6860379116101698,0.5546456138518724,0.5998225622283061,0.9972991146434561,20281,0.9995038654585273,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,367.09517312049866,0.872135294117647,0.8764343644356977,0.8663724971073327,0.8713743853344195,0.948172807336408,0.8663724971073327,0.8778960575584701,0.8764343644356977,0.8679352797978075,220886,223903,31142,34069,254955,255045,0.2897258107078709,0.49991176470588233,0.9996471210962772,0.2897258107078709,0.7035535117807455,0.9932793224886164,0.5235517030150266,0.03464216700427682,0.9822050604260133,255.8124373119358,255.76730190571715,251.12738214643932,0.5359621931142386,0.5243665689052144,0.5152196102436345,0.9969676562119653,114655,0.9993268831805897,37841,0.8908111111111111,0.8661676024121439,0.9247197247197247,0.8944864980941644,0.9638018857771944,0.9247197247197247,0.8568346123901679,0.8661676024121439,0.9190885230255309,41654,38519,6436,3391,45045,44955,0.2573932314460928,0.5005,0.9980019980019982,0.684344903650609,0.5908665179528974,0.6090191631906959,0.9975933769601574,20281,0.999738567134784,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,367.50159764289856,0.8780392156862745,0.8810275914145986,0.8740679727795101,0.877533983335171,0.9517810601977186,0.8740679727795101,0.8820090572251955,0.8810275914145986,0.8750987127468791,222848,224952,30093,32107,254955,255045,0.2797928954976253,0.49991176470588233,0.9996471210962772,0.2797928954976253,0.7012850574648368,0.9810779529624621,0.5273358823363496,0.039470244347191354,0.9828658611435582,255.8124373119358,255.76730190571715,251.2878635907723,0.5419348931128398,0.5213410795234634,0.5090886724868433,0.9972788883933915,114655,0.9993955902477906,37841,0.9035888888888889,0.9232183587022297,0.8806082806082806,0.9014100510163502,0.96839097752678,0.8806082806082806,0.9266155043932822,0.9232183587022297,0.8856571841646469,39667,41656,3299,5378,45045,44955,0.23021649967201732,0.5005,0.9980019980019982,0.6995275620032441,0.4483320428566499,0.44214835251258283,0.9985399408538408,20281,0.9997054057629137,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,367.05654740333557,0.8803254901960784,0.8837208381977562,0.8758526014394697,0.8797691277283114,0.9533878691520251,0.8758526014394697,0.8847968005646063,0.8837208381977562,0.8769912364222839,223303,225663,29382,31652,254955,255045,0.2753126642918037,0.49991176470588233,0.9996471210962772,0.2753126642918037,0.6982575126492989,0.9735701769411026,0.5741791174772272,0.04425092406556441,0.9829353529280777,255.8124373119358,255.76730190571715,251.33099297893682,0.5934574522293715,0.6070711766243756,0.6224270413164393,0.9972560691700229,114655,0.9993817177672355,37841,0.9093333333333333,0.9075240304938681,0.9117549117549117,0.9096345514950166,0.9707892053571067,0.9117549117549117,0.9069069069069069,0.9075240304938681,0.911163258464633,41070,40770,4185,3975,45045,44955,0.22169203853065317,0.5005,0.9980019980019982,0.6962334351106123,0.5069371736185118,0.5451620076761302,0.9984671767338241,20281,0.9997858749090589,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,367.4775912761688,0.8836470588235295,0.8870636469047176,0.8791865231119217,0.8831075198071097,0.9554020964658092,0.8791865231119217,0.8881060205061851,0.8870636469047176,0.8802917892495016,224153,226507,28538,30802,254955,255045,0.2694366064479382,0.49991176470588233,0.9996471210962772,0.2694366064479382,0.7033372190197109,0.9727738254676491,0.5237646690581962,0.04897901823489606,0.9822317121002063,255.8124373119358,255.76730190571715,251.123370110331,0.5387698224760517,0.5375440635450546,0.5515860631280141,0.9975380018022668,114655,0.9995249035045247,37841,0.9079888888888888,0.9035565312843029,0.9136863136863137,0.9085931894696175,0.9712841591853938,0.9136863136863137,0.9022800578356134,0.9035565312843029,0.9125309336332958,41157,40562,4393,3888,45045,44955,0.21964322022077712,0.5005,0.9980019980019982,0.6913190866735849,0.5311141454360702,0.5977540469039798,0.998633112019969,20281,0.999858352256443,6728
