epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,366.60007524490356,0.673843137254902,0.7058449130533759,0.595913004255653,0.6462371491401567,0.7488462314096673,0.595913004255653,0.7517457703542512,0.7058449130533759,0.6504734472592306,151931,191729,63316,103024,254955,255045,0.5746968572692144,0.49991176470588233,0.9996471210962772,0.5746968572692144,0.6851416681869816,1.2598385254561961,0.5701226907723407,2.4969733392531168e-05,0.9829226231263904,255.8124373119358,255.76730190571715,251.3259779338014,0.6080178892472036,0.5714991279736149,0.5806290108065445,0.9237147136690961,114655,0.9693411844336977,37841,0.7279888888888889,0.845752908736297,0.5583527583527583,0.6726395036305043,0.8242977351619327,0.5583527583527583,0.8979646312979647,0.845752908736297,0.6698748796920115,25151,40368,4587,19894,45045,44955,0.5297190001742407,0.5005,0.9980019980019982,0.924068518998948,0.49653164331208577,0.482134673307887,0.9801015739052501,20281,0.9955796626174886,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,369.0667095184326,0.7835156862745098,0.8110485634113171,0.7391578906081465,0.7734362655470531,0.8739898549762314,0.7391578906081465,0.8278578290105668,0.8110485634113171,0.7604738442033684,188452,211141,43904,66503,254955,255045,0.43471593098152606,0.49991176470588233,0.9996471210962772,0.43471593098152606,0.58747165925883,1.022187590240356,0.7057796821312058,4.993336228460632e-05,0.9825277908738839,255.8124373119358,255.76730190571715,251.23671013039117,0.7727620311375807,0.7725314958239154,0.8029181476507685,0.988624719863451,114655,0.997811737160693,37841,0.8411444444444445,0.8818678589170392,0.7881895881895882,0.8324013832717895,0.9276769219979097,0.7881895881895882,0.8942053164275386,0.8818678589170392,0.8081825492561319,35504,40199,4756,9541,45045,44955,0.3513326480646025,0.5005,0.9980019980019982,0.8090774396603758,0.45995941487225617,0.475705973352863,0.9963613507959606,20281,0.9991028976241393,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,368.44508147239685,0.8306019607843137,0.8430435596655894,0.8123943440999392,0.8274352280376557,0.9167977688429908,0.8123943440999392,0.8488031523848732,0.8430435596655894,0.8190372057477092,207124,216483,38562,47831,254955,255045,0.36231289440794,0.49991176470588233,0.9996471210962772,0.36231289440794,0.5088557284717694,0.8711686228797094,0.7703617824355482,7.48347559359166e-05,0.9824015687179345,255.8124373119358,255.76730190571715,251.18054162487462,0.8434682651386811,0.8545954394023833,0.8778527661629618,0.9938490638221625,114655,0.9984484036632787,37841,0.8592888888888889,0.8426633367901967,0.8838938838938839,0.8627863133031399,0.9410907317080157,0.8838938838938839,0.8346346346346346,0.8426633367901967,0.8776636803817455,39815,37521,7434,5230,45045,44955,0.33210715888576076,0.5005,0.9980019980019982,1.0078635517169128,0.44401392255994404,0.4147363626114048,0.9961401185212085,20281,0.9985209201408026,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,361.53059911727905,0.8537705882352942,0.8615369197466528,0.8429683669667196,0.8521515022352626,0.9343926387488672,0.8429683669667196,0.8645689976278695,0.8615369197466528,0.8463345359637675,214919,220504,34541,40036,254955,255045,0.32449846861953124,0.49991176470588233,0.9996471210962772,0.32449846861953124,0.4971536686690664,0.8216521372885977,0.7761088897854299,9.96431684272372e-05,0.9831895350831792,255.8124373119358,255.76730190571715,251.3801404212638,0.8511513844856965,0.859191505405823,0.8827943052266118,0.9954877091013833,114655,0.9990238536859959,37841,0.8831666666666667,0.8895180940348344,0.8752802752802753,0.8823417516140943,0.9561750660516093,0.8752802752802753,0.8910688466244022,0.8895180940348344,0.8770032402136789,39427,40058,4897,5618,45045,44955,0.27045835986394773,0.5005,0.9980019980019982,0.8870666999031197,0.45165796103802597,0.5123748587638822,0.9975897771651023,20281,0.9996215378058011,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,361.8159899711609,0.864521568627451,0.869206962173673,0.8581200604028162,0.8636279304777582,0.9426424248343085,0.8581200604028162,0.8709208178948813,0.869206962173673,0.859955787330089,218782,222124,32921,36173,254955,255045,0.3043923741327963,0.49991176470588233,0.9996471210962772,0.3043923741327963,0.44946394482610696,0.7538563189589033,0.8076292749871701,0.0001243283142239353,0.9828546823192339,255.8124373119358,255.76730190571715,251.29588766298897,0.8813946366632036,0.8872809057859876,0.9061192296883408,0.9964052837577777,114655,0.9991085242046871,37841,0.9038333333333334,0.8940017323516674,0.9165279165279165,0.9051246916963551,0.9686139439225858,0.9165279165279165,0.89111333555778,0.8940017323516674,0.9141944317663168,41285,40060,4895,3760,45045,44955,0.22892666946757922,0.5005,0.9980019980019982,1.2509188990701328,0.3581011806699363,0.38674494965598627,0.9985192531123552,20281,0.999692086098312,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,362.4950671195984,0.871043137254902,0.8754857635071034,0.8650742287854719,0.8702488567268652,0.9469877459231093,0.8650742287854719,0.8770099394224549,0.8754857635071034,0.8667064480755744,220555,223677,31368,34400,254955,255045,0.2931794291035223,0.49991176470588233,0.9996471210962772,0.2931794291035223,0.45413473128913756,0.7473141603926599,0.806837444738256,0.00014886051414244683,0.9830264166684236,255.8124373119358,255.76730190571715,251.34403209628886,0.8795179818980889,0.8886307995667936,0.9091095181003632,0.996744785889476,114655,0.9991563462647636,37841,0.9050333333333334,0.9089870013446885,0.9004107004107004,0.9046785256231529,0.9688114890584028,0.9004107004107004,0.9096652207763319,0.9089870013446885,0.9011458792419568,40559,40894,4061,4486,45045,44955,0.22820951188491148,0.5005,0.9980019980019982,1.0470557642931289,0.44342545267533173,0.4177896777880308,0.9983672541052881,20281,0.9997909271956319,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,362.3290169239044,0.8755764705882353,0.8788773301572101,0.8711694220548725,0.8750064017460023,0.9497473814108182,0.8711694220548725,0.879981963967143,0.8788773301572101,0.8723341404923022,222109,224435,30610,32846,254955,255045,0.2854828158526148,0.49991176470588233,0.9996471210962772,0.2854828158526148,0.49330846210539997,0.7787912779580148,0.7796961838527094,0.00017321083502138413,0.9828911411098498,255.8124373119358,255.76730190571715,251.308926780341,0.8527138586964068,0.866879471725144,0.9009872579174669,0.9971416590455908,114655,0.9993799479252625,37841,0.8782666666666666,0.82898724159895,0.9534687534687535,0.8868812852334441,0.9658277223709322,0.9534687534687535,0.8029140251362473,0.82898724159895,0.9451179597287319,42949,36095,8860,2096,45045,44955,0.2814152476970445,0.5005,0.9980019980019982,1.023666638880968,0.4569105770100247,0.4576106652729966,0.9979289211947049,20281,0.9995791904583434,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,364.14856910705566,0.8789019607843137,0.8818128278200927,0.8750406934557079,0.8784137083818944,0.9524271521517107,0.8750406934557079,0.8827618655531377,0.8818128278200927,0.876036466500391,223096,225144,29901,31859,254955,255045,0.27808330418054417,0.49991176470588233,0.9996471210962772,0.27808330418054417,0.49455479457002943,0.7726380987505735,0.7783401414169112,0.00019735122173595676,0.9819273199532519,255.8124373119358,255.76730190571715,251.06619859578737,0.8517947151855522,0.8721561515333116,0.9109829358451805,0.9972345484522102,114655,0.999340999777279,37841,0.9065666666666666,0.9292744656917885,0.8803196803196803,0.9041348883340744,0.9704757914634456,0.8803196803196803,0.9328661995328662,0.9292744656917885,0.8860927991886409,39654,41937,3018,5391,45045,44955,0.22407762994143096,0.5005,0.9980019980019982,1.028432599184188,0.40956534682349727,0.3949576372360855,0.998266494315111,20281,0.9996788123635882,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,371.9552512168884,0.881378431372549,0.8849555770235814,0.8766841207271872,0.8808004303219336,0.9542055000425396,0.8766841207271872,0.8860710854947166,0.8849555770235814,0.877868763304691,223515,225988,29057,31440,254955,255045,0.2727797896477021,0.49991176470588233,0.9996471210962772,0.2727797896477021,0.4935122083876293,0.7662919980353314,0.7813996788611264,0.00022125462032782206,0.9824888444081703,255.8124373119358,255.76730190571715,251.20461384152458,0.8533563279602319,0.8767405932449223,0.913194177176317,0.9975086991639794,114655,0.999476549620013,37841,0.9061,0.8902444226421533,0.9266289266289266,0.9080723586167887,0.9705648320463135,0.9266289266289266,0.8855299744188633,0.8902444226421533,0.9233427656909589,41740,39809,5146,3305,45045,44955,0.22543765485964037,0.5005,0.9980019980019982,1.1441756243055516,0.3889823935248635,0.35795995641360034,0.9986462209863659,20281,0.9998502685979261,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,369.37583565711975,0.8831392156862745,0.8859326105509372,0.8794728481496735,0.8826909109518533,0.9550830783474545,0.8794728481496735,0.8868042894391186,0.8859326105509372,0.8803872263569271,224226,226175,28870,30729,254955,255045,0.270281989586987,0.49991176470588233,0.9996471210962772,0.270281989586987,0.5061102582136152,0.7763922478006022,0.7691182492967833,0.00024489509117448026,0.9829965954577087,255.8124373119358,255.76730190571715,251.3360080240722,0.8429151561833166,0.8716559631179011,0.9076366137186824,0.9975561872127192,114655,0.9995800330648329,37841,0.9111,0.9165242421516596,0.9047841047841048,0.9106163350574776,0.972498269041479,0.9047841047841048,0.9174285396507619,0.9165242421516596,0.9058025125186682,40756,41243,3712,4289,45045,44955,0.21603186453946613,0.5005,0.9980019980019982,0.902684152464975,0.42393355376341124,0.4091120392472579,0.998452954834893,20281,0.9996141890253312,6728
