epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,342.54172801971436,0.6783196078431373,0.7113199300699301,0.6000470671294934,0.6509626042759246,0.754704910723221,0.6000470671294934,0.7565645278284224,0.7113199300699301,0.6542545977323279,152985,192958,62087,101970,254955,255045,0.5686880903413805,0.49991176470588233,0.9996471210962772,0.5686880903413805,0.688273290035837,1.2569613803772175,0.5690410803469158,0.002496973339253117,0.9829226231263904,255.8124373119358,255.76730190571715,251.3259779338014,0.6028033096295662,0.5633745517292217,0.577115643319164,0.9300811915752006,114655,0.9734497141891206,37841,0.7680222222222223,0.8603035453379849,0.6405150405150405,0.7343157466086381,0.8662952702458877,0.6405150405150405,0.8957846735624514,0.8603035453379849,0.7132104209836531,28852,40270,4685,16193,45045,44955,0.4515105423263528,0.5005,0.9980019980019982,0.7338254380632531,0.4315972634675828,0.40651069556467995,0.9891909283825158,20281,0.997503159975602,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,342.61525225639343,0.7860470588235294,0.8116204631604138,0.7449157694495107,0.7768388157625635,0.8760104672806027,0.7449157694495107,0.8271638338332451,0.8116204631604138,0.7643650882793054,189920,210964,44081,65035,254955,255045,0.43155744325074413,0.49991176470588233,0.9996471210962772,0.43155744325074413,0.6447493340689296,1.0763067773196737,0.6368634412018442,0.0049933362284606325,0.9825277908738839,255.8124373119358,255.76730190571715,251.23671013039117,0.6957628195163903,0.7084107647729532,0.7539834006460033,0.9895513755636979,114655,0.9977793249315885,37841,0.8407222222222223,0.8946894920830762,0.7727161727161728,0.8292415633301171,0.9299929648077796,0.7727161727161728,0.9088644199755311,0.8946894920830762,0.7996320651323,34807,40858,4097,10238,45045,44955,0.34604212269186974,0.5005,0.9980019980019982,0.7583198344165628,0.4852373129264875,0.47291479457456853,0.9963161933121657,20281,0.999263560337162,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,343.75400400161743,0.8294921568627451,0.8435472920466909,0.8089623659077092,0.8258929197108059,0.9155109495180265,0.8089623659077092,0.8500147032876552,0.8435472920466909,0.8165485239060182,206249,216792,38253,48706,254955,255045,0.36433153295349574,0.49991176470588233,0.9996471210962772,0.36433153295349574,0.6346181341733712,0.998949667126867,0.6411336977838155,0.00748347559359166,0.9824015687179345,255.8124373119358,255.76730190571715,251.18054162487462,0.7097898635576706,0.7633045013850416,0.8081085017073188,0.9940437780279228,114655,0.9986558369891031,37841,0.8655222222222222,0.8575056433408578,0.8770562770562771,0.8671707804251676,0.9436639723059477,0.8770562770562771,0.8539650761872984,0.8575056433408578,0.8739300673829904,39507,38390,6565,5538,45045,44955,0.3074199619110335,0.5005,0.9980019980019982,0.770123556594957,0.48188641074706207,0.4475467422072597,0.9971631251216471,20281,0.9993707606722664,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,350.4896275997162,0.8526235294117647,0.8611214885693971,0.8407954344884392,0.850837084137077,0.9336228579175132,0.8407954344884392,0.8644474504499206,0.8611214885693971,0.844520288206295,214365,220473,34572,40590,254955,255045,0.3263320947363001,0.49991176470588233,0.9996471210962772,0.3263320947363001,0.6489458784177048,0.9752779731540049,0.6248351913038921,0.00996431684272372,0.9831895350831792,255.8124373119358,255.76730190571715,251.3801404212638,0.6803721904536879,0.7424433788324799,0.7885441665865149,0.9955142170257976,114655,0.9990134467827032,37841,0.8852111111111111,0.873831574413095,0.9006993006993007,0.8870620388084176,0.9571004891992547,0.9006993006993007,0.8696919141363586,0.873831574413095,0.8973376176268074,40572,39097,5858,4473,45045,44955,0.2732162828641859,0.5005,0.9980019980019982,0.7536187710409815,0.41575230133127083,0.38710463255898997,0.9976261493761501,20281,0.9996089530192463,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,352.4161319732666,0.8635705882352941,0.869610642336465,0.8553430997627032,0.8624178657655217,0.941536188813699,0.8553430997627032,0.8717951734007724,0.869610642336465,0.8577275602944127,218074,222347,32698,36881,254955,255045,0.3071872575382292,0.49991176470588233,0.9996471210962772,0.3071872575382292,0.6493356360595228,0.9565228935977521,0.6220989400070672,0.012432831422393532,0.9828546823192339,255.8124373119358,255.76730190571715,251.29588766298897,0.6795107984449795,0.7315118809627571,0.7687987213532336,0.9963520980081388,114655,0.9991565177272864,37841,0.8961222222222223,0.8977004322830786,0.8943722943722944,0.8960332729112686,0.9624631681421806,0.8943722943722944,0.897875653431209,0.8977004322830786,0.8945525464296795,40287,40364,4591,4758,45045,44955,0.249112616377798,0.5005,0.9980019980019982,0.7206121994690462,0.47508234632286156,0.48177279700579334,0.9987509055872936,20281,0.9998979438112245,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,353.3540768623352,0.8696549019607843,0.8753888745045709,0.8619638759781137,0.8686245059288538,0.9462718317524099,0.8619638759781137,0.8773432139426376,0.8753888745045709,0.8640960784692321,219762,223762,31283,35193,254955,255045,0.29515275768674126,0.49991176470588233,0.9996471210962772,0.29515275768674126,0.6692956430144391,0.9644484007011804,0.6034475046031573,0.014886051414244685,0.9830264166684236,255.8124373119358,255.76730190571715,251.34403209628886,0.6501418289852589,0.7041243721103259,0.731909554728228,0.9967154645620991,114655,0.9992814150975216,37841,0.8999555555555555,0.9284168984618311,0.8669552669552669,0.8966340634614501,0.9680706014039347,0.8669552669552669,0.9330219107996885,0.9284168984618311,0.8749817468761082,39052,41944,3011,5993,45045,44955,0.23692764358764346,0.5005,0.9980019980019982,0.7911869653246619,0.3567060525105758,0.30581374327252436,0.9983829681217317,20281,0.9998236292687228,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,353.47514033317566,0.874143137254902,0.8786010843937794,0.8682041928967857,0.873371697774481,0.9490394513003444,0.8682041928967857,0.8800799858848438,0.8786010843937794,0.8697909804620595,221353,224460,30585,33602,254955,255045,0.28750479732497164,0.49991176470588233,0.9996471210962772,0.28750479732497164,0.6674881524284003,0.954992949753372,0.6050138914716638,0.01732108350213841,0.9828911411098498,255.8124373119358,255.76730190571715,251.308926780341,0.6530000561133801,0.6895010288020716,0.7084510837217041,0.9971028722351647,114655,0.999410135500787,37841,0.8700111111111111,0.8127321153918295,0.9619269619269619,0.881058164479102,0.9665390507365818,0.9619269619269619,0.7779112445779113,0.8127321153918295,0.9532519217140053,43330,34971,9984,1715,45045,44955,0.32028182629834523,0.5005,0.9980019980019982,1.1493372151797467,0.338420571251349,0.26582574934185077,0.9983825101450696,20281,0.9997060947110827,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,353.04956579208374,0.8781843137254902,0.8822983619947898,0.8727540154144849,0.8775002366154525,0.9516813349120292,0.8727540154144849,0.8836126957987807,0.8822983619947898,0.8741597266129564,222513,225361,29684,32442,254955,255045,0.28013808663594447,0.49991176470588233,0.9996471210962772,0.28013808663594447,0.6728440640922057,0.9529821507281502,0.5932174391947396,0.019735122173595677,0.9819273199532519,255.8124373119358,255.76730190571715,251.06619859578737,0.6386911728162998,0.6767090433731882,0.7228083386158632,0.9974030068045763,114655,0.9995233879501917,37841,0.9049888888888888,0.9133892161304938,0.895038295038295,0.9041206480910468,0.9694012061913297,0.895038295038295,0.9149594038482928,0.9133892161304938,0.8969036197121675,40317,41132,3823,4728,45045,44955,0.22452937430617484,0.5005,0.9980019980019982,0.9989066218787973,0.32638077658008446,0.26248503797800277,0.9982672576095483,20281,0.999851830213776,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,355.44374918937683,0.8810941176470588,0.8848163184473711,0.8762095271714616,0.880491890507065,0.9535568918793187,0.8762095271714616,0.8859769844537239,0.8848163184473711,0.8774449082613338,223394,225964,29081,31561,254955,255045,0.2748726355874072,0.49991176470588233,0.9996471210962772,0.2748726355874072,0.6755344046872023,0.9504070402746095,0.585956521145439,0.022125462032782206,0.9824888444081703,255.8124373119358,255.76730190571715,251.20461384152458,0.6302552016000149,0.6580878605254263,0.6999154284567197,0.9975053519635623,114655,0.9995116616573163,37841,0.9038444444444445,0.8810496115264602,0.933977133977134,0.9067416698995646,0.9708150811854515,0.933977133977134,0.8736514292069848,0.8810496115264602,0.9296078013680797,42071,39275,5680,2974,45045,44955,0.22455723465166308,0.5005,0.9980019980019982,0.8208237232809718,0.37906608425758104,0.326365883021651,0.9987654869732823,20281,0.999939740000147,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,353.86936831474304,0.883413725490196,0.8872128030423071,0.8784609048655645,0.8828151637284561,0.9550004610669117,0.8784609048655645,0.8883647983689152,0.8872128030423071,0.8796901692809442,223968,226573,28472,30987,254955,255045,0.270470900276121,0.49991176470588233,0.9996471210962772,0.270470900276121,0.6745993600207322,0.9450702602968531,0.5855517602612526,0.02448950911744803,0.9829965954577087,255.8124373119358,255.76730190571715,251.3360080240722,0.6292766875329792,0.6626081081758604,0.719833038762651,0.9976710080337463,114655,0.9995820993335404,37841,0.9086333333333333,0.9076296329097109,0.91006771006771,0.9088470363924577,0.9706903074804308,0.91006771006771,0.9071960849738627,0.9076296329097109,0.9096444662532899,40994,40783,4172,4051,45045,44955,0.22063528204506094,0.5005,0.9980019980019982,0.7323368740352717,0.4531846092167226,0.4303063778951919,0.9983071458994868,20281,0.9998098503053419,6728
