epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0002999262307746768,0.0002999262307746768,0.0004998768868112501,364.61378383636475,0.6444627450980392,0.670594559027279,0.5676256594300955,0.6148287244934808,0.7081243003760355,0.5676256594300955,0.7212727165794272,0.670594559027279,0.6252935997797364,144719,183957,71088,110236,254955,255045,0.6073210215795721,0.49991176470588233,0.9996471210962772,0.6073210215795721,0.6238286817743403,1.2311497033539125,0.6663922226297461,0.002496973339253117,0.9829226231263904,255.8124373119358,255.76730190571715,251.3259779338014,0.7259027007573464,0.7005690567973877,0.6754012313265446,0.892434639237071,114655,0.953985207224868,37841,0.732,0.8459249462721111,0.567987567987568,0.6796387302430602,0.8265502475379018,0.567987567987568,0.8963407852296741,0.8459249462721111,0.6743368755752657,25585,40295,4660,19460,45045,44955,0.5266202439300038,0.5005,0.9980019980019982,0.6970037313347514,0.5452152825891972,0.6604797895371156,0.9861360713863686,20281,0.9980109607060708,6728
1,0.00029970499590002654,0.00029970499590002654,0.0004995076687428538,363.0317573547363,0.7457960784313725,0.775434215905644,0.6918671922496127,0.7312710132370438,0.8348706010782463,0.6918671922496127,0.7997059342468976,0.775434215905644,0.7219321749533663,176395,203961,51084,78560,254955,255045,0.4848250565880399,0.49991176470588233,0.9996471210962772,0.4848250565880399,0.6705592002648647,1.1553842568529047,0.6007766134162604,0.0049933362284606325,0.9825277908738839,255.8124373119358,255.76730190571715,251.23671013039117,0.6431548881767138,0.8178295026082704,0.8990026762983301,0.9843136200983915,114655,0.9972479276995897,37841,0.8034666666666667,0.8019869742797219,0.8064380064380064,0.8042063316360416,0.8973320205418971,0.8064380064380064,0.800489378267156,0.8019869742797219,0.8049658874846214,36326,35986,8969,8719,45045,44955,0.39633479392664,0.5005,0.9980019980019982,0.6416428939185359,0.6266805028373544,0.6679271717431703,0.9952359987227082,20281,0.9992755939651815,6728
2,0.0002993365137081604,0.0002993365137081604,0.0004988927101684685,363.2621841430664,0.7864039215686275,0.8119000525454646,0.7454335078739386,0.77724839378535,0.8772157245961069,0.7454335078739386,0.8273598776686467,0.8119000525454646,0.7647734644838846,190052,211014,44031,64903,254955,255045,0.4272608609651491,0.49991176470588233,0.9996471210962772,0.4272608609651491,0.6595715858273903,1.0868324467925394,0.6150171681416549,0.00748347559359166,0.9824015687179345,255.8124373119358,255.76730190571715,251.18054162487462,0.6618555827857391,0.8887293697194185,0.9413747984511962,0.9925859832028017,114655,0.9987766730224626,37841,0.8351555555555555,0.8103388054488299,0.8755688755688755,0.8416919202697511,0.9278251157263504,0.8755688755688755,0.7946613279946614,0.8103388054488299,0.8643809431633962,39440,35724,9231,5605,45045,44955,0.3483980181203647,0.5005,0.9980019980019982,0.6110773062841459,0.6649806590920145,0.7289249578488117,0.99758766948756,20281,0.9995781800010289,6728
3,0.0002988211478465144,0.0002988211478465144,0.0004980326179779623,362.6086585521698,0.8111392156862746,0.8307948953207106,0.7813457276774333,0.8053119346720972,0.9006904666266542,0.7813457276774333,0.8409221902017291,0.8307948953207106,0.7936977277773666,199208,214473,40572,55747,254955,255045,0.3891986476382616,0.49991176470588233,0.9996471210962772,0.3891986476382616,0.6496992468714355,1.0388978945096972,0.6294802149296285,0.00996431684272372,0.9831895350831792,255.8124373119358,255.76730190571715,251.3801404212638,0.6800441749002422,0.9058509526504075,0.9447065010976521,0.99501483066335,114655,0.9991077119373123,37841,0.8563333333333333,0.8383731956590454,0.8832278832278833,0.8602162162162162,0.9404761602292468,0.8832278832278833,0.8293849404960516,0.8383731956590454,0.876366200493595,39785,37285,7670,5260,45045,44955,0.32618715275417676,0.5005,0.9980019980019982,0.6119164150546897,0.6650846387174997,0.7297536238203017,0.9979076966848734,20281,0.9996467073789104,6728
4,0.000298159406918973,0.000298159406918973,0.0004969282409784869,364.03166580200195,0.8294450980392157,0.8464626046780248,0.8048126139907043,0.8251123420425643,0.9165302368854091,0.8048126139907043,0.8540688898037602,0.8464626046780248,0.8140289248477148,205191,217826,37219,49764,254955,255045,0.3602832320520847,0.49991176470588233,0.9996471210962772,0.3602832320520847,0.645739586745485,1.0060228187975697,0.6357141198700624,0.012432831422393532,0.9828546823192339,255.8124373119358,255.76730190571715,251.29588766298897,0.688133350037351,0.9073399384809552,0.946014365233586,0.9960874262170284,114655,0.9991475333817044,37841,0.8630777777777778,0.8455770530584656,0.8887334887334888,0.8666183203628137,0.9445696369153158,0.8887334887334888,0.8373707040373707,0.8455770530584656,0.8825018754688673,40033,37644,7311,5012,45045,44955,0.3060323747552254,0.5005,0.9980019980019982,0.6041911589828405,0.6714773496443575,0.7367272548547494,0.9973464832188783,20281,0.9996632421349676,6728
5,0.0002973519439839389,0.0002973519439839389,0.0004955806690568079,365.42970156669617,0.8435450980392157,0.8557663794749306,0.8263026808652507,0.8407764820446509,0.9273508497560241,0.8263026808652507,0.8607814307279108,0.8557663794749306,0.832141246214318,210670,219538,35507,44285,254955,255045,0.33848502965963473,0.49991176470588233,0.9996471210962772,0.33848502965963473,0.6434292241467635,0.9819142538063983,0.6399589994606546,0.014886051414244685,0.9830264166684236,255.8124373119358,255.76730190571715,251.34403209628886,0.693398640073786,0.9051157798692515,0.946226189863648,0.9966402896317771,114655,0.9993557252112314,37841,0.8930555555555556,0.8990536277602523,0.8857808857808858,0.8923679060665362,0.9617246617246618,0.8857808857808858,0.9003447892336781,0.8990536277602523,0.8872205173169663,39900,40475,4480,5145,45045,44955,0.25084266396747396,0.5005,0.9980019980019982,0.6055809723382647,0.6748563000424341,0.7464134029937435,0.998629044399291,20281,0.999838051250395,6728
6,0.00029639955590984266,0.00029639955590984266,0.0004939912321037176,364.88540148735046,0.8538509803921569,0.8644401262074343,0.8392618305191112,0.8516649286345436,0.9355785606389326,0.8392618305191112,0.8684349820619891,0.8644401262074343,0.8438646555238484,213974,221490,33555,40981,254955,255045,0.3201260159582408,0.49991176470588233,0.9996471210962772,0.3201260159582408,0.6421581734506153,0.9622841894088562,0.6431680427511095,0.01732108350213841,0.9828911411098498,255.8124373119358,255.76730190571715,251.308926780341,0.6958612459135793,0.9145990971027718,0.956873223270923,0.9968030956930968,114655,0.9993976260019813,37841,0.8963555555555556,0.87515492721047,0.9248529248529248,0.8993178481996373,0.9664773973415948,0.9248529248529248,0.8678011344678012,0.87515492721047,0.9201594452437672,41660,39012,5943,3385,45045,44955,0.2465473719110543,0.5005,0.9980019980019982,0.5911660384048115,0.6843761225992983,0.7543941612040715,0.998909798866696,20281,0.9998487069820764,6728
7,0.00029530318258873023,0.00029530318258873023,0.0004921614987015935,364.86900806427,0.8626235294117647,0.8717503287370466,0.8502912278637407,0.8608870727552151,0.9415606807867802,0.8502912278637407,0.8749514791507381,0.8717503287370466,0.8539382598413445,216786,223152,31893,38169,254955,255045,0.30598940950638076,0.49991176470588233,0.9996471210962772,0.30598940950638076,0.6439756914868637,0.9499651009932444,0.641335481985163,0.019735122173595677,0.9819273199532519,255.8124373119358,255.76730190571715,251.06619859578737,0.6952050823610205,0.9092352931902562,0.9546591639799564,0.997345121752981,114655,0.9994249030738341,37841,0.8991555555555556,0.8746380585355692,0.9321123321123321,0.9024610424502956,0.9685494290432562,0.9321123321123321,0.8661327994661328,0.8746380585355692,0.9271818073580188,41987,38937,6018,3058,45045,44955,0.23305707653476435,0.5005,0.9980019980019982,0.6000855588777498,0.6790457560934804,0.7467209566491168,0.9990316502057379,20281,0.9998552290247433,6728
8,0.0002940639060087029,0.0002940639060087029,0.0004900932745763975,364.73389744758606,0.8686705882352941,0.8760969168283947,0.8587436998686042,0.8673335182030661,0.9462451736969854,0.8587436998686042,0.8785939736124998,0.8760969168283947,0.8615352082892789,218941,224081,30964,36014,254955,255045,0.29418818805079044,0.49991176470588233,0.9996471210962772,0.29418818805079044,0.6421039708877877,0.9362921589385782,0.6441321841094535,0.022125462032782206,0.9824888444081703,255.8124373119358,255.76730190571715,251.20461384152458,0.6984013178766777,0.9117943236300623,0.953856175019611,0.9976199648877795,114655,0.9995864512848613,37841,0.9090444444444444,0.9016629252664385,0.9184371184371184,0.90997272567306,0.9710417577084245,0.9184371184371184,0.899632966299633,0.9016629252664385,0.9167214452478636,41371,40443,4512,3674,45045,44955,0.21937241159718146,0.5005,0.9980019980019982,0.6002418964423917,0.6836869814856485,0.7503184441339261,0.9989664747097702,20281,0.9999092884910749,6728
9,0.00029268294918612537,0.00029268294918612537,0.00048778860081564096,365.2912263870239,0.8742941176470588,0.8804284990969944,0.8661803063285678,0.8732462869525331,0.9500421689324936,0.8661803063285678,0.8824050657727068,0.8804284990969944,0.868357185024559,220837,225053,29992,34118,254955,255045,0.2838553184252924,0.49991176470588233,0.9996471210962772,0.2838553184252924,0.6493311547706933,0.9331864731959857,0.6348368671975858,0.02448950911744803,0.9829965954577087,255.8124373119358,255.76730190571715,251.3360080240722,0.6863059919684218,0.9030867691089353,0.9491670905823042,0.9978077154771489,114655,0.9995519916769883,37841,0.9107555555555555,0.9010858022149498,0.923010323010323,0.9119163029412409,0.9721479363454673,0.923010323010323,0.8984762540318096,0.9010858022149498,0.9209284297407602,41577,40391,4564,3468,45045,44955,0.22058283520693128,0.5005,0.9980019980019982,0.5981271046806466,0.6775310984389349,0.7486727663030172,0.998973442849309,20281,0.9998189444211734,6728
10,0.00029116167495865663,0.00029116167495865663,0.0004852497518540794,367.26181721687317,0.8782960784313726,0.8839872273671973,0.8708360298876272,0.8773623490220641,0.9528737426615814,0.8708360298876272,0.8857534944813661,0.8839872273671973,0.8727737040156391,222024,225907,29138,32931,254955,255045,0.27613063382289355,0.49991176470588233,0.9996471210962772,0.27613063382289355,0.6548142518657619,0.9309448856886555,0.6276860729741716,0.02682479112890144,0.9833684576588625,255.8124373119358,255.76730190571715,251.4272818455366,0.6768258351666834,0.8910010043115998,0.9436325039432514,0.9978072210657911,114655,0.9995079534169921,37841,0.9124444444444444,0.8963590213936822,0.9329337329337329,0.9142807414498303,0.9741940240705672,0.9329337329337329,0.8919141363585809,0.8963590213936822,0.9299348284899228,42024,40096,4859,3021,45045,44955,0.2139246372336691,0.5005,0.9980019980019982,0.6089174520562995,0.6668376350267367,0.7383036938503064,0.9992364002451287,20281,0.9999302784452918,6728
11,0.0002895015846402935,0.0002895015846402935,0.00048247923322911887,365.0106363296509,0.882064705882353,0.8871906378445418,0.8753976191876998,0.88125467650897,0.9550813379321755,0.8753976191876998,0.8887294399027622,0.8871906378445418,0.8770749978717971,223187,226666,28379,31768,254955,255045,0.2698274261972969,0.49991176470588233,0.9996471210962772,0.2698274261972969,0.6562380861255566,0.9260655123228534,0.624745046123937,0.02912896650181278,0.9831052419529939,255.8124373119358,255.76730190571715,251.34904714142428,0.6740196867101464,0.8919395920027169,0.948507172335545,0.9982221654899047,114655,0.9997460247707315,37841,0.9157444444444445,0.9125225741091486,0.9198357198357199,0.9161645531834917,0.9746152736276195,0.9198357198357199,0.9116449783116449,0.9125225741091486,0.9190249809391398,41434,40983,3972,3611,45045,44955,0.20594999405809425,0.5005,0.9980019980019982,0.605103788389401,0.6675860773433339,0.7414174223163248,0.9992660357672091,20281,0.9999207250306812,6728
12,0.0002877043165397551,0.0002877043165397551,0.0004794797791081534,363.8930411338806,0.8853764705882353,0.8897033449551983,0.8797787844913808,0.88471323259694,0.9571332282767364,0.8797787844913808,0.8909721813797565,0.8897033449551983,0.8811465397903749,224304,227238,27807,30651,254955,255045,0.26385703306260294,0.49991176470588233,0.9996471210962772,0.26385703306260294,0.6614443900114076,0.9253014230740106,0.6187987610353989,0.03139983225898262,0.9825916667412231,255.8124373119358,255.76730190571715,251.22768304914743,0.6653002809824198,0.8802799928643423,0.9412269286108141,0.9982843465607146,114655,0.9997505147639141,37841,0.9144555555555556,0.8922239959670644,0.942990342990343,0.9169050111707122,0.9762137399174436,0.942990342990343,0.8858636414191969,0.8922239959670644,0.939422532553312,42477,39824,5131,2568,45045,44955,0.21003792561929335,0.5005,0.9980019980019982,0.6033091616224159,0.674495882270011,0.7422508300322715,0.99935597154982,20281,0.9999488341159785,6728
13,0.0002857716443436699,0.0002857716443436699,0.00047625434959027205,364.68652415275574,0.887507843137255,0.8921033204473833,0.8816026357592517,0.8868218950541419,0.9588813644172974,0.8816026357592517,0.8934109666921524,0.8921033204473833,0.8830208567464716,224769,227860,27185,30186,254955,255045,0.25856942198460653,0.49991176470588233,0.9996471210962772,0.25856942198460653,0.661934495749421,0.9205039177340275,0.6174468805821035,0.03363533061474313,0.9835947558810417,255.8124373119358,255.76730190571715,251.49448345035105,0.6630919239997205,0.8830848842219751,0.9390352305459296,0.9984531881166352,114655,0.9997603041115103,37841,0.9165333333333333,0.9091860541176984,0.9256965256965257,0.9173670084041009,0.9756745892548362,0.9256965256965257,0.9073517962406852,0.9091860541176984,0.9241679316673086,41698,40790,4165,3347,45045,44955,0.20050025079399347,0.5005,0.9980019980019982,0.603383441540328,0.6683075153692202,0.736031812478976,0.9992269747899507,20281,0.9999061193294972,6728
14,0.00028370547536616097,0.00028370547536616097,0.00047280612778499796,364.649911403656,0.8900039215686274,0.8949195492693699,0.8837363456296209,0.889292790552648,0.9600479226004928,0.8837363456296209,0.8962692858123076,0.8949195492693699,0.8852113030581147,225313,228589,26456,29642,254955,255045,0.25497916609855925,0.49991176470588233,0.9996471210962772,0.25497916609855925,0.6611833326675468,0.9161624987661061,0.6190642522593798,0.03583355430898316,0.9820333063204173,255.8124373119358,255.76730190571715,251.07823470411233,0.6663002979857335,0.8838246767725135,0.9429457415914453,0.9984028475877468,114655,0.9997106889603053,37841,0.9201888888888888,0.9050451452779323,0.939060939060939,0.9217393199176318,0.9781605342099169,0.939060939060939,0.9012790568346124,0.9050451452779323,0.9365493966991817,42300,40517,4438,2745,45045,44955,0.1962658650326458,0.5005,0.9980019980019982,0.6109912977977232,0.6678318689492616,0.7250435640126677,0.9994540918185887,20281,0.9999633479574064,6728
15,0.00028150784866655756,0.00028150784866655756,0.0004691385166709441,365.2602984905243,0.8921705882352942,0.8974060353599593,0.8855405855935361,0.8914338283922857,0.9614062423890448,0.8855405855935361,0.8987982512889883,0.8974060353599593,0.8870735558169772,225773,229234,25811,29182,254955,255045,0.25060983314557206,0.49991176470588233,0.9996471210962772,0.25060983314557206,0.66840235507835,0.919012188223922,0.6083079104198735,0.03799275067151569,0.9824476147047109,255.8124373119358,255.76730190571715,251.19658976930793,0.651238750030636,0.8661776749916925,0.9220484655785421,0.9985558567049818,114655,0.9997838947391225,37841,0.9202555555555556,0.9139303047527436,0.9280719280719281,0.9209468315948318,0.9775275599966958,0.9280719280719281,0.9124235346457569,0.9139303047527436,0.9267928961995572,41805,41018,3937,3240,45045,44955,0.1938871999525211,0.5005,0.9980019980019982,0.6161393594335426,0.655821965160695,0.7297282332617301,0.9992559110358371,20281,0.9999129169514319,6728
16,0.00027918093303708956,0.00027918093303708956,0.0004652551357374841,364.7678985595703,0.8935882352941177,0.8982177086185753,0.8877331293757722,0.892944643681426,0.9624431364159531,0.8877331293757722,0.8994412750691054,0.8982177086185753,0.8890671689513644,226332,229398,25647,28623,254955,255045,0.24739989556125558,0.49991176470588233,0.9996471210962772,0.24739989556125558,0.6757934740338187,0.9231933695950743,0.5966454679772273,0.04011132443329666,0.9826644480648213,255.8124373119358,255.76730190571715,251.24774322968906,0.6338490381853495,0.8387241923850979,0.8853067462215203,0.998587909265111,114655,0.9997672410783239,37841,0.9232888888888889,0.9347741832523995,0.9102453102453102,0.922346695460476,0.9781201292312405,0.9102453102453102,0.9363585808030253,0.9347741832523995,0.9123696816004508,41002,42094,2861,4043,45045,44955,0.19297820371998983,0.5005,0.9980019980019982,0.6294815641912547,0.643100287087939,0.7138420875205043,0.9993341758002807,20281,0.9999467213415933,6728
17,0.00027672702486255125,0.00027672702486255125,0.00046115981741275293,364.1334664821625,0.8954980392156863,0.899877454382493,0.8899805848090839,0.8949016576415976,0.9633138854011629,0.8899805848090839,0.9010135466290262,0.899877454382493,0.891215401261979,226905,229799,25246,28050,254955,255045,0.24466120084764487,0.49991176470588233,0.9996471210962772,0.24466120084764487,0.677468072985455,0.9221292738330998,0.5924842182468387,0.04218783931656194,0.9831391325743177,255.8124373119358,255.76730190571715,251.36710130391174,0.627740764450824,0.8260339804327812,0.8747371341519088,0.998657121912636,114655,0.9998230695663735,37841,0.9256777777777778,0.9231685789938218,0.9288045288045288,0.9259779781995241,0.9799746138017744,0.9288045288045288,0.9225447669892114,0.9231685789938218,0.9282229185317815,41838,41473,3482,3207,45045,44955,0.18210941832512617,0.5005,0.9980019980019982,0.6116472828117284,0.6579683619466695,0.7350361134472052,0.9994095646682648,20281,0.9999607758842419,6728
18,0.000274148545854047,0.000274148545854047,0.0004568566032815033,365.8048732280731,0.8973450980392157,0.9020483328769134,0.891455354866545,0.896720561197516,0.964483576341088,0.891455354866545,0.9032327628457724,0.9020483328769134,0.8927526459178652,227281,230365,24680,27674,254955,255045,0.2406278726539258,0.49991176470588233,0.9996471210962772,0.2406278726539258,0.6816245081312319,0.9222523807851577,0.5862637146365798,0.04422101845002775,0.9820305213119231,255.8124373119358,255.76730190571715,251.09027081243732,0.6184040838613752,0.8051382712938397,0.8285230244580596,0.9987445576577018,114655,0.9998402768476905,37841,0.9239777777777778,0.9348266520977031,0.9116661116661117,0.923101130667386,0.978114162311693,0.9116661116661117,0.9363140918696474,0.9348266520977031,0.9136333051160166,41066,42092,2863,3979,45045,44955,0.19302072511477905,0.5005,0.9980019980019982,0.6403304240243002,0.6346156722442671,0.690684101107772,0.9990630831631054,20281,0.9999306458843155,6728
19,0.00027144804065905466,0.00027144804065905466,0.00045234974009654953,365.2173216342926,0.8980980392156863,0.9023217464036121,0.8928085348394815,0.89753993320479,0.9651177313012442,0.8928085348394815,0.9033856770373856,0.9023217464036121,0.8939639083858101,227626,230404,24641,27329,254955,255045,0.238613172244643,0.49991176470588233,0.9996471210962772,0.238613172244643,0.6813788800803924,0.9199920523250354,0.5861120945890784,0.04620974366771105,0.9827867179680356,255.8124373119358,255.76730190571715,251.27382146439317,0.6162281360008288,0.8045325894480146,0.8427103111765564,0.9987253987156068,114655,0.9998053319136934,37841,0.9263666666666667,0.931721130939003,0.9203241203241204,0.925987558494064,0.9796914700618404,0.9203241203241204,0.932421310199088,0.931721130939003,0.9211312793917286,41456,41917,3038,3589,45045,44955,0.18307513955303215,0.5005,0.9980019980019982,0.6248302463103425,0.6395054114135829,0.7109925399126622,0.999303397798785,20281,0.9999674816464208,6728
20,0.0002686281743501657,0.0002686281743501657,0.00044764367558773485,365.60263442993164,0.8996254901960784,0.9036721238727673,0.8945735521954855,0.8990998200428507,0.9658668803134245,0.8945735521954855,0.9046756454743281,0.9036721238727673,0.8956609164169371,228076,230733,24312,26879,254955,255045,0.23600991735367502,0.49991176470588233,0.9996471210962772,0.23600991735367502,0.6843404392062601,0.9203503565599351,0.5805256992369262,0.04815305376053674,0.9828673175792482,255.8124373119358,255.76730190571715,251.29087261785355,0.6090929892695187,0.7958404873237619,0.8235380910794596,0.9987872750461452,114655,0.9998686451767863,37841,0.9273333333333333,0.9305987340922816,0.9236985236985237,0.9271357903649895,0.9801044470180271,0.9236985236985237,0.9309754198643088,0.9305987340922816,0.9241096071893837,41608,41852,3103,3437,45045,44955,0.18056902932849797,0.5005,0.9980019980019982,0.619942828674208,0.653922760012475,0.7271722446502205,0.9992962868493194,20281,0.9999669304878855,6728
21,0.0002656917297949805,0.0002656917297949805,0.0004427430540725596,366.0595152378082,0.8999274509803922,0.9048884123580335,0.8937616442117237,0.8992906122046272,0.9661780444061598,0.8937616442117237,0.9060910819659276,0.9048884123580335,0.895088697807731,227869,231094,23951,27086,254955,255045,0.23494289341637697,0.49991176470588233,0.9996471210962772,0.23494289341637697,0.6788060427190308,0.9137489361354078,0.5884291784335283,0.05005014175863081,0.9825456794064631,255.8124373119358,255.76730190571715,251.21564694082247,0.6244748715560969,0.8328680974956945,0.8901315104195897,0.9988428370902984,114655,0.9998746027729187,37841,0.9247222222222222,0.9488412460123851,0.898013098013098,0.9227277393158981,0.9797713689071712,0.898013098013098,0.9514848181514848,0.9488412460123851,0.9030146934639419,40451,42774,2181,4594,45045,44955,0.19142736646939407,0.5005,0.9980019980019982,0.6312660422514785,0.6403813788836653,0.6931924194362696,0.9993968496602866,20281,0.9999787803963933,6728
22,0.0002626416049097537,0.0002626416049097537,0.0004376527118727998,365.2919485569,0.9019901960784313,0.9075695753497658,0.8951069796630778,0.9012951981501118,0.9671086599061136,0.8951069796630778,0.9088709835519222,0.9075695753497658,0.8965638609763833,228212,231803,23242,26743,254955,255045,0.23157539833692037,0.49991176470588233,0.9996471210962772,0.23157539833692037,0.6845546805392297,0.9161300788761501,0.5782058109849721,0.05190035132902837,0.9831160214805951,255.8124373119358,255.76730190571715,251.38415245737212,0.6083706407895038,0.8051368934822785,0.8418949532866296,0.9988848197349655,114655,0.9998654469648136,37841,0.9258,0.9429653404761354,0.9065823065823065,0.9244159724737414,0.979879376916414,0.9065823065823065,0.9450561672783895,0.9429653404761354,0.9098794251815048,40837,42485,2470,4208,45045,44955,0.1951878056438132,0.5005,0.9980019980019982,0.64410740848292,0.627403263002634,0.6697869100730695,0.9994552835428067,20281,0.999979698993952,6728
