epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.001999506807085549,0.00399901336745128,344.8927643299103,0.6799666666666667,0.7147324563456767,0.5988272440234551,0.6516662576163392,0.7570999924048825,0.5988272440234551,0.7610774569193671,0.7147324563456767,0.6549107594723169,152674,194109,60936,102281,254955,255045,0.5675582023059114,0.49991176470588233,0.9996471210962772,0.5675582023059114,0.6937627260280828,1.2613209283339941,0.5602602000042811,0.024969733392531168,0.9829226231263904,255.8124373119358,255.76730190571715,251.3259779338014,0.585775789834262,0.6970749036580903,0.7582367845749746,0.932486462209222,114655,0.9731463374102646,37841,0.7468444444444444,0.8882687410611505,0.5653013653013653,0.690905144345561,0.8600286049668766,0.5653013653013653,0.9287509731954177,0.8882687410611505,0.6807428301240768,25464,41752,3203,19581,45045,44955,0.4713796859776432,0.5005,0.9980019980019982,0.6685696261172945,0.5893974338065494,0.6277969787079383,0.991192424282029,20281,0.9991387229289299,6728
1,0.0009990143508499217,0.0019980277150640578,0.003996054443492329,344.72434425354004,0.7839372549019608,0.8122462889706612,0.7385067953168206,0.7736233575202768,0.8742608617820569,0.7385067953168206,0.8293516830363269,0.8122462889706612,0.7603481061572804,188286,211522,43523,66669,254955,255045,0.4338120910504398,0.49991176470588233,0.9996471210962772,0.4338120910504398,0.6872225817490963,1.1210346727995362,0.5671629662379817,0.04993336228460632,0.9825277908738839,255.8124373119358,255.76730190571715,251.23671013039117,0.5985070495587277,0.8138968378128959,0.9018609575787798,0.9889009103116748,114655,0.99745636945754,37841,0.8276777777777777,0.8124048062277881,0.8525696525696526,0.8320027730537171,0.9187755721089055,0.8525696525696526,0.8027360694027361,0.8124048062277881,0.8445749859576859,38404,36087,8868,6641,45045,44955,0.3720838071947748,0.5005,0.9980019980019982,0.6415896998210386,0.6358794251626189,0.6944972295877542,0.994523017700217,20281,0.9987969127773246,6728
2,0.0009977832013192385,0.0019955641836207788,0.003991126148223859,345.1792540550232,0.8239156862745098,0.8409976874793524,0.798791943676335,0.8193516590728503,0.9109496851699057,0.798791943676335,0.8490305632339391,0.8409976874793524,0.8084714755077659,203656,216541,38504,51299,254955,255045,0.37319793328717576,0.49991176470588233,0.9996471210962772,0.37319793328717576,0.6887042047745485,1.0619021380617244,0.5692076946392939,0.0748347559359166,0.9824015687179345,255.8124373119358,255.76730190571715,251.18054162487462,0.6018290658806835,0.8022919568660574,0.8693816349477878,0.9934534124073287,114655,0.9983876463542339,37841,0.8627,0.9114182147711826,0.8037962037962038,0.8542308100647628,0.9446429609392573,0.8037962037962038,0.9217217217217217,0.9114182147711826,0.824203365556749,36207,41436,3519,8838,45045,44955,0.3164742910726504,0.5005,0.9980019980019982,0.6544520634819161,0.611673155291514,0.6852969430188194,0.9965130444852529,20281,0.9990853524107675,6728
3,0.0009960612933065818,0.0019921186439638213,0.003984233345278299,344.61285948753357,0.8450019607843138,0.8549984662329065,0.8308564256437411,0.8427545846420706,0.9277691025333707,0.8308564256437411,0.8591425042639534,0.8549984662329065,0.8355577248669178,211831,219120,35925,43124,254955,255045,0.33898528287917706,0.49991176470588233,0.9996471210962772,0.33898528287917706,0.6922736694006887,1.0312589522798656,0.5640760558239795,0.0996431684272372,0.9831895350831792,255.8124373119358,255.76730190571715,251.3801404212638,0.5907615652049872,0.7817592106712461,0.8478021315644293,0.9948550307651846,114655,0.9988099352988207,37841,0.8785444444444445,0.9365977270400327,0.8123210123210123,0.8700438695564301,0.9602605847050291,0.8123210123210123,0.9449004560115671,0.9365977270400327,0.8340139794235452,36591,42478,2477,8454,45045,44955,0.2803660453381864,0.5005,0.9980019980019982,0.6671762344512072,0.6164954541759058,0.6399730156072504,0.9976748820325985,20281,0.9997643797261845,6728
4,0.0009938503261272714,0.001987694496424841,0.003975382837019978,343.333012342453,0.8572098039215686,0.8646841161017492,0.846902394540213,0.8557008879122273,0.9371454682156029,0.846902394540213,0.8675135760356015,0.8646841161017492,0.8500391873616917,215922,221255,33790,39033,254955,255045,0.3176747940129478,0.49991176470588233,0.9996471210962772,0.3176747940129478,0.6982282663180811,1.0159030603310288,0.5473512033880534,0.12432831422393531,0.9828546823192339,255.8124373119358,255.76730190571715,251.29588766298897,0.5668602124209675,0.7560257322241939,0.815876099326511,0.9958514136035008,114655,0.9989646264620065,37841,0.8965444444444445,0.9089681377037173,0.8815850815850815,0.8950672241443431,0.9627075259174024,0.8815850815850815,0.9115337559782004,0.9089681377037173,0.8848246674727932,39711,40978,3977,5334,45045,44955,0.25029345271600917,0.5005,0.9980019980019982,0.6567695564167066,0.6512987335974519,0.6947634262439274,0.9976514956759418,20281,0.9996652630495969,6728
5,0.00099115248173898,0.001982296107103325,0.003964583357832013,343.8858325481415,0.8636960784313725,0.870601307816522,0.854323311957012,0.862385502719032,0.9422140094653344,0.854323311957012,0.8730655374541747,0.870601307816522,0.8570466337197666,217814,222671,32374,37141,254955,255045,0.3052268572144188,0.49991176470588233,0.9996471210962772,0.3052268572144188,0.7021488714122486,1.0073757286266674,0.5346128023495765,0.14886051414244683,0.9830264166684236,255.8124373119358,255.76730190571715,251.34403209628886,0.5472183706471085,0.7226422812072568,0.7764558875180367,0.9961753083378593,114655,0.9989707075692782,37841,0.8791333333333333,0.9474580266638728,0.803041403041403,0.8692925117754494,0.9648778359889473,0.803041403041403,0.9553775998220443,0.9474580266638728,0.8287952760463905,36173,42949,2006,8872,45045,44955,0.27574287592010066,0.5005,0.9980019980019982,0.6709696118804541,0.6227482455697927,0.6911301073547322,0.9977227135091631,20281,0.9996112495131433,6728
6,0.0009879704225884043,0.0019759288035577785,0.003951845565496525,345.8643343448639,0.8671529411764706,0.8714654792661293,0.8612931693828323,0.866349465610908,0.9440407950893135,0.8612931693828323,0.8730106451802623,0.8714654792661293,0.8629413884916344,219591,222657,32388,35364,254955,255045,0.3008469723710564,0.49991176470588233,0.9996471210962772,0.3008469723710564,0.7119402697117422,1.0127872420827986,0.5317962029154825,0.17321083502138412,0.9828911411098498,255.8124373119358,255.76730190571715,251.308926780341,0.5407873812188588,0.6641624052424837,0.702900185677064,0.996364578149383,114655,0.9990721174800292,37841,0.8996777777777778,0.9075868000543208,0.8901986901986902,0.8988086565725621,0.9661265885957244,0.8901986901986902,0.9091758425091758,0.9075868000543208,0.8920511589331703,40099,40872,4083,4946,45045,44955,0.24797647878188978,0.5005,0.9980019980019982,0.6203867942094803,0.6521794348955154,0.7193414831025273,0.9979516772178908,20281,0.9998127898175297,6728
7,0.0009843072889837512,0.001968598869548067,0.003937182030676697,352.4172794818878,0.8713745098039216,0.8735127031718479,0.8684591398482086,0.8709785911670125,0.9468478222739999,0.8684591398482086,0.8742888509870808,0.8735127031718479,0.8692616560112272,221418,222983,32062,33537,254955,255045,0.29365620287574284,0.49991176470588233,0.9996471210962772,0.29365620287574284,0.7067362873580535,1.0003924902337964,0.5299665234691521,0.19735122173595676,0.9819273199532519,255.8124373119358,255.76730190571715,251.06619859578737,0.5389754149548343,0.6442875568918351,0.6554003266471353,0.9966263509693045,114655,0.9991583515044373,37841,0.8877555555555555,0.9454628897784351,0.8232212232212233,0.8801177224503358,0.9660532680285766,0.8232212232212233,0.9524190857524191,0.9454628897784351,0.8431832056558813,37082,42816,2139,7963,45045,44955,0.2941086377779191,0.5005,0.9980019980019982,0.6765155040405013,0.5820611901581287,0.6590883653286462,0.9979209533856777,20281,0.9994294590562697,6728
8,0.000980166695995633,0.001960313538834105,0.003920607224511047,353.5553638935089,0.8759156862745098,0.8792181069958848,0.8715106587436998,0.8753474171467966,0.9502267511681534,0.8715106587436998,0.8803191593640338,0.8792181069958848,0.8726717972636816,222196,224521,30524,32759,254955,255045,0.2843930558222108,0.49991176470588233,0.9996471210962772,0.2843930558222108,0.7035493539233385,0.9879424097455493,0.5258691233462293,0.22125462032782206,0.9824888444081703,255.8124373119358,255.76730190571715,251.20461384152458,0.5341677701372071,0.6677049822696457,0.6996161140592323,0.996990325922621,114655,0.9992110268257532,37841,0.7790333333333334,0.9720783607295654,0.5750249750249751,0.7226011633259405,0.9461246646431831,0.5750249750249751,0.9834501167834501,0.9720783607295654,0.6978407046121792,25902,44211,744,19143,45045,44955,0.5092873820527033,0.5005,0.9980019980019982,0.6914790479296987,0.5236272461373698,0.581613956166998,0.9968626087150417,20281,0.9997870690858852,6728
9,0.0009755527298894294,0.0019510809880370062,0.0039021375043321593,352.01686239242554,0.8769411764705882,0.8802001938636229,0.8726049695044223,0.8763861259380354,0.9510894283499591,0.8726049695044223,0.8812758532807936,0.8802001938636229,0.8737390425469883,222475,224765,30280,32480,254955,255045,0.2819563946728721,0.49991176470588233,0.9996471210962772,0.2819563946728721,0.7079617548491077,0.9899181495219798,0.5215590556442677,0.24489509117448027,0.9829965954577087,255.8124373119358,255.76730190571715,251.3360080240722,0.5295886528103259,0.608034946514699,0.6281141934568744,0.997116648719591,114655,0.9993903068771717,37841,0.7363444444444445,0.9830055288679417,0.4815406815406815,0.6464216000357617,0.890129359018248,0.4815406815406815,0.9916583249916583,0.9830055288679417,0.6562251597138399,21691,44580,375,23354,45045,44955,1.2140068232335828,0.5005,0.9980019980019982,0.7068446292118593,0.45949014073068445,0.41829011314000347,0.9687455550410239,20281,0.9841040366851121,6728
