epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.009997533048548475,294.23097681999207,0.6593137254901961,0.6906444418358962,0.576925339765841,0.6286837774880858,0.7258455416045709,0.576925339765841,0.7416730380913172,0.6906444418358962,0.63684875010521,147090,189160,65885,107865,254955,255045,0.5946566213217518,0.49991176470588233,0.9996471210962772,0.5946566213217518,0.6017737482621175,1.1964303695838694,0.685731254846844,0.002496973339253117,0.9832455028603276,255.8124373119358,255.76730190571715,251.40421263791373,0.7556004103673158,0.766271551947982,0.7706395655307294,0.9037728153534916,114655,0.9617022369738889,37841,0.6321222222222223,0.8387829246139873,0.32802752802752805,0.4716171143135284,0.7289917840535125,0.32802752802752805,0.9368257146034924,0.8387829246139873,0.5818274756852343,14776,42115,2840,30269,45045,44955,0.6003504866226153,0.5005,0.9980019980019982,0.7053480222821236,0.5481475303796205,0.6184436010204362,0.9487285819334725,20281,0.9891742359105506,6728
1,0.0009990143508499217,0.0009990143508499217,0.009990134628777144,324.65036630630493,0.7773843137254902,0.8355390842614254,0.6906277578396187,0.7562036710959175,0.873521459290749,0.6906277578396187,0.8641102550530299,0.8355390842614254,0.7364325025145106,176079,220387,34658,78876,254955,255045,0.4232239435943462,0.49991176470588233,0.9996471210962772,0.4232239435943462,0.6501425669688279,1.0733665105631742,0.6267269097395622,0.0049933362284606325,0.9835583321157912,255.8124373119358,255.76730190571715,251.4864593781344,0.6829918258850235,0.7955105086661225,0.8464389228173761,0.9753431816735456,114655,0.9930437116849192,37841,0.7429222222222223,0.8930109070034443,0.5525585525585526,0.6826940219701852,0.8297979216497735,0.5525585525585526,0.933667000333667,0.8930109070034443,0.6755891063610611,24890,41973,2982,20155,45045,44955,0.463724668730389,0.5005,0.9980019980019982,0.6685079210861162,0.5829720747741786,0.6443084307713837,0.9714533001985411,20281,0.996092194125385,6728
2,0.0009977832013192385,0.0009977832013192385,0.0099778120420331,322.7553200721741,0.8407960784313725,0.8971298755319489,0.7698064364299583,0.8286055652423553,0.9312163978579502,0.7698064364299583,0.9117606696857418,0.8971298755319489,0.7984781735335423,196266,232540,22505,58689,254955,255045,0.3202800456445698,0.49991176470588233,0.9996471210962772,0.3202800456445698,0.6372164306693235,0.9574964763138932,0.6419020317562126,0.00748347559359166,0.9829004337704087,255.8124373119358,255.76730190571715,251.32296890672015,0.7028030545003985,0.8203534835450437,0.875181549327649,0.9883275335364631,114655,0.9976031181279309,37841,0.8557,0.888996748046401,0.8132312132312133,0.84942783272078,0.9423125776212198,0.8132312132312133,0.8982538093649205,0.888996748046401,0.8275812599909825,36632,40381,4574,8413,45045,44955,0.31073112413287163,0.5005,0.9980019980019982,0.6534766192463312,0.5914186662570997,0.7049568681056344,0.9916520407962064,20281,0.9985837062839423,6728
3,0.0009960612933065818,0.0009960612933065818,0.009960577449221734,322.89835572242737,0.8796372549019608,0.9150300171526586,0.8369516189131415,0.8742510063401994,0.9582186808288018,0.8369516189131415,0.9223078280303476,0.9150300171526586,0.8498193641618497,213385,235230,19815,41570,254955,255045,0.25536462660120385,0.49991176470588233,0.9996471210962772,0.25536462660120385,0.6473751243880185,0.9027397509892223,0.6244332667219723,0.00996431684272372,0.9825339382192262,255.8124373119358,255.76730190571715,251.20661985957872,0.6866117657144296,0.8284564974753141,0.8901277955739322,0.9930686740304474,114655,0.9985732777843583,37841,0.8567,0.9442786069651742,0.7584415584415585,0.841218836565097,0.9501478392836418,0.7584415584415585,0.9551551551551551,0.9442786069651742,0.7978260869565217,34164,42939,2016,10881,45045,44955,0.291233722797849,0.5005,0.9980019980019982,0.6310416578569196,0.6226317950270392,0.6973214992371414,0.9931861592006852,20281,0.9985718563754344,6728
4,0.0009938503261272714,0.0009938503261272714,0.009938447858805393,320.8903388977051,0.8882901960784314,0.9187865147624346,0.8518365986154419,0.8840458183061555,0.9632634644691813,0.8518365986154419,0.9247309298359113,0.9187865147624346,0.8619450850257471,217180,235848,19197,37775,254955,255045,0.24014838673585395,0.49991176470588233,0.9996471210962772,0.24014838673585395,0.6451783269912812,0.8853267137271351,0.625307265172153,0.012432831422393532,0.9828263199419549,255.8124373119358,255.76730190571715,251.3059177532598,0.6880214456737195,0.8227026802464059,0.8792645830629371,0.994183818152946,114655,0.9987881014355315,37841,0.8590666666666666,0.8722307851572385,0.8417138417138417,0.856700634927808,0.9515419843814905,0.8417138417138417,0.8764542320097876,0.8722307851572385,0.8467688207861426,37915,39401,5554,7130,45045,44955,0.2716314850205725,0.5005,0.9980019980019982,0.6319673620164394,0.636855619197542,0.7067738849276475,0.9941876556714381,20281,0.9989202804294627,6728
5,0.00099115248173898,0.00099115248173898,0.009911445110018081,325.5186924934387,0.8955686274509804,0.9223501426016744,0.8638230275931047,0.892127713010297,0.9671450354320446,0.8638230275931047,0.9273030249563803,0.9223501426016744,0.8719909447207649,220236,236504,18541,34719,254955,255045,0.22792966467297543,0.49991176470588233,0.9996471210962772,0.22792966467297543,0.656316784403867,0.8842464490768424,0.6142616850681745,0.014886051414244685,0.982491653178292,255.8124373119358,255.76730190571715,251.19658976930793,0.6715222502639431,0.8161307664937161,0.8734919485628192,0.9952334998021678,114655,0.9990801006588468,37841,0.8466222222222223,0.7866725394116244,0.9516039516039516,0.8613137219442603,0.9572903046977123,0.9516039516039516,0.741430319208097,0.7866725394116244,0.9386105713722509,42865,33331,11624,2180,45045,44955,0.2905768599699844,0.5005,0.9980019980019982,0.61687506261197,0.6429249275137078,0.7147508185726505,0.9946121655659896,20281,0.9989771416183485,6728
6,0.0009879704225884043,0.0009879704225884043,0.00987959585131277,324.14540100097656,0.8988058823529411,0.9240898625200213,0.8689572669686807,0.8956759564907145,0.9687969042724142,0.8689572669686807,0.9286439647905271,0.9240898625200213,0.8763764726777574,221545,236846,18199,33410,254955,255045,0.22254346314081577,0.49991176470588233,0.9996471210962772,0.22254346314081577,0.6684477531324059,0.8909912162732218,0.6010444016310731,0.01732108350213841,0.9828250888235089,255.8124373119358,255.76730190571715,251.26880641925777,0.6476379094329041,0.7923174365137652,0.8515932216350992,0.9956188441071204,114655,0.9991649077663275,37841,0.8671666666666666,0.8322956416951195,0.9199689199689199,0.8739389465914483,0.9607097616974161,0.9199689199689199,0.8142587031475921,0.8322956416951195,0.910345685152947,41440,36605,8350,3605,45045,44955,0.2571496180343357,0.5005,0.9980019980019982,0.6340033489872109,0.636446746235544,0.6950417478853868,0.9951181362126599,20281,0.9990261947279849,6728
7,0.0009843072889837512,0.0009843072889837512,0.009842931514062592,325.6786448955536,0.9018274509803922,0.9275515953339872,0.8717067717832558,0.8987625363959884,0.9701728048535169,0.8717067717832558,0.931937501225274,0.9275515953339872,0.8790325264890253,222246,237686,17359,32709,254955,255045,0.21765636254397175,0.49991176470588233,0.9996471210962772,0.21765636254397175,0.6734866053314362,0.8911429678754079,0.5997231982297142,0.019735122173595677,0.9826515460786153,255.8124373119358,255.76730190571715,251.24272818455367,0.6385823763603756,0.792953006208349,0.8565141121854636,0.9959365042540195,114655,0.9993082359046953,37841,0.8747666666666667,0.836985153256705,0.9311355311355312,0.8815536429269523,0.9668455293146652,0.9311355311355312,0.818284951618285,0.836985153256705,0.9222322503008423,41943,36786,8169,3102,45045,44955,0.2494509226896546,0.5005,0.9980019980019982,0.6418070725419305,0.6324847875670954,0.6884304456007739,0.9957063259814061,20281,0.9990932523497725,6728
8,0.000980166695995633,0.000980166695995633,0.009801488281541879,323.4071764945984,0.9067098039215686,0.929944810027906,0.879653272146065,0.9041002011601985,0.9726125298891253,0.879653272146065,0.9337567880178008,0.929944810027906,0.8858659465169827,224272,238150,16895,30683,254955,255045,0.20939008378934718,0.49991176470588233,0.9996471210962772,0.20939008378934718,0.677459254606796,0.8868493383961432,0.5940941075683238,0.022125462032782206,0.9831993445381934,255.8124373119358,255.76730190571715,251.39418254764294,0.6301531595632893,0.781020911645772,0.8462956095153527,0.9965326499001779,114655,0.9993685601982162,37841,0.8984444444444445,0.9105023666338921,0.883982683982684,0.8970465655905743,0.9719765087666323,0.883982683982684,0.9129351573796018,0.9105023666338921,0.8870469232930599,39819,41041,3914,5226,45045,44955,0.2104476441375234,0.5005,0.9980019980019982,0.6456243175674569,0.6276650818234141,0.6874260251781518,0.9966389289736108,20281,0.9994334090257722,6728
9,0.0009755527298894294,0.0009755527298894294,0.009755307053217623,324.4567799568176,0.9124901960784314,0.9344211504698957,0.8872153909513444,0.9102066273665573,0.9750487689038638,0.8872153909513444,0.9377560822599933,0.9344211504698957,0.8926751889521322,226200,239170,15875,28755,254955,255045,0.19998900396534527,0.49991176470588233,0.9996471210962772,0.19998900396534527,0.678575206364887,0.8785642103302324,0.5963359209993777,0.02448950911744803,0.983026106856778,255.8124373119358,255.76730190571715,251.35005015045135,0.6275523745796953,0.7744936705715522,0.8318092350337467,0.9968736440699009,114655,0.9993674776594068,37841,0.8798888888888889,0.9116465863453815,0.8415806415806416,0.8752135568176571,0.9632382662012292,0.8415806415806416,0.9182738293849405,0.9116465863453815,0.8526137513683211,37909,41281,3674,7136,45045,44955,0.2508834766393358,0.5005,0.9980019980019982,0.6619292697445913,0.621545188467611,0.6600830197384258,0.9965724337169392,20281,0.9990963755814722,6728
