epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.001999506807085549,0.001999506807085549,259.7122366428375,0.6245137254901961,0.6540719554418185,0.5283089172599086,0.5845020916144487,0.677546903037793,0.5283089172599086,0.7206845850732224,0.6540719554418185,0.6044950619435848,134695,183807,71238,120260,254955,255045,0.6310679515601401,0.49991176470588233,0.9996471210962772,0.6310679515601401,0.695332665411137,1.326400616971277,0.5575979385775334,0.049908349548696274,0.9832455028603276,255.8124373119358,255.76730190571715,251.40421263791373,0.5840409192313828,0.5976708420288255,0.6159228442263943,0.8557109037676084,114655,0.937231601212534,37841,0.6366888888888889,0.7336411459713129,0.43034743034743034,0.5424805507359938,0.7054386918584449,0.43034743034743034,0.8434434434434435,0.7336411459713129,0.5963949226921685,19385,37917,7038,25660,45045,44955,0.6051405129784887,0.5005,0.9980019980019982,0.7112990526313131,0.5270511172711849,0.5827215154814485,0.9212678679102331,20281,0.9841484968069549,6728
1,0.0009990143508499217,0.0019980277150640578,0.0019980277150640578,260.2572741508484,0.6745882352941176,0.7170832134023485,0.5765213469043556,0.6391656194149595,0.746284955205337,0.5765213469043556,0.7726205179478132,0.7170832134023485,0.6460309290180021,146987,197053,57992,107968,254955,255045,0.5756510061808789,0.49991176470588233,0.9996471210962772,0.5756510061808789,0.6986003033854179,1.2742513095662968,0.5381197926990965,0.09961834210545817,0.9835583321157912,255.8124373119358,255.76730190571715,251.4864593781344,0.5570760944669417,0.6921458929369013,0.835755013322999,0.93744503187502,114655,0.9829161135765192,37841,0.6769666666666667,0.7331814996496145,0.5574425574425574,0.6333472059324279,0.7538942884621898,0.5574425574425574,0.79673006339673,0.7331814996496145,0.6424343521308653,25110,35817,9138,19935,45045,44955,0.5762146772308783,0.5005,0.9980019980019982,0.6853948431936178,0.5461920567534186,0.56377800812486,0.9465186869547112,20281,0.989431718806264,6728
2,0.0009977832013192385,0.0019955641836207788,0.0019955641836207788,260.47849774360657,0.709913725490196,0.7509038644601901,0.628075542742837,0.6840194273460827,0.7916173562172264,0.628075542742837,0.7917230292693447,0.7509038644601901,0.6804572214228186,160131,201925,53120,94824,254955,255045,0.5342838907074426,0.49991176470588233,0.9996471210962772,0.5342838907074426,0.7008369447833437,1.2351208354907863,0.535359041442125,0.1488359944785267,0.9829004337704087,255.8124373119358,255.76730190571715,251.32296890672015,0.5529007441295573,0.6553566529346924,0.7472528136395176,0.9602292916649194,114655,0.9900455165575576,37841,0.6955777777777777,0.7906769889639269,0.5328227328227328,0.636631299734748,0.7850860845922574,0.5328227328227328,0.8586586586586586,0.7906769889639269,0.6471791432643138,24001,38601,6354,21044,45045,44955,0.5344008794901046,0.5005,0.9980019980019982,0.686494090679017,0.545481627299027,0.5992502539659803,0.9618913138058256,20281,0.9918025272456036,6728
3,0.0009960612933065818,0.0019921186439638213,0.0019921186439638213,260.84669733047485,0.7380274509803921,0.7752314594305258,0.6703104469416171,0.7189632396866665,0.824915344981985,0.6703104469416171,0.8057205591170186,0.7752314594305258,0.7097022631591672,170899,205495,49550,84056,254955,255045,0.4980569826205492,0.49991176470588233,0.9996471210962772,0.4980569826205492,0.7015918177013531,1.1996488003219024,0.5368807735808994,0.19732712300849964,0.9825339382192262,255.8124373119358,255.76730190571715,251.20661985957872,0.5525564380755486,0.6580325362987934,0.725977468575771,0.9710131611364362,114655,0.9930300135730313,37841,0.7598888888888888,0.8307505574844045,0.6533688533688534,0.731459389601352,0.8538927020408501,0.6533688533688534,0.8666221777332889,0.8307505574844045,0.7138878199842413,29431,38959,5996,15614,45045,44955,0.4659096686677499,0.5005,0.9980019980019982,0.6712629608809948,0.6010400446301157,0.635958991885096,0.9782592716784336,20281,0.9953635625417961,6728
4,0.0009938503261272714,0.001987694496424841,0.001987694496424841,258.64725255966187,0.7567921568627451,0.7902744458092582,0.6990017846286599,0.7418412201538512,0.8461912524650103,0.6990017846286599,0.8145621360936305,0.7902744458092582,0.7302515721059717,178214,207750,47295,76741,254955,255045,0.47288075185109046,0.49991176470588233,0.9996471210962772,0.47288075185109046,0.7026279881342483,1.1755087399853388,0.5323591913538448,0.2448715196557576,0.9828263199419549,255.8124373119358,255.76730190571715,251.3059177532598,0.5463732151362918,0.6678302687844191,0.7429689507696112,0.9754647650101862,114655,0.9934326845894756,37841,0.7324,0.8875207986688852,0.5328671328671328,0.6659176029962547,0.8502351366548897,0.5328671328671328,0.9323323323323324,0.8875207986688852,0.6657612580414581,24003,41913,3042,21042,45045,44955,0.48628828826953063,0.5005,0.9980019980019982,0.688316406851465,0.5201566713777456,0.5540448921740362,0.9789243572061169,20281,0.9958718225710443,6728
5,0.00099115248173898,0.001982296107103325,0.001982296107103325,259.08214950561523,0.7688882352941177,0.7998503897740098,0.7171500853091722,0.756246006092454,0.8595073873971927,0.7171500853091722,0.8206081279774158,0.7998503897740098,0.7437368073175412,182841,209292,45753,72114,254955,255045,0.454385259326028,0.49991176470588233,0.9996471210962772,0.454385259326028,0.7036843379976279,1.1580695973236559,0.5234100476968492,0.291266717249439,0.982491653178292,255.8124373119358,255.76730190571715,251.19658976930793,0.5361427269600691,0.6432826384246696,0.7043869446044856,0.9785711667079433,114655,0.9941370206656921,37841,0.7885777777777778,0.8552778915744913,0.6952158952158952,0.7669850600048984,0.885961284479803,0.6952158952158952,0.8821265710154599,0.8552778915744913,0.7428303830664045,31316,39656,5299,13729,45045,44955,0.4164006195285104,0.5005,0.9980019980019982,0.6843218159946528,0.5566812486133792,0.5949917357246765,0.985199356453164,20281,0.9972797570493176,6728
6,0.0009879704225884043,0.0019759288035577785,0.0019759288035577785,264.4067475795746,0.7770450980392157,0.806139788115756,0.7294228393245867,0.7658649183460414,0.8677278803406221,0.7294228393245867,0.8246505518633966,0.806139788115756,0.7530145932089306,185970,210323,44722,68985,254955,255045,0.4433386121075993,0.49991176470588233,0.9996471210962772,0.4433386121075993,0.7082052371327353,1.1515438492403347,0.5220988777240995,0.3363310675834075,0.9828250888235089,255.8124373119358,255.76730190571715,251.26880641925777,0.5333363657867567,0.6131480986024159,0.6553522255864561,0.980126810807701,114655,0.9946664315479556,37841,0.8014444444444444,0.8699594303918098,0.7093129093129094,0.7814655383260773,0.8981703265653884,0.7093129093129094,0.8937604270937605,0.8699594303918098,0.7542094494396786,31951,40179,4776,13094,45045,44955,0.39470413411882793,0.5005,0.9980019980019982,0.716482034122402,0.5871566574681889,0.5942988442533632,0.98661942881978,20281,0.9967928084834322,6728
7,0.0009843072889837512,0.001968598869548067,0.001968598869548067,272.0834791660309,0.7822176470588236,0.8118492574708059,0.7346080680904473,0.7712996728116577,0.8730295851116479,0.7346080680904473,0.8298104256111667,0.8118492574708059,0.7577425152702093,187292,211639,43406,67663,254955,255045,0.4352727579317217,0.49991176470588233,0.9996471210962772,0.4352727579317217,0.7068852376913952,1.142157995623117,0.5211700171740388,0.37990605076628103,0.9826515460786153,255.8124373119358,255.76730190571715,251.24272818455367,0.5303797258336521,0.604426711909815,0.6558446349585659,0.9809057464029356,114655,0.9948400388053982,37841,0.8053111111111111,0.8920096852300242,0.6951714951714951,0.7813849033063007,0.905757502547626,0.6951714951714951,0.9156712267823379,0.8920096852300242,0.7498679296839421,31314,41164,3791,13731,45045,44955,0.3885904023931785,0.5005,0.9980019980019982,0.6652686616236513,0.6195790340954607,0.6542557722827324,0.9876097910407119,20281,0.9972034675220646,6728
8,0.000980166695995633,0.001960313538834105,0.001960313538834105,267.07713747024536,0.7866960784313726,0.8167664982099669,0.7391343570433998,0.7760136881095873,0.8781623745909851,0.7391343570433998,0.8342410162912427,0.8167664982099669,0.7618537801044121,188446,212769,42276,66509,254955,255045,0.4274668635253084,0.49991176470588233,0.9996471210962772,0.4274668635253084,0.7053701175132032,1.1328369810385115,0.5175536274909973,0.42185778064512824,0.9831993445381934,255.8124373119358,255.76730190571715,251.39418254764294,0.523970599667978,0.5932272297198967,0.6330509010784833,0.9817795783967244,114655,0.995524193161448,37841,0.8038888888888889,0.9204137380681993,0.6657342657342658,0.772627727823152,0.911001615199146,0.6657342657342658,0.9423200978756534,0.9204137380681993,0.7377697277904527,29988,42362,2593,15057,45045,44955,0.3913874744691632,0.5005,0.9980019980019982,0.6694566343318332,0.6074288026853041,0.62914814965426,0.9873612131271909,20281,0.9969804779646818,6728
9,0.0009755527298894294,0.0019510809880370062,0.0019510809880370062,270.0712397098541,0.7903745098039215,0.8197372058467811,0.7443627306779628,0.7802338082542084,0.8818668453945462,0.7443627306779628,0.8363700523437041,0.8197372058467811,0.7659647812473069,189779,213312,41733,65176,254955,255045,0.4211859886899755,0.49991176470588233,0.9996471210962772,0.4211859886899755,0.7061802780137976,1.1273662667037732,0.5179392919318009,0.4620777156371936,0.983026106856778,255.8124373119358,255.76730190571715,251.35005015045135,0.5241679333046181,0.5978352846158557,0.6507230050261266,0.9828538877862123,114655,0.9957004290265499,37841,0.8186666666666667,0.8838290707929127,0.7341991341991342,0.8020954598370198,0.9150319609578871,0.7341991341991342,0.9033033033033033,0.8838290707929127,0.7722941747018885,33072,40608,4347,11973,45045,44955,0.3661165904592384,0.5005,0.9980019980019982,0.6935035088522867,0.5188074829903516,0.5259309083616623,0.9893549775927284,20281,0.997399358451465,6728
10,0.0009704699440926358,0.0019409103285697486,0.0019409103285697486,263.4388635158539,0.7937529411764706,0.81997410621579,0.7526857680767194,0.7848904267589388,0.884611216783356,0.7526857680767194,0.8348056225371994,0.81997410621579,0.7715161595408146,191901,212913,42132,63054,254955,255045,0.4179280076246922,0.49991176470588233,0.9996471210962772,0.4179280076246922,0.7078887751492239,1.125816782773916,0.5143990025537064,0.5004826235106485,0.9826834665589195,255.8124373119358,255.76730190571715,251.23771313941825,0.5209684725464521,0.5713508883397924,0.5958312438661342,0.9831931865003042,114655,0.9958269872583411,37841,0.8252666666666667,0.8612939001848429,0.7758241758241758,0.8163279607568326,0.9167584125608818,0.7758241758241758,0.8748081414748081,0.8612939001848429,0.795690440060698,34947,39327,5628,10098,45045,44955,0.3572336911139163,0.5005,0.9980019980019982,0.6712220487269488,0.608311938629909,0.658690110743873,0.9884091720690021,20281,0.9973874166832015,6728
11,0.0009649233547011817,0.0019298115976453074,0.0019298115976453074,274.1486482620239,0.7971137254901961,0.8235281554476296,0.756200113745563,0.7884293735405855,0.8878457230355645,0.756200113745563,0.8380128996843694,0.8235281554476296,0.7746992449862082,192797,213731,41314,62158,254955,255045,0.4122582049283723,0.49991176470588233,0.9996471210962772,0.4122582049283723,0.7060932725697846,1.1183514774981569,0.5168636286390222,0.5370138800909325,0.9823744786889416,255.8124373119358,255.76730190571715,251.18655967903712,0.5235314296575189,0.5847825856690425,0.6153146199710074,0.9843824796611415,114655,0.9963124005666308,37841,0.8230333333333333,0.8768052176613697,0.7520923520923521,0.8096746053559265,0.9129452556613051,0.7520923520923521,0.894116338560783,0.8768052176613697,0.7825824539542853,33878,40195,4760,11167,45045,44955,0.3734256017275832,0.5005,0.9980019980019982,0.6916787085885351,0.5161272199316458,0.5266617166427032,0.9877282444883888,20281,0.9968922925990432,6728
12,0.0009589184355291487,0.001917795748371139,0.001917795748371139,265.55464148521423,0.7979117647058823,0.8241246564351196,0.7573846365044812,0.7893464251333128,0.8889779019020415,0.7573846365044812,0.8384245917387128,0.8241246564351196,0.7756336781625872,193099,213836,41209,61856,254955,255045,0.41048660958064354,0.49991176470588233,0.9996471210962772,0.41048660958064354,0.7085211306900056,1.119007740270649,0.5172691816312738,0.5716362041618479,0.9825376128660975,255.8124373119358,255.76730190571715,251.2136409227683,0.5251967168161122,0.5747044807650382,0.6003939222408085,0.9843361321102042,114655,0.9963243026812457,37841,0.7882888888888889,0.9361345101855891,0.6192474192474192,0.7454103310975121,0.9024605160407629,0.6192474192474192,0.9576687798910021,0.9361345101855891,0.7151138647575702,27894,43052,1903,17151,45045,44955,0.4862770243463191,0.5005,0.9980019980019982,0.6804788427596743,0.6115270074118268,0.6464284941731927,0.9846802177463337,20281,0.9951464979386672,6728
