epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,domain_auc,domain_auc_8hits,domain_auc_16hits,cls_auc_8hits,cls_events_8hits,cls_auc_16hits,cls_events_16hits,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_auc,val_val_cls_auc_8hits,val_val_cls_events_8hits,val_val_cls_auc_16hits,val_val_cls_events_16hits
0,0.0009997535269026829,0.0009997535269026829,0.001999506807085549,297.19641733169556,0.6235137254901961,0.6526084068329155,0.5279049243984233,0.5836701417197177,0.6754935368531243,0.5279049243984233,0.7190887882530533,0.6526084068329155,0.6037601682890938,134592,183400,71645,120363,254955,255045,0.6319833007475797,0.49991176470588233,0.9996471210962772,0.6319833007475797,0.7107076169913606,1.3426909177389403,0.544848641188238,0.049908349548696274,0.9832455028603276,255.8124373119358,255.76730190571715,251.40421263791373,0.5647999393318842,0.5982153029268363,0.6371453936187667,0.8539702137449253,114655,0.9368127211753932,37841,0.6361666666666667,0.6998959890788533,0.47803307803307804,0.5680705966152669,0.6991273902385013,0.47803307803307804,0.7946168390612836,0.6998959890788533,0.6030658068001485,21533,35722,9233,23512,45045,44955,0.6022711890664968,0.5005,0.9980019980019982,0.6888782409104434,0.5291807878423821,0.5271973876420811,0.9279978546600327,20281,0.9857948992114759,6728
1,0.0009990143508499217,0.0009990143508499217,0.0019980277150640578,299.5109202861786,0.6726333333333333,0.7211738566559763,0.5627110666588221,0.6321633703394443,0.7434038181682849,0.5627110666588221,0.7825168107588857,0.7211738566559763,0.6415905306269409,143466,199577,55468,111489,254955,255045,0.5775630838175116,0.49991176470588233,0.9996471210962772,0.5775630838175116,0.6979694915272169,1.2755325753447284,0.5434703873535814,0.09961834210545817,0.9835583321157912,255.8124373119358,255.76730190571715,251.4864593781344,0.5630686972891283,0.6805179404496712,0.8123658611742555,0.9347304983644182,114655,0.98138956239271,37841,0.6231888888888889,0.8257637832143275,0.3132201132201132,0.45416941623344226,0.7190088866632077,0.3132201132201132,0.9337782226671115,0.8257637832143275,0.5757193405930274,14109,41978,2977,30936,45045,44955,0.6192348538474604,0.5005,0.9980019980019982,0.6979134834625504,0.5097224786877632,0.5060594652353088,0.9207851161878912,20281,0.9843238111510395,6728
2,0.0009977832013192385,0.0009977832013192385,0.0019955641836207788,299.9820375442505,0.7112098039215686,0.7566405430658047,0.6225490772881489,0.6830763007098791,0.7920228611817961,0.6225490772881489,0.7998392440549706,0.7566405430658047,0.6794669384601036,158722,203995,51050,96233,254955,255045,0.5343103514631151,0.49991176470588233,0.9996471210962772,0.5343103514631151,0.7008489317138312,1.2351592831769462,0.5390444423334529,0.1488359944785267,0.9829004337704087,255.8124373119358,255.76730190571715,251.32296890672015,0.5541910693888648,0.6473345665243395,0.7279398953343504,0.9578064125109244,114655,0.9889294103266086,37841,0.6665,0.8209892362890825,0.4267066267066267,0.5615495858714229,0.7645347205841033,0.4267066267066267,0.9067734401067734,0.8209892362890825,0.6121823752027392,19221,40764,4191,25824,45045,44955,0.567043146287853,0.5005,0.9980019980019982,0.6923287781802091,0.505766777152365,0.5041654875131272,0.9465350165311848,20281,0.9878912307002652,6728
3,0.0009960612933065818,0.0009960612933065818,0.0019921186439638213,301.05889558792114,0.7376901960784313,0.778789565953609,0.6638504834186425,0.7167412689875964,0.8246568268808931,0.6638504834186425,0.8115038522613657,0.778789565953609,0.7071714848995295,169252,206970,48075,85703,254955,255045,0.49878633141876344,0.49991176470588233,0.9996471210962772,0.49878633141876344,0.7018906245140757,1.2006769559328392,0.5369969555583138,0.19732712300849964,0.9825339382192262,255.8124373119358,255.76730190571715,251.20661985957872,0.5517001588907734,0.6501981512594821,0.718696549129314,0.967926594277088,114655,0.9915580644843115,37841,0.7149555555555556,0.9036596028144386,0.48185148185148186,0.6285474342638712,0.8364615446096928,0.48185148185148186,0.9485263040818597,0.9036596028144386,0.646261802640154,21705,42641,2314,23340,45045,44955,0.503732871602882,0.5005,0.9980019980019982,0.6832130392166701,0.5623856291852214,0.6051447252267568,0.9735279197051285,20281,0.9950595067498549,6728
4,0.0009938503261272714,0.0009938503261272714,0.001987694496424841,300.76974987983704,0.754556862745098,0.7936561811278403,0.6878664862426703,0.7369843210919345,0.8435632643093519,0.6878664862426703,0.8212237056205768,0.7936561811278403,0.7246643070418539,175375,209449,45596,79580,254955,255045,0.47613609787693234,0.49991176470588233,0.9996471210962772,0.47613609787693234,0.7030733520073541,1.1792094498842864,0.5299340139181468,0.2448715196557576,0.9828263199419549,255.8124373119358,255.76730190571715,251.3059177532598,0.5417398733145412,0.6516284610159999,0.7198475712670592,0.9726393426466726,114655,0.9926745339833172,37841,0.7413,0.9340247307538891,0.5198357198357199,0.6679312557940527,0.8642338365795157,0.5198357198357199,0.963207652096541,0.9340247307538891,0.666887417218543,23416,43301,1654,21629,45045,44955,0.5072555149143393,0.5005,0.9980019980019982,0.6752588552507487,0.5790133408524774,0.6590096383980123,0.9814110375212104,20281,0.9957468933030563,6728
5,0.00099115248173898,0.00099115248173898,0.001982296107103325,297.63723850250244,0.7654058823529412,0.8037088245064328,0.702237649781334,0.7495546563789325,0.8551208896135303,0.702237649781334,0.8285518241878884,0.8037088245064328,0.7356998126962685,179039,211318,43727,75916,254955,255045,0.4605052056259951,0.49991176470588233,0.9996471210962772,0.4605052056259951,0.7036013939794351,1.1641065996054303,0.526052362611564,0.291266717249439,0.982491653178292,255.8124373119358,255.76730190571715,251.19658976930793,0.537345718787657,0.6513596688111257,0.7134632414989531,0.9757489497548979,114655,0.9932869399919938,37841,0.7822444444444444,0.915000489252748,0.6227772227772228,0.7411233224136109,0.8923933407884024,0.6227772227772228,0.9420309198086976,0.915000489252748,0.7136549771658718,28053,42349,2606,16992,45045,44955,0.43138766000893985,0.5005,0.9980019980019982,0.6643074618821795,0.6082920604808764,0.6868770486836289,0.9851064216620874,20281,0.9963485747040278,6728
6,0.0009879704225884043,0.0009879704225884043,0.0019759288035577785,298.65083622932434,0.7731235294117647,0.8103835660407639,0.7129964111313761,0.7585770889538487,0.8631177944146642,0.7129964111313761,0.8332294301005705,0.8103835660407639,0.7438673499390935,181782,212511,42534,73173,254955,255045,0.4490558088064911,0.49991176470588233,0.9996471210962772,0.4490558088064911,0.7041070988568044,1.1531629076632957,0.5218164818875171,0.3363310675834075,0.9828250888235089,255.8124373119358,255.76730190571715,251.26880641925777,0.5321244782979764,0.6322749233127456,0.6819802913039394,0.977332458359812,114655,0.9937562416354261,37841,0.7822333333333333,0.927376553577427,0.6128982128982129,0.7380338167479783,0.8939027366187859,0.6128982128982129,0.9519074630185741,0.927376553577427,0.7104931097459738,27608,42793,2162,17437,45045,44955,0.43442711301825265,0.5005,0.9980019980019982,0.6676898734136061,0.5692906054583463,0.7009490624690112,0.985836037578827,20281,0.9960675757108107,6728
7,0.0009843072889837512,0.0009843072889837512,0.001968598869548067,301.95067858695984,0.7778529411764706,0.8141911673379585,0.7199231236884941,0.7641608606322766,0.8681861071830352,0.7199231236884941,0.8357623164539592,0.8141911673379585,0.7490652366427236,183548,213157,41888,71407,254955,255045,0.4420066241514958,0.49991176470588233,0.9996471210962772,0.4420066241514958,0.7049108829158718,1.1469175070673676,0.5207926804347407,0.37990605076628103,0.9826515460786153,255.8124373119358,255.76730190571715,251.24272818455367,0.5287867065239815,0.6090507140495314,0.6506796459486246,0.9785805257713034,114655,0.9937191519668213,37841,0.8070555555555555,0.9067716905713614,0.6849150849150849,0.7803816919399512,0.9071435866497596,0.6849150849150849,0.9294405516627738,0.9067716905713614,0.7464449049592683,30852,41783,3172,14193,45045,44955,0.38343830084936187,0.5005,0.9980019980019982,0.7006991106000814,0.463627047159455,0.4385135173604536,0.9885520410897056,20281,0.9970963590467162,6728
8,0.000980166695995633,0.000980166695995633,0.001960313538834105,300.4637951850891,0.7816588235294117,0.8177983543648282,0.7247004373320782,0.7684399213119117,0.8730780290424145,0.7247004373320782,0.8385971103138662,0.8177983543648282,0.7529156648560738,184766,213880,41165,70189,254955,255045,0.43456205821324256,0.49991176470588233,0.9996471210962772,0.43456205821324256,0.7049738776719677,1.1395359358852104,0.5184166942580174,0.42185778064512824,0.9831993445381934,255.8124373119358,255.76730190571715,251.39418254764294,0.5260488456207072,0.597225666630662,0.6366712041447776,0.9798723562334977,114655,0.9947844166536051,37841,0.813,0.9346787860114004,0.6734376734376735,0.7828387096774193,0.9209589370083198,0.6734376734376735,0.9528417306195084,0.9346787860114004,0.744373968198801,30335,42835,2120,14710,45045,44955,0.37334739095108077,0.5005,0.9980019980019982,0.681337447329001,0.598461253060536,0.629649363738403,0.9895234095903543,20281,0.9974763369268871,6728
9,0.0009755527298894294,0.0009755527298894294,0.0019510809880370062,301.63527631759644,0.7853725490196078,0.8212022871271828,0.7295012845404091,0.7726404120970423,0.8769702050575112,0.7295012845404091,0.8412240977082476,0.8212022871271828,0.7567500837698182,185990,214550,40495,68965,254955,255045,0.4282000852205091,0.49991176470588233,0.9996471210962772,0.4282000852205091,0.705329086500759,1.133529171721268,0.5128429009240034,0.4620777156371936,0.983026106856778,255.8124373119358,255.76730190571715,251.35005015045135,0.5188382925306073,0.5970133456405664,0.6389442950176,0.9805592003381,114655,0.9942404794082839,37841,0.7897111111111111,0.9311916003565887,0.6261072261072261,0.7487654648754846,0.8994728303370279,0.6261072261072261,0.9536425314203092,0.9311916003565887,0.7179508649707769,28203,42871,2084,16842,45045,44955,0.4421335387636315,0.5005,0.9980019980019982,0.6887608749622648,0.5646402754566886,0.6044443548045152,0.9863548069496392,20281,0.9961419821130683,6728
